Cohort,Subcohort_Subgroup,Model_Name,Optimal_Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,TP,TN,FP,FN,Overall_FNR,Worst_Group_FNR,FNR Gap,FPR Gap,FNR_Gap_DGAP,Equalized_Odds_Difference_EOD,Demographic_Parity_Ratio_DPR,Fairness-Performance Stability Area,Selected Ensemble Ratio,EFNHI_Star,Brier_Score,Platt_Calibration_Slope
Nationwide Cohort,Hypertension (hyp),LightGBM baseline,0.4921,0.7903,0.5188,0.5404,0.7266,0.4452,0.6875,2119,7461,2641,963,0.3254380272550292,0.5584415584415584,0.40459540459540455,0.15998140998140997,0.40459540459540455,0.28228840728840726,1.0,,N/A,0.2932374884537124,0.1713,0.8636
Nationwide Cohort,Hypertension (hyp),XGBoost with ACT-parity,0.521,0.7825,0.5062,0.5304,0.7187,0.4349,0.6798,2095,7380,2722,987,0.2991563919532771,0.6883116883116883,0.41574453727690186,0.31402831402831405,0.41574453727690186,0.364886425652608,1.0,,N/A,0.3857399569126166,0.1836,0.861
Nationwide Cohort,Hypertension (hyp),LightGBM with ACT-parity,0.4567,0.7793,0.5052,0.5284,0.6976,0.4158,0.7249,2234,6963,3139,848,0.3293316028552888,0.8441558441558441,0.5641030039973236,0.30416130416130416,0.5641030039973236,0.4341321540793139,1.0,,N/A,0.5949468066432748,0.1793,0.7663
Nationwide Cohort,Hypertension (hyp),XGBoost baseline,0.5482,0.795,0.5264,0.5448,0.7435,0.4655,0.6567,2024,7778,2324,1058,0.27579493835171964,0.42857142857142855,0.19780219780219777,0.2380952380952381,0.19780219780219777,0.21794871794871795,1.0,,N/A,0.14739191359419768,0.1777,0.967
Nationwide Cohort,Hypertension (hyp),HIR-M3 Transformer,0.439,0.5784,0.2878,0.3908,0.4192,0.2589,0.7969,2456,3071,7031,626,0.4591174561972745,0.7128205128205128,0.2856958981133354,0.2728870605833956,0.2856958981133354,0.2792914793483655,1.0,,N/A,0.21787671606383907,0.2419,0.8749
Nationwide Cohort,Hypertension (hyp),HIR-M3 Transformer with ACT-parity,0.1534,0.5236,0.2531,0.3791,0.2346,0.2339,0.9997,3081,12,10090,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,N/A,0.0,0.1801,0.2761
Nationwide Cohort,Hypertension (hyp),XGBoost + HIR-M3 Ensemble (90:10),0.5336,0.7948,0.526,0.545,0.7371,0.4577,0.6736,2076,7642,2460,1006,0.2774172615184945,0.4155844155844156,0.18481518481518483,0.2380952380952381,0.18481518481518483,0.21145521145521146,1.0,,90:10,0.13380934746618128,0.1778,1.1386
Nationwide Cohort,Hypertension (hyp),XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,0.4872,0.7826,0.5069,0.5301,0.715,0.4312,0.6879,2120,7306,2796,962,0.33257624918883844,0.7272727272727273,0.425203154397342,0.2852852852852853,0.425203154397342,0.35524421984131366,1.0,,90:10,0.47396041513515735,0.1747,1.0172
