Cohort,Subcohort_Subgroup,Model_Name,Optimal_Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,TP,TN,FP,FN,Overall_FNR,Worst_Group_FNR,FNR Gap,FPR Gap,FNR_Gap_DGAP,Equalized_Odds_Difference_EOD,Demographic_Parity_Ratio_DPR,Fairness-Performance Stability Area,Selected Ensemble Ratio,EFNHI_Star,Brier_Score,Platt_Calibration_Slope
Nationwide Cohort,Diabetes + Hypertension (d+hyp),LightGBM with ACT-parity,0.3537,0.7658,0.5838,0.5967,0.6617,0.479,0.7911,1526,2510,1660,403,0.37947122861586313,0.6712328767123288,0.3208737386436935,0.2901353965183752,0.3208737386436935,0.3055045675810344,1.0,,N/A,0.35283884697547824,0.1883,0.6993
Nationwide Cohort,Diabetes + Hypertension (d+hyp),LightGBM baseline,0.4427,0.7744,0.592,0.601,0.699,0.5174,0.717,1383,2880,1290,546,0.35303265940902023,0.4931506849315068,0.17569036747118938,0.14305750350631138,0.17569036747118938,0.1593739354887504,1.0,,N/A,0.17274525741638724,0.183,0.7682
Nationwide Cohort,Diabetes + Hypertension (d+hyp),XGBoost with ACT-parity,0.4342,0.7722,0.587,0.609,0.6849,0.5012,0.776,1497,2680,1490,432,0.3188180404354588,0.4657534246575342,0.17739363629774585,0.391304347826087,0.17739363629774585,0.28434899206191644,1.0,,N/A,0.15262077453917278,0.1895,0.8472
Nationwide Cohort,Diabetes + Hypertension (d+hyp),XGBoost baseline,0.4566,0.7811,0.6033,0.6144,0.6937,0.5105,0.7714,1488,2743,1427,441,0.28408501814411613,0.3972602739726027,0.13271000942233818,0.24661056568489947,0.13271000942233818,0.18966028755361883,1.0,,N/A,0.10648178615895396,0.1858,0.9099
Nationwide Cohort,Diabetes + Hypertension (d+hyp),HIR-M3 Transformer,0.5135,0.521,0.3365,0.4815,0.3304,0.3188,0.9829,1896,119,4051,33,0.0,0.0,0.0,0.005376344086021501,0.0,0.0026881720430107503,1.0,,N/A,0.0,0.259,2.4892
Nationwide Cohort,Diabetes + Hypertension (d+hyp),HIR-M3 Transformer with ACT-parity,0.274,0.5206,0.3307,0.4808,0.3432,0.3205,0.9616,1855,238,3932,74,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,N/A,0.0,0.2162,0.9069
Nationwide Cohort,Diabetes + Hypertension (d+hyp),XGBoost + HIR-M3 Ensemble (90:10),0.4639,0.7812,0.6034,0.6143,0.6939,0.5106,0.7709,1487,2745,1425,442,0.2820114048729912,0.3972602739726027,0.13800101471334347,0.24661056568489947,0.13800101471334347,0.19230579019912147,1.0,,90:10,0.10622811919294696,0.1862,1.0976
Nationwide Cohort,Diabetes + Hypertension (d+hyp),XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,0.4217,0.7723,0.5873,0.6085,0.6852,0.5015,0.7735,1492,2687,1483,437,0.35666148263348885,0.5205479452054794,0.1925056171631514,0.34782608695652173,0.1925056171631514,0.27016585205983656,1.0,,90:10,0.19539352658929426,0.1847,1.007
