Cohort,Subcohort_Subgroup,Model_Name,Optimal_Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,TP,TN,FP,FN,Overall_FNR,Worst_Group_FNR,FNR Gap,FPR Gap,FNR_Gap_DGAP,Equalized_Odds_Difference_EOD,Demographic_Parity_Ratio_DPR,Fairness-Performance Stability Area,Selected Ensemble Ratio,EFNHI_Star,Brier_Score,Platt_Calibration_Slope
Texas Cohort,Diabetes (d),CatBoost with ACT-parity,0.4538,0.809,0.5622,0.57,0.7413,0.4765,0.7093,344,1143,378,141,0.3711340206185567,0.4258064516129032,0.11576278349063246,0.16867088607594938,0.11576278349063246,0.14221683478329092,1.0,,N/A,0.09357387986751034,0.1601,0.9564
Texas Cohort,Diabetes (d),CatBoost baseline,0.3961,0.8063,0.5498,0.5644,0.6999,0.4348,0.8041,390,1014,507,95,0.3525773195876289,0.432258064516129,0.16051893408134643,0.12018140589569162,0.16051893408134643,0.140350169988519,1.0,,N/A,0.11979215892171977,0.1629,0.9865
Texas Cohort,Diabetes (d),XGBoost with ACT-parity,0.4246,0.7964,0.5312,0.5613,0.7413,0.4756,0.6845,332,1155,366,153,0.41855670103092785,0.49032258064516127,0.13661079025214817,0.1322784810126582,0.13661079025214817,0.1344446356324032,1.0,,N/A,0.14410769475546736,0.1597,0.7269
Texas Cohort,Diabetes (d),XGBoost baseline,0.3328,0.7969,0.5424,0.5551,0.6939,0.4279,0.7897,383,1009,512,102,0.44123711340206184,0.4967741935483871,0.1037610931117059,0.07029478458049884,0.1037610931117059,0.08702793884610237,1.0,,N/A,0.11838261685800607,0.1583,0.7438
Texas Cohort,Diabetes (d),HIR-M3 Transformer,0.4558,0.5846,0.2979,0.4068,0.4227,0.2706,0.8186,397,451,1070,88,0.7546391752577319,0.8258064516129032,0.10964924637272855,0.14651898734177216,0.10964924637272855,0.12808411685725035,1.0,,N/A,0.15415673467636504,0.2323,1.9158
Texas Cohort,Diabetes (d),HIR-M3 Transformer with ACT-parity,0.1138,0.4992,0.2422,0.3916,0.2532,0.2438,0.9938,482,26,1495,3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,N/A,0.0,0.1886,0.1113
Texas Cohort,Diabetes (d),XGBoost + HIR-M3 Ensemble (30:70),0.4375,0.788,0.5332,0.5494,0.7024,0.4333,0.7505,364,1045,476,121,0.5030927835051546,0.5483870967741935,0.07677137625017605,0.060657596371882075,0.07677137625017605,0.06871448631102905,1.0,,30:70,0.11770365482508488,0.1911,3.0033
Texas Cohort,Diabetes (d),XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,0.2291,0.782,0.5153,0.5537,0.6994,0.4319,0.7711,374,1029,492,111,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,30:70,0.0,0.1596,2.3292
