Cohort,Subcohort_Subgroup,Model_Name,Optimal_Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,TP,TN,FP,FN,Overall_FNR,Worst_Group_FNR,FNR Gap,FPR Gap,FNR_Gap_DGAP,Equalized_Odds_Difference_EOD,Demographic_Parity_Ratio_DPR,Fairness-Performance Stability Area,Selected Ensemble Ratio,EFNHI_Star,Brier_Score,Platt_Calibration_Slope
Texas Cohort,Heart Failure (hf),CatBoost with ACT-parity,0.2397,0.7318,0.6222,0.655,0.6128,0.505,0.9321,357,238,350,26,0.381201044386423,0.39669421487603307,0.11544421487603307,0.06759517177344476,0.11544421487603307,0.09151969332473892,1.0,,N/A,0.015183139199799583,0.2083,0.7036
Texas Cohort,Heart Failure (hf),CatBoost baseline,0.2176,0.7538,0.6496,0.6547,0.6035,0.4986,0.953,365,221,367,18,0.3472584856396867,0.3677685950413223,0.0924062762007426,0.04999999999999999,0.0924062762007426,0.0712031381003713,1.0,,N/A,0.02024075617779284,0.1972,0.7983
Texas Cohort,Heart Failure (hf),XGBoost with ACT-parity,0.2313,0.7473,0.6343,0.6499,0.6272,0.5161,0.8773,336,273,315,47,0.381201044386423,0.43478260869565216,0.10665760869565216,0.1333333333333333,0.10665760869565216,0.11999547101449273,1.0,,N/A,0.0598315117806385,0.2058,0.5806
Texas Cohort,Heart Failure (hf),XGBoost baseline,0.1733,0.7551,0.6578,0.651,0.6169,0.5081,0.906,347,252,336,36,0.412532637075718,0.4297520661157025,0.08600206611570249,0.154874651810585,0.08600206611570249,0.12043835896314374,1.0,,N/A,0.020880784782172323,0.2043,0.5557
Texas Cohort,Heart Failure (hf),HIR-M3 Transformer,0.5204,0.5405,0.4275,0.5661,0.3955,0.3948,1.0,383,1,587,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,N/A,0.0,0.2822,0.9942
Texas Cohort,Heart Failure (hf),HIR-M3 Transformer with ACT-parity,0.3256,0.5223,0.4149,0.5661,0.3955,0.3948,1.0,383,1,587,0,0.9660574412532638,0.9855072463768116,0.030961791831357055,0.11940575673166202,0.030961791831357055,0.07518377428150955,1.0,,N/A,0.04032107510798474,0.239,0.4591
Texas Cohort,Heart Failure (hf),XGBoost + HIR-M3 Ensemble (30:70),0.4748,0.7528,0.6566,0.6458,0.6148,0.5067,0.8903,341,256,332,42,0.206266318537859,0.21487603305785125,0.058626033057851246,0.026485608170844888,0.058626033057851246,0.04255582061434807,1.0,,30:70,0.00412323386893744,0.2315,2.559
Texas Cohort,Heart Failure (hf),XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,0.3385,0.739,0.6117,0.6445,0.6138,0.506,0.8877,340,256,332,43,0.6814621409921671,0.7101449275362319,0.06951992753623193,0.04166666666666667,0.06951992753623193,0.0555932971014493,1.0,,30:70,0.0560765577720776,0.2111,2.337
