Cohort,Subcohort_Subgroup,Model_Name,Optimal_Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,TP,TN,FP,FN,Overall_FNR,Worst_Group_FNR,FNR Gap,FPR Gap,FNR_Gap_DGAP,Equalized_Odds_Difference_EOD,Demographic_Parity_Ratio_DPR,Fairness-Performance Stability Area,Selected Ensemble Ratio,EFNHI_Star,Brier_Score,Platt_Calibration_Slope
Texas Cohort,Diabetes + Heart Failure (d+hf),CatBoost with ACT-parity,0.305,0.7681,0.7353,0.7326,0.7008,0.641,0.8547,100,71,56,17,0.3247863247863248,0.4117647058823529,0.17843137254901958,0.1264367816091954,0.17843137254901958,0.1524340770791075,1.0,,N/A,0.1001920099646099,0.1988,0.7512
Texas Cohort,Diabetes + Heart Failure (d+hf),CatBoost baseline,0.2945,0.781,0.7394,0.7609,0.7295,0.6604,0.8974,105,73,54,12,0.29914529914529914,0.3235294117647059,0.09019607843137256,0.10721247563352826,0.09019607843137256,0.09870427703245041,1.0,,N/A,0.022770502726344972,0.1949,0.6598
Texas Cohort,Diabetes + Heart Failure (d+hf),XGBoost with ACT-parity,0.4685,0.7983,0.7527,0.7419,0.7377,0.7023,0.7863,92,88,39,25,0.24786324786324787,0.28,0.08000000000000002,0.22030651340996166,0.08000000000000002,0.15015325670498084,1.0,,N/A,0.03127812911020042,0.192,0.5707
Texas Cohort,Diabetes + Heart Failure (d+hf),XGBoost baseline,0.2979,0.7812,0.7432,0.738,0.709,0.6494,0.8547,100,73,54,17,0.26495726495726496,0.3,0.09999999999999998,0.185823754789272,0.09999999999999998,0.14291187739463598,1.0,,N/A,0.03302304174126601,0.2062,0.4528
Texas Cohort,Diabetes + Heart Failure (d+hf),HIR-M3 Transformer,0.5288,0.4505,0.4597,0.6518,0.4877,0.4835,1.0,117,2,125,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,N/A,0.0,0.2639,-1.5211
Texas Cohort,Diabetes + Heart Failure (d+hf),HIR-M3 Transformer with ACT-parity,0.491,0.524,0.5172,0.6482,0.4795,0.4795,1.0,117,0,127,0,0.5726495726495726,0.6333333333333333,0.16274509803921566,0.20272904483430798,0.16274509803921566,0.18273707143676182,1.0,,N/A,0.05658437669340126,0.2497,3.239
Texas Cohort,Diabetes + Heart Failure (d+hf),XGBoost + HIR-M3 Ensemble (30:70),0.4716,0.7662,0.721,0.742,0.7008,0.6325,0.8974,105,66,61,12,0.15384615384615385,0.2,0.1,0.3352826510721248,0.1,0.2176413255360624,1.0,,30:70,0.02248420231136765,0.2175,2.331
Texas Cohort,Diabetes + Heart Failure (d+hf),XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,0.4679,0.7982,0.7496,0.7431,0.7336,0.6912,0.8034,94,85,42,23,0.24786324786324787,0.28,0.08000000000000002,0.2375478927203065,0.08000000000000002,0.15877394636015324,1.0,,30:70,0.0322089911157839,0.2079,2.889
