Cohort,Subcohort_Subgroup,Model_Name,Optimal_Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,TP,TN,FP,FN,Overall_FNR,Worst_Group_FNR,FNR Gap,FPR Gap,FNR_Gap_DGAP,Equalized_Odds_Difference_EOD,Demographic_Parity_Ratio_DPR,Fairness-Performance Stability Area,Selected Ensemble Ratio,EFNHI_Star,Brier_Score,Platt_Calibration_Slope
Texas Cohort,Rural,CatBoost with ACT-parity,0.6555,0.8076,0.4309,0.4576,0.8199,0.4105,0.5169,949,9291,1363,887,0.2903050108932462,0.7727272727272727,0.5131852879944483,0.28012048192771083,0.5131852879944483,0.39665288496107953,1.0,,N/A,0.022981128324765718,0.1713,0.9248
Texas Cohort,Rural,CatBoost baseline,0.5927,0.8147,0.454,0.4665,0.7861,0.3682,0.6362,1168,8650,2004,668,0.2559912854030501,0.36363636363636365,0.17279666897987508,0.2755477651183173,0.17279666897987508,0.22417221704909618,1.0,,N/A,0.011195084300815918,0.1707,1.0155
Texas Cohort,Rural,XGBoost baseline,0.5736,0.8096,0.4436,0.4619,0.7941,0.375,0.6013,1104,8814,1840,732,0.3142701525054466,0.5,0.2633587786259542,0.2684195150452819,0.2633587786259542,0.26588914683561804,1.0,,N/A,0.02615403739330097,0.1562,0.878
Texas Cohort,Rural,XGBoost with ACT-parity,0.5568,0.808,0.4334,0.4593,0.7849,0.3643,0.6215,1141,8663,1991,695,0.3202614379084967,0.7272727272727273,0.4291958041958042,0.24767337135995196,0.4291958041958042,0.3384345877778781,1.0,,N/A,0.04814441751740792,0.1603,0.8259
Texas Cohort,Rural,HIR-M3 Transformer,0.5049,0.6204,0.2153,0.3015,0.6383,0.2105,0.531,975,6997,3657,861,0.45588235294117646,0.5,0.09923664122137404,0.4432234432234432,0.09923664122137404,0.27123004222240865,1.0,,N/A,0.016056490895701197,0.2376,0.9797
Texas Cohort,Rural,HIR-M3 Transformer with ACT-parity,0.1074,0.5317,0.1635,0.2574,0.1556,0.1478,0.9956,1828,116,10538,8,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,N/A,0.0,0.1254,0.5192
Texas Cohort,Rural,XGBoost + HIR-M3 Ensemble (30:70),0.512,0.7703,0.3824,0.4287,0.7632,0.3321,0.6046,1110,8422,2232,726,0.36056644880174293,0.5454545454545454,0.25156141568355306,0.11795831976554866,0.25156141568355306,0.18475986772455086,1.0,,30:70,0.034195277710339284,0.195,1.9812
Texas Cohort,Rural,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,0.2629,0.8036,0.4073,0.4575,0.7738,0.3533,0.6487,1191,8474,2180,645,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,30:70,0.0,0.1121,2.4672
