Cohort,Subcohort_Subgroup,Model_Name,Optimal_Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,TP,TN,FP,FN,Overall_FNR,Worst_Group_FNR,FNR Gap,FPR Gap,FNR_Gap_DGAP,Equalized_Odds_Difference_EOD,Demographic_Parity_Ratio_DPR,Fairness-Performance Stability Area,Selected Ensemble Ratio,EFNHI_Star,Brier_Score,Platt_Calibration_Slope
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),LightGBM baseline,0.2815,0.7301,0.6349,0.6758,0.6493,0.5598,0.8522,842,654,662,146,0.3299595141700405,0.4642857142857143,0.14141575912876364,0.16287878787878785,0.14141575912876364,0.15214727350377574,1.0,,N/A,0.010337550039990163,0.2171,0.5107
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),LightGBM with ACT-parity,0.2195,0.7242,0.6294,0.6757,0.6345,0.5454,0.8877,877,585,731,111,0.3491902834008097,0.42857142857142855,0.09673286354900701,0.2746212121212121,0.09673286354900701,0.18567703783510955,1.0,,N/A,0.04939807382309457,0.2225,0.4754
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),XGBoost baseline,0.2739,0.7302,0.6371,0.6752,0.6259,0.5378,0.9069,896,546,770,92,0.29048582995951416,0.39285714285714285,0.141736066623959,0.19787948771782488,0.141736066623959,0.16980777717089193,1.0,,N/A,0.021142352658815724,0.2099,0.7034
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),XGBoost with ACT-parity,0.3615,0.729,0.639,0.6753,0.6528,0.5637,0.8421,832,672,644,156,0.305668016194332,0.42857142857142855,0.13472527472527468,0.4356060606060606,0.13472527472527468,0.28516566766566764,1.0,,N/A,0.014013611316623195,0.2122,0.6746
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),HIR-M3 Transformer,0.451,0.5284,0.4489,0.6008,0.4301,0.4294,1.0,988,3,1313,0,0.06578947368421052,0.14285714285714285,0.0940766550522648,0.07692307692307687,0.0940766550522648,0.08549986598767084,1.0,,N/A,0.0,0.2513,1.2027
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),HIR-M3 Transformer with ACT-parity,0.2159,0.5207,0.4414,0.6008,0.4301,0.4294,1.0,988,3,1313,0,0.958502024291498,0.9878048780487805,0.09494773519163757,0.041666666666666664,0.09494773519163757,0.06830720092915211,1.0,,N/A,0.0545730472091614,0.2455,0.4524
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),XGBoost + HIR-M3 Ensemble (90:10),0.2965,0.7303,0.6368,0.6755,0.6259,0.5378,0.9079,897,545,771,91,0.29048582995951416,0.39285714285714285,0.141736066623959,0.19787948771782488,0.141736066623959,0.16980777717089193,1.0,,90:10,0.021142352658815724,0.208,0.8631
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,0.3856,0.7291,0.6391,0.6752,0.6597,0.5715,0.8249,815,705,611,173,0.3228744939271255,0.4642857142857143,0.15197802197802202,0.4356060606060606,0.15197802197802202,0.2937920412920413,1.0,,90:10,0.01527074981766262,0.2089,0.8155
