Cohort,Subcohort_Subgroup,Model_Name,Optimal_Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,TP,TN,FP,FN,Overall_FNR,Worst_Group_FNR,FNR Gap,FPR Gap,FNR_Gap_DGAP,Equalized_Odds_Difference_EOD,Demographic_Parity_Ratio_DPR,Fairness-Performance Stability Area,Selected Ensemble Ratio,EFNHI_Star,Brier_Score,Platt_Calibration_Slope
Texas Cohort,Urban,CatBoost with ACT-parity,0.6555,0.8076,0.4309,0.4576,0.8199,0.4105,0.5169,949,9291,1363,887,0.2903050108932462,0.7727272727272727,0.5131852879944483,0.28012048192771083,0.5131852879944483,0.39665288496107953,1.0,,N/A,0.022981128324765718,0.1713,0.9248
Texas Cohort,Urban,CatBoost baseline,0.5927,0.8147,0.454,0.4665,0.7861,0.3682,0.6362,1168,8650,2004,668,0.2559912854030501,0.36363636363636365,0.17279666897987508,0.2755477651183173,0.17279666897987508,0.22417221704909618,1.0,,N/A,0.011195084300815918,0.1707,1.0155
Texas Cohort,Urban,XGBoost baseline,0.5736,0.8096,0.4436,0.4619,0.7941,0.375,0.6013,1104,8814,1840,732,0.3142701525054466,0.5,0.2633587786259542,0.2684195150452819,0.2633587786259542,0.26588914683561804,1.0,,N/A,0.02615403739330097,0.1562,0.878
Texas Cohort,Urban,XGBoost with ACT-parity,0.5568,0.808,0.4334,0.4593,0.7849,0.3643,0.6215,1141,8663,1991,695,0.3202614379084967,0.7272727272727273,0.4291958041958042,0.24767337135995196,0.4291958041958042,0.3384345877778781,1.0,,N/A,0.04814441751740792,0.1603,0.8259
Texas Cohort,Urban,HIR-M3 Transformer,0.4863,0.618,0.2144,0.2994,0.6107,0.2036,0.5659,1039,6589,4065,797,0.4940087145969499,0.5017482517482518,0.047549778465809045,0.2710622710622711,0.047549778465809045,0.15930602476404007,1.0,,N/A,0.009638410358918624,0.2331,1.1161
Texas Cohort,Urban,HIR-M3 Transformer with ACT-parity,0.1205,0.5361,0.1666,0.2588,0.2331,0.1508,0.9107,1672,1240,9414,164,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,N/A,0.0,0.1251,0.9259
Texas Cohort,Urban,XGBoost + HIR-M3 Ensemble (30:70),0.5143,0.7763,0.3905,0.4322,0.7738,0.3425,0.5855,1075,8590,2064,761,0.3741830065359477,0.5,0.19083969465648853,0.14012474012474013,0.19083969465648853,0.16548221739061433,1.0,,30:70,0.041385274054434006,0.1923,2.1751
Texas Cohort,Urban,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,0.2676,0.8078,0.4211,0.4582,0.7861,0.365,0.6155,1130,8688,1966,706,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,30:70,0.0,0.1117,2.5473
