Cohort,Subcohort_Subgroup,Model_Name,Optimal_Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,TP,TN,FP,FN,Overall_FNR,Worst_Group_FNR,FNR Gap,FPR Gap,FNR_Gap_DGAP,Equalized_Odds_Difference_EOD,Demographic_Parity_Ratio_DPR,Fairness-Performance Stability Area,Selected Ensemble Ratio,EFNHI_Star,Brier_Score,Platt_Calibration_Slope
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),LightGBM baseline,0.4104,0.7634,0.6036,0.6313,0.673,0.5202,0.8026,2326,3267,2145,572,0.3033126293995859,0.4,0.10167286245353163,0.2242562929061785,0.10167286245353163,0.16296457767985506,1.0,,N/A,0.09022305876925603,0.1925,0.7883
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),LightGBM with ACT-parity,0.3501,0.7485,0.5785,0.6156,0.6412,0.4914,0.824,2388,2940,2472,510,0.32091097308488614,0.5166666666666667,0.2188042131350682,0.21842625852464992,0.2188042131350682,0.21861523582985906,1.0,,N/A,0.1843404188300817,0.2017,0.6512
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),XGBoost baseline,0.4159,0.7686,0.6091,0.6343,0.6677,0.5147,0.8261,2394,3155,2257,504,0.2577639751552795,0.38333333333333336,0.13100991325898392,0.15119934792734047,0.13100991325898392,0.1411046305931622,1.0,,N/A,0.09797674467045868,0.1932,0.8938
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),XGBoost with ACT-parity,0.4105,0.7513,0.5833,0.6195,0.6509,0.4997,0.815,2362,3047,2365,536,0.29330572808833677,0.5166666666666667,0.23599752168525406,0.24414337029517413,0.23599752168525406,0.2400704459902141,1.0,,N/A,0.18476852252528006,0.2008,0.7598
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),HIR-M3 Transformer,0.4029,0.6097,0.4609,0.5178,0.3785,0.3549,0.9569,2773,372,5040,125,0.5403726708074534,0.5816733067729084,0.12605200499776048,0.21277414390150057,0.12605200499776048,0.16941307444963052,1.0,,N/A,0.05247773157888354,0.2472,0.9133
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),HIR-M3 Transformer with ACT-parity,0.2422,0.5641,0.3868,0.5176,0.3511,0.3494,0.9983,2893,25,5387,5,0.9993098688750862,1.0,0.0019920318725099584,0.0034619188921859545,0.0019920318725099584,0.0027269753823479567,1.0,,N/A,0.001744140922651783,0.2279,0.7834
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),XGBoost + HIR-M3 Ensemble (90:10),0.4128,0.769,0.6085,0.6324,0.662,0.5094,0.8337,2416,3085,2327,482,0.2567287784679089,0.38333333333333336,0.13054522924411405,0.15341173730787144,0.13054522924411405,0.14197848327599275,1.0,,90:10,0.09850752633623652,0.1933,1.0423
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,0.4034,0.7515,0.5834,0.6202,0.6531,0.5016,0.8123,2354,3073,2339,544,0.32056590752242925,0.5666666666666667,0.25997521685254027,0.21793169868290907,0.25997521685254027,0.23895345776772467,1.0,,90:10,0.22972747677305555,0.1956,0.9087
