Cohort,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Texas Cohort,62449,756,Standard MLP,Accuracy,0.6491833466773419,0.6405064051240993,0.656136909527622,0.6492 (0.6405 - 0.6561)
Texas Cohort,62449,756,Standard MLP,Precision,0.23600973184487856,0.2244801796261489,0.24792366584365538,0.2360 (0.2245 - 0.2479)
Texas Cohort,62449,756,Standard MLP,Recall_Sensitivity,0.6185432917461735,0.5971816018491576,0.6395502489477148,0.6185 (0.5972 - 0.6396)
Texas Cohort,62449,756,Standard MLP,Specificity,0.6544726096821074,0.6453591676850414,0.6627441308149729,0.6545 (0.6454 - 0.6627)
Texas Cohort,62449,756,Standard MLP,Brier_Score,0.2189620015869837,0.2160844225838763,0.2214517246931107,0.2190 (0.2161 - 0.2215)
Texas Cohort,62449,756,Standard Transformer,ROC_AUC,0.6558588862909721,0.6430814730671883,0.669394070837162,0.6559 (0.6431 - 0.6694)
Texas Cohort,62449,756,Standard Transformer,PR_AUC,0.27854590858915573,0.2594705154474443,0.30075827090232626,0.2785 (0.2595 - 0.3008)
Texas Cohort,62449,756,Standard Transformer,F1_Score,0.31755990384959093,0.30387880581948457,0.33406527412876,0.3176 (0.3039 - 0.3341)
Texas Cohort,62449,756,Standard Transformer,Accuracy,0.678828262610088,0.6709307445956766,0.6862349879903923,0.6788 (0.6709 - 0.6862)
Texas Cohort,62449,756,Standard Transformer,Precision,0.23104446768555184,0.21974378179383147,0.24547732060519625,0.2310 (0.2197 - 0.2455)
Texas Cohort,62449,756,Standard Transformer,Recall_Sensitivity,0.507833388676596,0.48343088975313203,0.5300677797450942,0.5078 (0.4834 - 0.5301)
Texas Cohort,62449,756,Standard Transformer,Specificity,0.7083338061033575,0.7007685064784216,0.7162821240132528,0.7083 (0.7008 - 0.7163)
Texas Cohort,62449,756,Standard Transformer,Brier_Score,0.22331874343684785,0.22160316708889558,0.22496954264882088,0.2233 (0.2216 - 0.2250)
Texas Cohort,62449,756,SAINT Transformer,ROC_AUC,0.6475309623587817,0.6331814962307815,0.6602609409544802,0.6475 (0.6332 - 0.6603)
Texas Cohort,62449,756,SAINT Transformer,PR_AUC,0.27388735608651776,0.25488947235607246,0.2947372507198188,0.2739 (0.2549 - 0.2947)
Texas Cohort,62449,756,SAINT Transformer,F1_Score,0.26160118014370304,0.2532153092014874,0.27211127565699694,0.2616 (0.2532 - 0.2721)
