Cohort,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Nationwide Cohort,339308,2075,Gradient Boosting,Precision,0.2828739057230473,0.2755521928287006,0.2910175554029807,0.2829 (0.2756 - 0.2910)
Nationwide Cohort,339308,2075,Gradient Boosting,Recall_Sensitivity,0.4285864173585591,0.41828491508393495,0.437963845545468,0.4286 (0.4183 - 0.4380)
Nationwide Cohort,339308,2075,Gradient Boosting,Specificity,0.8388036431476904,0.8360444636720494,0.8420416753964832,0.8388 (0.8360 - 0.8420)
Nationwide Cohort,339308,2075,Gradient Boosting,Brier_Score,0.2135309221552766,0.21236147169470487,0.21461077121095423,0.2135 (0.2124 - 0.2146)
Nationwide Cohort,339308,2075,Logistic Regression,ROC_AUC,0.7118674945441161,0.7059355698359832,0.7171730308517552,0.7119 (0.7059 - 0.7172)
Nationwide Cohort,339308,2075,Logistic Regression,PR_AUC,0.2942039585273683,0.2861249432416445,0.30366113372927733,0.2942 (0.2861 - 0.3037)
Nationwide Cohort,339308,2075,Logistic Regression,F1_Score,0.3434992732128427,0.33617497249336753,0.3506107252594778,0.3435 (0.3362 - 0.3506)
Nationwide Cohort,339308,2075,Logistic Regression,Accuracy,0.7732580089004155,0.7706496271845804,0.7766364091833426,0.7733 (0.7706 - 0.7766)
Nationwide Cohort,339308,2075,Logistic Regression,Precision,0.2743881878398572,0.26747509353281695,0.28098492047245754,0.2744 (0.2675 - 0.2810)
Nationwide Cohort,339308,2075,Logistic Regression,Recall_Sensitivity,0.45917770127956603,0.4479238077684362,0.470321755404745,0.4592 (0.4479 - 0.4703)
Nationwide Cohort,339308,2075,Logistic Regression,Specificity,0.8198531693251364,0.8169939055247017,0.8234184795709469,0.8199 (0.8170 - 0.8234)
Nationwide Cohort,339308,2075,Logistic Regression,Brier_Score,0.21024565589181912,0.20890589439051158,0.2115701769370505,0.2102 (0.2089 - 0.2116)
