Cohort,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Nationwide Cohort,339308,2075,LightGBM,ROC_AUC,0.7185433934593015,0.7123543415023501,0.7243456781053195,0.7185 (0.7124 - 0.7243)
Nationwide Cohort,339308,2075,LightGBM,PR_AUC,0.31298412907264106,0.3035670781915443,0.32132095326364063,0.3130 (0.3036 - 0.3213)
Nationwide Cohort,339308,2075,LightGBM,F1_Score,0.34981983828947544,0.342525648426632,0.35759644262418694,0.3498 (0.3425 - 0.3576)
Nationwide Cohort,339308,2075,LightGBM,Accuracy,0.7724658866523239,0.7695566001591465,0.7751031505113318,0.7725 (0.7696 - 0.7751)
Nationwide Cohort,339308,2075,LightGBM,Precision,0.27727073550584713,0.2705938373902799,0.2843486785751264,0.2773 (0.2706 - 0.2843)
Nationwide Cohort,339308,2075,LightGBM,Recall_Sensitivity,0.47382034109106014,0.463582754080794,0.4840089316269285,0.4738 (0.4636 - 0.4840)
Nationwide Cohort,339308,2075,LightGBM,Specificity,0.8167719213878851,0.8139762791643841,0.8200395173396864,0.8168 (0.8140 - 0.8200)
Nationwide Cohort,339308,2075,LightGBM,Brier_Score,0.19456850487210658,0.19343076877175053,0.19575671329901145,0.1946 (0.1934 - 0.1958)
Nationwide Cohort,339308,2075,XGBoost,ROC_AUC,0.718109685686527,0.7118841099752109,0.7238971490325127,0.7181 (0.7119 - 0.7239)
Nationwide Cohort,339308,2075,XGBoost,PR_AUC,0.3128765995646468,0.30371309392761064,0.32225204536072893,0.3129 (0.3037 - 0.3223)
Nationwide Cohort,339308,2075,XGBoost,F1_Score,0.3527361280407856,0.34519530637864,0.3608687194548756,0.3527 (0.3452 - 0.3609)
Nationwide Cohort,339308,2075,XGBoost,Accuracy,0.7746092805988625,0.7714442545165189,0.7774616132739972,0.7746 (0.7714 - 0.7775)
Nationwide Cohort,339308,2075,XGBoost,Precision,0.28039967826757994,0.273521582096193,0.2883394023063121,0.2804 (0.2735 - 0.2883)
Nationwide Cohort,339308,2075,XGBoost,Recall_Sensitivity,0.4754014418502572,0.46434671162199637,0.4857827766501355,0.4754 (0.4643 - 0.4858)
Nationwide Cohort,339308,2075,XGBoost,Specificity,0.8189981702557253,0.8158969753513283,0.8221057379088691,0.8190 (0.8159 - 0.8221)
Nationwide Cohort,339308,2075,XGBoost,Brier_Score,0.19923227147515818,0.19796550376214722,0.20041141432407533,0.1992 (0.1980 - 0.2004)
Nationwide Cohort,339308,2075,CatBoost,ROC_AUC,0.7199633785559146,0.7143951733451042,0.7260107793107943,0.7200 (0.7144 - 0.7260)
Nationwide Cohort,339308,2075,CatBoost,PR_AUC,0.3136406572105991,0.3047928383732377,0.3218748723936147,0.3136 (0.3048 - 0.3219)
Nationwide Cohort,339308,2075,CatBoost,F1_Score,0.3519802921051259,0.3440358844568377,0.3594342709291321,0.3520 (0.3440 - 0.3594)
