urban_rural,count_x,count_y,mean,std,min,25%,50%,75%,max,has_diabetes,has_heart_failure,has_hypertension,ever_readmitted,ever_deceased,Days_Cared_For,ACS_PCT_BACHELOR_DGR,ACS_PCT_COLLEGE_ASSOCIATE_DGR,ACS_PCT_GRADUATE_DGR,ACS_PCT_HS_GRADUATE,ACS_PCT_LT_HS,ACS_PCT_NO_WORK_NO_SCHL_16_19,ACS_PCT_POSTHS_ED,ACS_PCT_VET_BACHELOR,ACS_PCT_VET_COLLEGE,ACS_PCT_VET_HS,ACS_PCT_HH_LIMIT_ENGLISH,ACS_PCT_HH_BROADBAND,ACS_PCT_HH_BROADBAND_ONLY,ACS_PCT_HH_CELLULAR,ACS_PCT_HH_CELLULAR_ONLY,ACS_PCT_HH_DIAL_INTERNET_ONLY,ACS_PCT_HH_INTERNET,ACS_PCT_HH_INTERNET_NO_SUBS,ACS_PCT_HH_NO_COMP_DEV,ACS_PCT_HH_NO_INTERNET,ACS_PCT_HH_OTHER_COMP,ACS_PCT_HH_OTHER_COMP_ONLY,ACS_PCT_HH_PC,ACS_PCT_HH_PC_ONLY,ACS_PCT_HH_SAT_INTERNET,ACS_PCT_HH_SMARTPHONE,ACS_PCT_HH_SMARTPHONE_ONLY,ACS_PCT_HH_TABLET,ACS_PCT_HH_TABLET_ONLY,ACS_PCT_CHILDREN_GRANDPARENT,ACS_PCT_CHILD_1FAM,ACS_PCT_GRANDP_NO_RESPS,ACS_PCT_GRANDP_RESPS_NO_P,ACS_PCT_GRANDP_RESPS_P,ACS_PCT_HH_1PERS,ACS_PCT_HH_ABOVE65,ACS_PCT_HH_ALONE_ABOVE65,ACS_PCT_HH_KID_1PRNT,ACS_TOT_GRANDCHILDREN_GP,ACS_PCT_HEALTH_INC_138_199,ACS_PCT_HEALTH_INC_200_399,ACS_PCT_HEALTH_INC_ABOVE400,ACS_PCT_HEALTH_INC_BELOW137,ACS_PCT_HH_1FAM_FOOD_STMP,ACS_PCT_HH_FOOD_STMP_BLW_POV,ACS_PCT_HH_NO_FD_STMP_BLW_POV,ACS_PCT_HH_PUB_ASSIST,ACS_PCT_INC50,ACS_PCT_INC50_ABOVE65,ACS_PCT_NONVET_POV_18_64,ACS_PCT_PERSON_INC_100_124,ACS_PCT_PERSON_INC_125_199,ACS_PCT_PERSON_INC_ABOVE200,ACS_PCT_PERSON_INC_BELOW99,ACS_PCT_POV_AIAN,ACS_PCT_POV_ASIAN,ACS_PCT_POV_BLACK,ACS_PCT_POV_HISPANIC,ACS_PCT_POV_MULTI,ACS_PCT_POV_NHPI,ACS_PCT_POV_OTHER,ACS_PCT_POV_WHITE,ACS_PCT_VET_POV_18_64,ACS_TOT_POP_POV
Urban,1868558,1868558.0,75.62098741382393,12.582471198782775,17.0,68.0,77.0,85.0,117.0,0.11849297693729603,0.09380602582312136,0.19784400591258072,0.12352948102226423,0.8756452836893476,64.70765156874981,20.05,29.61,12.53,25.71,11.61,1.96,62.19,30.03,36.63,31.88,4.31,69.79,8.25,75.05,11.07,0.26,84.84,2.71,7.98,11.61,2.63,0.02,77.31,4.78,6.79,83.18,8.5,61.23,0.93,8.31,31.85,42.94,14.7,22.43,27.98,30.44,11.29,17.58,71.13,10.76,29.24,38.94,20.26,23.97,5.48,7.8,12.66,6.37,3.28,13.22,4.25,12.92,68.23,13.82,8.68,10.12,19.29,16.25,15.01,2.4,13.8,11.69,9.22,3835.14
Rural,997133,997133.0,74.40229437798168,12.693402991397868,18.0,67.0,76.0,84.0,118.0,0.12971188397134584,0.10002477101851007,0.21068102249148307,0.14381531851819165,0.8652225931746317,70.66645572857382,11.06,29.88,6.18,37.65,14.86,2.68,47.13,16.86,36.69,45.97,1.07,48.11,9.28,60.86,16.42,0.44,72.97,3.72,15.95,22.83,1.85,0.02,63.38,6.16,10.14,73.34,13.33,48.56,1.31,11.34,31.03,36.85,26.9,29.82,28.18,35.51,13.47,16.14,80.83,13.86,32.85,26.84,25.98,32.68,7.88,9.5,15.1,7.37,3.47,16.84,5.87,16.66,59.71,17.28,8.81,6.89,24.89,20.88,20.43,1.81,12.4,14.09,12.11,3159.67
