state,has_diabetes,has_heart_failure,has_hypertension
AK,12.76595744680851,4.25531914893617,19.148936170212767
AL,12.776917534149968,9.111257608045747,24.230763334202095
AR,13.629504436530452,10.430373634333314,22.985453008993783
AZ,9.3535015950867,6.933744221879815,14.136591505892055
CA,13.735124311588676,9.203049293009279,23.348705283688748
CO,8.132391545560337,6.898324808530215,11.047062325782793
DC,16.209476309226932,11.277362150180105,26.378498198947074
DE,9.562982005141388,10.702656383890318,17.052270779777206
FL,9.568971277124891,7.321400731991597,16.37664159880031
GA,13.34693772117893,9.676336114483506,22.996151163691785
HI,11.540443070582175,10.681779151640049,16.743946419371458
IA,10.995601759296282,11.040028433071216,14.598605002443469
ID,8.815723405781508,7.847356717595582,14.303134638835092
IL,13.267558094248994,11.660086597276843,23.71192278027659
IN,12.67406849830636,10.779701417638941,19.07696650357546
KS,13.518156034035073,10.222506291694962,22.70203331602285
KY,12.296863101981687,10.283602325279052,18.566944635328642
LA,14.628463990844438,9.588817133981852,24.764979972206326
MD,11.072508640552996,9.940236175115208,19.633856566820278
MI,11.405568128141677,10.592697559978285,18.63327763795182
MN,10.536475307094511,9.744296816244672,15.663073451992982
MO,11.869959677419354,11.130218216318784,19.307400379506642
MS,15.938569268719663,9.487811994376807,29.702129916978333
MT,10.404141616566466,9.285237140948563,17.78557114228457
NC,12.700529055380153,10.928833518218278,18.9041300452257
ND,11.843496651392316,15.15685583362707,22.347550229115264
NE,10.44397172853908,8.447128250874906,14.540588760035684
NM,11.388243296865257,6.949719403661923,14.953800804943029
NV,14.111983785153281,8.074848890658366,24.941184986789246
NY,10.663333655585786,10.108138715870012,19.684560884997307
OH,11.888527570894087,9.820856207093488,18.607876732286677
OK,13.37638774893084,8.158019784871918,21.432891269601278
OR,10.186081531676885,11.11111111111111,16.4963608332437
PA,11.711623200224004,11.219893204694277,19.94822343503613
SC,12.682707037938181,9.573758673515364,19.33315310444264
SD,9.336235038084876,10.272034820457018,18.150163220892274
TN,13.305942694486964,10.223153145895433,21.570128091516956
TX,16.479245657396984,8.120139239359705,26.975253525197235
UT,8.444371781247446,6.0328619308428015,10.557508378974905
VA,10.575374621284492,9.996724622649236,15.949722957665749
WA,10.175669518554145,11.403331139573735,16.235508530349822
WI,10.058831640391599,11.125155122489314,16.693477961115963
WV,13.68574082300206,10.467229334087145,19.109154787384405
WY,10.41286079649251,9.207161125319693,15.491413956887104
