Cohort,Subcohort_Subgroup,Model_Name,Optimal_Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,TP,TN,FP,FN,Overall_FNR,Worst_Group_FNR,FNR Gap,FPR Gap,FNR_Gap_DGAP,Equalized_Odds_Difference_EOD,Demographic_Parity_Ratio_DPR,Fairness-Performance Stability Area,Selected Ensemble Ratio,EFNHI_Star,Brier_Score,Platt_Calibration_Slope,Subgroup,Source_File
Nationwide,Heart Failure + Hypertension (hf+hyp),XGBoost + HIR-M3 Ensemble (90:10),0.4128,0.769,0.6085,0.6324,0.662,0.5094,0.8337,2416,3085,2327,482,0.2567287784679089,0.3833333333333333,0.130545229244114,0.1534117373078714,0.130545229244114,0.1419784832759927,1.0,,90:10,0.0985075263362365,0.1933,1.0423,Heart Failure + Hypertension,parity_Nationwide_Cohort_Heart_Failure__plus__Hypertension_hf_plus_hyp.csv
Nationwide,Heart Failure + Hypertension (hf+hyp),XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,0.4034,0.7515,0.5834,0.6202,0.6531,0.5016,0.8123,2354,3073,2339,544,0.3205659075224292,0.5666666666666667,0.2599752168525402,0.217931698682909,0.2599752168525402,0.2389534577677246,1.0,,90:10,0.2297274767730555,0.1956,0.9087,Heart Failure + Hypertension,parity_Nationwide_Cohort_Heart_Failure__plus__Hypertension_hf_plus_hyp.csv
Nationwide,Heart Failure (hf),LightGBM baseline,0.4243,0.781,0.595,0.6177,0.6949,0.5137,0.7744,1555,2829,1472,453,0.3162350597609561,0.3457943925233644,0.0671058679332005,0.4,0.0671058679332005,0.2335529339666003,1.0,,,0.0321361468394274,0.1819,0.8006,Heart Failure,parity_Nationwide_Cohort_Heart_Failure_hf.csv
Nationwide,Heart Failure (hf),LightGBM with ACT-parity,0.3821,0.7704,0.5829,0.6127,0.6748,0.4933,0.8083,1623,2634,1667,385,0.3177290836653386,0.5277777777777778,0.2347964513128711,0.3087827426810478,0.2347964513128711,0.2717895969969595,1.0,,,0.2155580791647263,0.1894,0.7015,Heart Failure,parity_Nationwide_Cohort_Heart_Failure_hf.csv
Nationwide,Heart Failure (hf),XGBoost with ACT-parity,0.4864,0.7747,0.5824,0.6138,0.6982,0.5178,0.7535,1513,2892,1409,495,0.2664342629482071,0.4444444444444444,0.196537168204908,0.3340523882896764,0.196537168204908,0.2652947782472922,1.0,,,0.1520546885203917,0.1906,0.8276,Heart Failure,parity_Nationwide_Cohort_Heart_Failure_hf.csv
Nationwide,Heart Failure (hf),XGBoost baseline,0.457,0.7843,0.6051,0.6175,0.6895,0.5079,0.7874,1581,2769,1532,427,0.2579681274900398,0.3333333333333333,0.1169398907103825,0.4,0.1169398907103825,0.2584699453551912,1.0,,,0.0628148955464767,0.1859,0.9383,Heart Failure,parity_Nationwide_Cohort_Heart_Failure_hf.csv
Nationwide,Heart Failure (hf),HIR-M3 Transformer,0.4822,0.5206,0.3368,0.483,0.3189,0.3184,0.9995,2007,5,4296,1,0.1035856573705179,0.1094655505473277,0.0440449897996642,0.6923076923076923,0.0440449897996642,0.3681763410536782,1.0,,,0.0007951651381706,0.2509,2.3962,Heart Failure,parity_Nationwide_Cohort_Heart_Failure_hf.csv
Nationwide,Heart Failure (hf),HIR-M3 Transformer with ACT-parity,0.2633,0.5134,0.328,0.4834,0.3226,0.3192,0.996,2000,35,4266,8,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.2178,0.3538,Heart Failure,parity_Nationwide_Cohort_Heart_Failure_hf.csv
Nationwide,Heart Failure (hf),XGBoost + HIR-M3 Ensemble (90:10),0.4724,0.7843,0.6051,0.6174,0.6928,0.5114,0.7789,1564,2807,1494,444,0.2574701195219123,0.3333333333333333,0.1169398907103825,0.4,0.1169398907103825,0.2584699453551912,1.0,,90:10,0.0631632747834533,0.1859,1.1232,Heart Failure,parity_Nationwide_Cohort_Heart_Failure_hf.csv
Nationwide,Heart Failure (hf),XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,0.4324,0.7747,0.5828,0.614,0.6811,0.4994,0.7968,1600,2697,1604,408,0.2898406374501992,0.5,0.2289117836445589,0.3186440677966101,0.2289117836445589,0.2737779257205845,1.0,,90:10,0.1978546950347111,0.186,0.9887,Heart Failure,parity_Nationwide_Cohort_Heart_Failure_hf.csv
Nationwide,Hypertension (hyp),LightGBM baseline,0.4921,0.7903,0.5188,0.5404,0.7266,0.4452,0.6875,2119,7461,2641,963,0.3254380272550292,0.5584415584415584,0.4045954045954045,0.1599814099814099,0.4045954045954045,0.2822884072884072,1.0,,,0.2932374884537124,0.1713,0.8636,Hypertension,parity_Nationwide_Cohort_Hypertension_hyp.csv
Nationwide,Hypertension (hyp),XGBoost with ACT-parity,0.521,0.7825,0.5062,0.5304,0.7187,0.4349,0.6798,2095,7380,2722,987,0.2991563919532771,0.6883116883116883,0.4157445372769018,0.314028314028314,0.4157445372769018,0.364886425652608,1.0,,,0.3857399569126166,0.1836,0.861,Hypertension,parity_Nationwide_Cohort_Hypertension_hyp.csv
Nationwide,Hypertension (hyp),LightGBM with ACT-parity,0.4567,0.7793,0.5052,0.5284,0.6976,0.4158,0.7249,2234,6963,3139,848,0.3293316028552888,0.8441558441558441,0.5641030039973236,0.3041613041613041,0.5641030039973236,0.4341321540793139,1.0,,,0.5949468066432748,0.1793,0.7663,Hypertension,parity_Nationwide_Cohort_Hypertension_hyp.csv
Nationwide,Hypertension (hyp),XGBoost baseline,0.5482,0.795,0.5264,0.5448,0.7435,0.4655,0.6567,2024,7778,2324,1058,0.2757949383517196,0.4285714285714285,0.1978021978021977,0.2380952380952381,0.1978021978021977,0.2179487179487179,1.0,,,0.1473919135941976,0.1777,0.967,Hypertension,parity_Nationwide_Cohort_Hypertension_hyp.csv
Nationwide,Hypertension (hyp),HIR-M3 Transformer,0.439,0.5784,0.2878,0.3908,0.4192,0.2589,0.7969,2456,3071,7031,626,0.4591174561972745,0.7128205128205128,0.2856958981133354,0.2728870605833956,0.2856958981133354,0.2792914793483655,1.0,,,0.217876716063839,0.2419,0.8749,Hypertension,parity_Nationwide_Cohort_Hypertension_hyp.csv
Nationwide,Hypertension (hyp),HIR-M3 Transformer with ACT-parity,0.1534,0.5236,0.2531,0.3791,0.2346,0.2339,0.9997,3081,12,10090,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.1801,0.2761,Hypertension,parity_Nationwide_Cohort_Hypertension_hyp.csv
Nationwide,Hypertension (hyp),XGBoost + HIR-M3 Ensemble (90:10),0.5336,0.7948,0.526,0.545,0.7371,0.4577,0.6736,2076,7642,2460,1006,0.2774172615184945,0.4155844155844156,0.1848151848151848,0.2380952380952381,0.1848151848151848,0.2114552114552114,1.0,,90:10,0.1338093474661812,0.1778,1.1386,Hypertension,parity_Nationwide_Cohort_Hypertension_hyp.csv
Nationwide,Hypertension (hyp),XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,0.4872,0.7826,0.5069,0.5301,0.715,0.4312,0.6879,2120,7306,2796,962,0.3325762491888384,0.7272727272727273,0.425203154397342,0.2852852852852853,0.425203154397342,0.3552442198413136,1.0,,90:10,0.4739604151351573,0.1747,1.0172,Hypertension,parity_Nationwide_Cohort_Hypertension_hyp.csv
Nationwide,Overall,XGBoost with ACT-parity,0.6571,0.8136,0.3963,0.4352,0.813,0.3562,0.5593,4889,50284,8837,3852,0.2500858025397551,0.7333333333333333,0.4969696969696969,0.1759395596690506,0.4969696969696969,0.3364546283193738,1.0,0.0,,0.1381597612469549,0.1723,0.9283,Overall,parity_Nationwide_Cohort_Overall.csv
Nationwide,Overall,XGBoost baseline,0.6554,0.8241,0.4167,0.4494,0.8234,0.3755,0.5595,4891,50985,8136,3850,0.2396750943827937,0.5333333333333333,0.3225895316804408,0.0759027878381659,0.3225895316804408,0.1992461597593033,1.0,0.0,,0.0704958136074676,0.169,1.0158,Overall,parity_Nationwide_Cohort_Overall.csv
Nationwide,Overall,LightGBM baseline,0.6319,0.8256,0.4237,0.4492,0.8128,0.3616,0.5927,5181,49975,9146,3560,0.2441368264500629,0.6,0.3785123966942149,0.0945494157983412,0.3785123966942149,0.236530906246278,1.0,0.0,,0.1167537401626298,0.1647,0.995,Overall,parity_Nationwide_Cohort_Overall.csv
Nationwide,Overall,LightGBM with ACT-parity,0.631,0.8129,0.3999,0.4335,0.799,0.3403,0.597,5218,49007,10114,3523,0.2555771650840865,0.8,0.5593495934959349,0.2167393336546747,0.5593495934959349,0.3880444635753048,1.0,0.0,,0.4195898229027335,0.1716,0.8911,Overall,parity_Nationwide_Cohort_Overall.csv
Nationwide,Overall,HIR-M3 Transformer,0.6176,0.7063,0.2631,0.3239,0.7467,0.2468,0.471,4117,46556,12565,4624,0.1158906303626587,0.2941176470588235,0.1941176470588235,0.3065079365079365,0.1941176470588235,0.25031279178338,1.0,0.0,,0.0297646251019198,0.2645,1.071,Overall,parity_Nationwide_Cohort_Overall.csv
Nationwide,Overall,HIR-M3 Transformer with ACT-parity,0.11,0.655,0.2163,0.2882,0.7134,0.2119,0.4504,3937,44476,14645,4804,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.1093,0.8674,Overall,parity_Nationwide_Cohort_Overall.csv
Nationwide,Overall,XGBoost + HIR-M3 Ensemble (90:10),0.647,0.8239,0.4156,0.449,0.8223,0.3738,0.5621,4913,50889,8232,3828,0.2317812607253174,0.5333333333333333,0.3292011019283746,0.0751749012780401,0.3292011019283746,0.2021880016032074,1.0,0.0,90:10,0.0670806211920018,0.173,1.1223,Overall,parity_Nationwide_Cohort_Overall.csv
Nationwide,Overall,XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,0.5963,0.8136,0.3963,0.4358,0.8098,0.3527,0.5702,4984,49973,9148,3757,0.2910422148495595,0.7333333333333333,0.4647382920110192,0.1624158603281447,0.4647382920110192,0.3135770761695819,1.0,0.0,90:10,0.1948187261971677,0.1538,1.0714,Overall,parity_Nationwide_Cohort_Overall.csv
Nationwide,Rural,LightGBM baseline,0.6319,0.8256,0.4237,0.4492,0.8128,0.3616,0.5927,5181,49975,9146,3560,0.2441368264500629,0.6,0.3785123966942149,0.0945494157983412,0.3785123966942149,0.236530906246278,1.0,,,0.1167537401626298,0.1647,0.995,Rural,parity_Nationwide_Cohort_Rural.csv
Nationwide,Rural,LightGBM with ACT-parity,0.631,0.8129,0.3999,0.4335,0.799,0.3403,0.597,5218,49007,10114,3523,0.2555771650840865,0.8,0.5593495934959349,0.2167393336546747,0.5593495934959349,0.3880444635753048,1.0,,,0.4195898229027335,0.1716,0.8911,Rural,parity_Nationwide_Cohort_Rural.csv
Nationwide,Rural,XGBoost with ACT-parity,0.6571,0.8136,0.3963,0.4352,0.813,0.3562,0.5593,4889,50284,8837,3852,0.2500858025397551,0.7333333333333333,0.4969696969696969,0.1759395596690506,0.4969696969696969,0.3364546283193738,1.0,,,0.1381597612469549,0.1723,0.9283,Rural,parity_Nationwide_Cohort_Rural.csv
Nationwide,Rural,XGBoost baseline,0.6554,0.8241,0.4167,0.4494,0.8234,0.3755,0.5595,4891,50985,8136,3850,0.2396750943827937,0.5333333333333333,0.3225895316804408,0.0759027878381659,0.3225895316804408,0.1992461597593033,1.0,,,0.0704958136074676,0.169,1.0158,Rural,parity_Nationwide_Cohort_Rural.csv
Nationwide,Rural,HIR-M3 Transformer,0.541,0.7053,0.259,0.3235,0.7572,0.2523,0.4507,3940,47442,11679,4801,0.4052167944171147,0.5555555555555556,0.1820018365472911,0.2225396825396825,0.1820018365472911,0.2022707595434868,1.0,,,0.1673750403664681,0.2065,1.1145,Rural,parity_Nationwide_Cohort_Rural.csv
Nationwide,Rural,HIR-M3 Transformer with ACT-parity,0.1614,0.6553,0.2173,0.2882,0.7047,0.209,0.4641,4057,43765,15356,4684,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.1078,0.8035,Rural,parity_Nationwide_Cohort_Rural.csv
Nationwide,Rural,XGBoost + HIR-M3 Ensemble (90:10),0.6219,0.8241,0.4158,0.4496,0.8132,0.3623,0.5925,5179,50005,9116,3562,0.2411623384052167,0.5333333333333333,0.3234159779614325,0.0770964900712777,0.3234159779614325,0.2002562340163551,1.0,,90:10,0.0763207019566419,0.1687,1.1304,Rural,parity_Nationwide_Cohort_Rural.csv
Nationwide,Rural,XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,0.6023,0.8136,0.3962,0.4359,0.8106,0.3536,0.5681,4966,50044,9077,3775,0.2863516760096098,0.7333333333333333,0.4655647382920109,0.1535753517505726,0.4655647382920109,0.3095700450212917,1.0,,90:10,0.1928266556617482,0.1558,1.0678,Rural,parity_Nationwide_Cohort_Rural.csv
Nationwide,Urban,XGBoost with ACT-parity,0.6571,0.8136,0.3963,0.4352,0.813,0.3562,0.5593,4889,50284,8837,3852,0.2500858025397551,0.7333333333333333,0.4969696969696969,0.1759395596690506,0.4969696969696969,0.3364546283193738,1.0,,,0.1381597612469549,0.1723,0.9283,Urban,parity_Nationwide_Cohort_Urban.csv
Nationwide,Urban,XGBoost baseline,0.6554,0.8241,0.4167,0.4494,0.8234,0.3755,0.5595,4891,50985,8136,3850,0.2396750943827937,0.5333333333333333,0.3225895316804408,0.0759027878381659,0.3225895316804408,0.1992461597593033,1.0,,,0.0704958136074676,0.169,1.0158,Urban,parity_Nationwide_Cohort_Urban.csv
Nationwide,Urban,LightGBM baseline,0.6319,0.8256,0.4237,0.4492,0.8128,0.3616,0.5927,5181,49975,9146,3560,0.2441368264500629,0.6,0.3785123966942149,0.0945494157983412,0.3785123966942149,0.236530906246278,1.0,,,0.1167537401626298,0.1647,0.995,Urban,parity_Nationwide_Cohort_Urban.csv
Nationwide,Urban,LightGBM with ACT-parity,0.631,0.8129,0.3999,0.4335,0.799,0.3403,0.597,5218,49007,10114,3523,0.2555771650840865,0.8,0.5593495934959349,0.2167393336546747,0.5593495934959349,0.3880444635753048,1.0,,,0.4195898229027335,0.1716,0.8911,Urban,parity_Nationwide_Cohort_Urban.csv
Nationwide,Urban,HIR-M3 Transformer,0.5518,0.7103,0.2681,0.3243,0.7691,0.2602,0.4302,3760,48433,10688,4981,0.361171490676124,0.5228758169934641,0.2071733376546211,0.2153174603174603,0.2071733376546211,0.2112453989860407,1.0,,,0.1465954686423628,0.2039,0.9369,Urban,parity_Nationwide_Cohort_Urban.csv
Nationwide,Urban,HIR-M3 Transformer with ACT-parity,0.1267,0.6622,0.2185,0.2917,0.6868,0.2058,0.5007,4377,42231,16890,4364,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.1077,1.0063,Urban,parity_Nationwide_Cohort_Urban.csv
Nationwide,Urban,XGBoost + HIR-M3 Ensemble (90:10),0.6381,0.824,0.4153,0.4492,0.8222,0.3737,0.5629,4920,50876,8245,3821,0.2424207756549594,0.5333333333333333,0.3228070175438596,0.0773283912334283,0.3228070175438596,0.200067704388644,1.0,,90:10,0.0819858058271663,0.1686,1.1128,Urban,parity_Nationwide_Cohort_Urban.csv
Nationwide,Urban,XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,0.592,0.8136,0.3963,0.4358,0.8057,0.3481,0.5828,5094,49580,9541,3647,0.2885253403500744,0.7333333333333333,0.4655647382920109,0.1653607488430795,0.4655647382920109,0.3154627435675452,1.0,,90:10,0.1942186069332874,0.1548,1.0707,Urban,parity_Nationwide_Cohort_Urban.csv
