Standardized Model Name,Nationwide Model Name,Texas Model Name,Nationwide Ensemble Ratio,Texas Ensemble Ratio,Metric,Direction,Nationwide Value,Texas Value,Transportability Gap,Worst-Cohort Value,Comparison Available,Notes
XGBoost + HIR-M3 Ensemble,XGBoost + HIR-M3 Ensemble (90:10),XGBoost + HIR-M3 Ensemble (30:70),90:10,30:70,FNR_Gap_DGAP,Lower is better,0.3292,0.2401,0.0891,0.3292,True,Matched cross-cohort family comparison
XGBoost + HIR-M3 Ensemble,XGBoost + HIR-M3 Ensemble (90:10),XGBoost + HIR-M3 Ensemble (30:70),90:10,30:70,Equalized_Odds_Difference_EOD,Lower is better,0.2022,0.1874,0.0148,0.2022,True,Matched cross-cohort family comparison
XGBoost + HIR-M3 Ensemble,XGBoost + HIR-M3 Ensemble (90:10),XGBoost + HIR-M3 Ensemble (30:70),90:10,30:70,Fairness-Performance Stability Area,Higher is better,0.0,0.0,0.0,0.0,True,Matched cross-cohort family comparison
XGBoost with ACT-parity,XGBoost with ACT-parity,XGBoost with ACT-parity,N/A,N/A,ROC_AUC,Higher is better,0.8136,0.808,0.0056,0.808,True,Matched cross-cohort family comparison
XGBoost with ACT-parity,XGBoost with ACT-parity,XGBoost with ACT-parity,N/A,N/A,PR_AUC,Higher is better,0.3963,0.4334,0.0371,0.3963,True,Matched cross-cohort family comparison
XGBoost with ACT-parity,XGBoost with ACT-parity,XGBoost with ACT-parity,N/A,N/A,F1_Score,Higher is better,0.4352,0.4593,0.0241,0.4352,True,Matched cross-cohort family comparison
XGBoost with ACT-parity,XGBoost with ACT-parity,XGBoost with ACT-parity,N/A,N/A,Brier_Score,Lower is better,0.1723,0.1603,0.012,0.1723,True,Matched cross-cohort family comparison
XGBoost with ACT-parity,XGBoost with ACT-parity,XGBoost with ACT-parity,N/A,N/A,Precision,Higher is better,0.3562,0.3643,0.0081,0.3562,True,Matched cross-cohort family comparison
XGBoost with ACT-parity,XGBoost with ACT-parity,XGBoost with ACT-parity,N/A,N/A,Recall,Higher is better,0.5593,0.6215,0.0622,0.5593,True,Matched cross-cohort family comparison
XGBoost with ACT-parity,XGBoost with ACT-parity,XGBoost with ACT-parity,N/A,N/A,Specificity,Higher is better,,,,,True,Comparison Unavailable: Unmatched model pair or cohort-specific algorithm
XGBoost with ACT-parity,XGBoost with ACT-parity,XGBoost with ACT-parity,N/A,N/A,FNR_Gap_DGAP,Lower is better,0.497,0.4292,0.0678,0.497,True,Matched cross-cohort family comparison
XGBoost with ACT-parity,XGBoost with ACT-parity,XGBoost with ACT-parity,N/A,N/A,Equalized_Odds_Difference_EOD,Lower is better,0.3365,0.3384,0.002,0.3384,True,Matched cross-cohort family comparison
XGBoost with ACT-parity,XGBoost with ACT-parity,XGBoost with ACT-parity,N/A,N/A,Fairness-Performance Stability Area,Higher is better,0.0,0.0,0.0,0.0,True,Matched cross-cohort family comparison
HIR-M3 Transformer with ACT-parity,HIR-M3 Transformer with ACT-parity,HIR-M3 Transformer with ACT-parity,N/A,N/A,ROC_AUC,Higher is better,0.655,0.528,0.127,0.528,True,Matched cross-cohort family comparison
HIR-M3 Transformer with ACT-parity,HIR-M3 Transformer with ACT-parity,HIR-M3 Transformer with ACT-parity,N/A,N/A,PR_AUC,Higher is better,0.2163,0.1622,0.0541,0.1622,True,Matched cross-cohort family comparison
HIR-M3 Transformer with ACT-parity,HIR-M3 Transformer with ACT-parity,HIR-M3 Transformer with ACT-parity,N/A,N/A,F1_Score,Higher is better,0.2882,0.2574,0.0308,0.2574,True,Matched cross-cohort family comparison
HIR-M3 Transformer with ACT-parity,HIR-M3 Transformer with ACT-parity,HIR-M3 Transformer with ACT-parity,N/A,N/A,Brier_Score,Lower is better,0.1093,0.1254,0.0161,0.1254,True,Matched cross-cohort family comparison
HIR-M3 Transformer with ACT-parity,HIR-M3 Transformer with ACT-parity,HIR-M3 Transformer with ACT-parity,N/A,N/A,Precision,Higher is better,0.2119,0.1481,0.0638,0.1481,True,Matched cross-cohort family comparison
HIR-M3 Transformer with ACT-parity,HIR-M3 Transformer with ACT-parity,HIR-M3 Transformer with ACT-parity,N/A,N/A,Recall,Higher is better,0.4504,0.9804,0.53,0.4504,True,Matched cross-cohort family comparison
HIR-M3 Transformer with ACT-parity,HIR-M3 Transformer with ACT-parity,HIR-M3 Transformer with ACT-parity,N/A,N/A,Specificity,Higher is better,,,,,True,Comparison Unavailable: Unmatched model pair or cohort-specific algorithm
HIR-M3 Transformer with ACT-parity,HIR-M3 Transformer with ACT-parity,HIR-M3 Transformer with ACT-parity,N/A,N/A,FNR_Gap_DGAP,Lower is better,0.0,0.0,0.0,0.0,True,Matched cross-cohort family comparison
HIR-M3 Transformer with ACT-parity,HIR-M3 Transformer with ACT-parity,HIR-M3 Transformer with ACT-parity,N/A,N/A,Equalized_Odds_Difference_EOD,Lower is better,0.0,0.0,0.0,0.0,True,Matched cross-cohort family comparison
HIR-M3 Transformer with ACT-parity,HIR-M3 Transformer with ACT-parity,HIR-M3 Transformer with ACT-parity,N/A,N/A,Fairness-Performance Stability Area,Higher is better,0.0,0.0,0.0,0.0,True,Matched cross-cohort family comparison
XGBoost + HIR-M3 Ensemble with ACT-parity,XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,90:10,30:70,ROC_AUC,Higher is better,0.8136,0.8066,0.007,0.8066,True,Matched cross-cohort family comparison
XGBoost + HIR-M3 Ensemble with ACT-parity,XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,90:10,30:70,PR_AUC,Higher is better,0.3963,0.4212,0.0249,0.3963,True,Matched cross-cohort family comparison
XGBoost + HIR-M3 Ensemble with ACT-parity,XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,90:10,30:70,F1_Score,Higher is better,0.4358,0.4599,0.0241,0.4358,True,Matched cross-cohort family comparison
XGBoost + HIR-M3 Ensemble with ACT-parity,XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,90:10,30:70,Brier_Score,Lower is better,0.1538,0.1112,0.0426,0.1538,True,Matched cross-cohort family comparison
XGBoost + HIR-M3 Ensemble with ACT-parity,XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,90:10,30:70,Precision,Higher is better,0.3527,0.3701,0.0174,0.3527,True,Matched cross-cohort family comparison
XGBoost + HIR-M3 Ensemble with ACT-parity,XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,90:10,30:70,Recall,Higher is better,0.5702,0.6073,0.0371,0.5702,True,Matched cross-cohort family comparison
XGBoost + HIR-M3 Ensemble with ACT-parity,XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,90:10,30:70,Specificity,Higher is better,,,,,True,Comparison Unavailable: Unmatched model pair or cohort-specific algorithm
XGBoost + HIR-M3 Ensemble with ACT-parity,XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,90:10,30:70,FNR_Gap_DGAP,Lower is better,0.4647,0.0,0.4647,0.4647,True,Matched cross-cohort family comparison
