Analysis_Cohort,Analysis_Subgroup,Source_File,Cohort,Subcohort_Subgroup,Model_Name,Optimal_Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,TP,TN,FP,FN,Overall_FNR,Worst_Group_FNR,FNR Gap,FPR Gap,FNR_Gap_DGAP,Equalized_Odds_Difference_EOD,Demographic_Parity_Ratio_DPR,Fairness-Performance Stability Area,Selected Ensemble Ratio,EFNHI_Star,Brier_Score,Platt_Calibration_Slope
Texas,Urban,parity_Texas_Cohort_Urban.csv,Texas Cohort,Urban,CatBoost baseline,0.5927,0.8147,0.454,0.4665,0.7861,0.3682,0.6362,1168,8650,2004,668,0.2559912854030501,0.3636363636363636,0.172796668979875,0.2755477651183173,0.172796668979875,0.2241722170490961,1.0,,,0.0111950843008159,0.1707,1.0155
Texas,Urban,parity_Texas_Cohort_Urban.csv,Texas Cohort,Urban,XGBoost baseline,0.5736,0.8096,0.4436,0.4619,0.7941,0.375,0.6013,1104,8814,1840,732,0.3142701525054466,0.5,0.2633587786259542,0.2684195150452819,0.2633587786259542,0.265889146835618,1.0,,,0.0261540373933009,0.1562,0.878
Texas,Urban,parity_Texas_Cohort_Urban.csv,Texas Cohort,Urban,XGBoost with ACT-parity,0.5568,0.808,0.4334,0.4593,0.7849,0.3643,0.6215,1141,8663,1991,695,0.3202614379084967,0.7272727272727273,0.4291958041958042,0.2476733713599519,0.4291958041958042,0.3384345877778781,1.0,,,0.0481444175174079,0.1603,0.8259
Texas,Urban,parity_Texas_Cohort_Urban.csv,Texas Cohort,Urban,HIR-M3 Transformer,0.4863,0.618,0.2144,0.2994,0.6107,0.2036,0.5659,1039,6589,4065,797,0.4940087145969499,0.5017482517482518,0.047549778465809,0.2710622710622711,0.047549778465809,0.15930602476404,1.0,,,0.0096384103589186,0.2331,1.1161
Texas,Urban,parity_Texas_Cohort_Urban.csv,Texas Cohort,Urban,HIR-M3 Transformer with ACT-parity,0.1205,0.5361,0.1666,0.2588,0.2331,0.1508,0.9107,1672,1240,9414,164,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.1251,0.9259
Texas,Urban,parity_Texas_Cohort_Urban.csv,Texas Cohort,Urban,XGBoost + HIR-M3 Ensemble (30:70),0.5143,0.7763,0.3905,0.4322,0.7738,0.3425,0.5855,1075,8590,2064,761,0.3741830065359477,0.5,0.1908396946564885,0.1401247401247401,0.1908396946564885,0.1654822173906143,1.0,,30:70,0.041385274054434,0.1923,2.1751
Texas,Urban,parity_Texas_Cohort_Urban.csv,Texas Cohort,Urban,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,0.2676,0.8078,0.4211,0.4582,0.7861,0.365,0.6155,1130,8688,1966,706,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,30:70,0.0,0.1117,2.5473
Texas,Diabetes + Heart Failure + Hypertension,parity_Texas_Cohort_Diabetes__plus__Heart_Failure__plus__Hypertension_d_plus_hf_plus_hyp.csv,Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),CatBoost baseline,0.32,0.7335,0.6985,0.7455,0.6973,0.6508,0.8723,82,47,44,12,0.3085106382978723,0.35,0.0537037037037037,0.1590909090909091,0.0537037037037037,0.1063973063973064,1.0,,,0.0,0.2189,0.524
Texas,Diabetes + Heart Failure + Hypertension,parity_Texas_Cohort_Diabetes__plus__Heart_Failure__plus__Hypertension_d_plus_hf_plus_hyp.csv,Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),CatBoost with ACT-parity,0.2267,0.6742,0.6644,0.7137,0.627,0.585,0.9149,86,30,61,8,0.3617021276595745,0.45,0.15,0.2060185185185185,0.15,0.1780092592592592,1.0,,,0.0,0.2445,0.4234
Texas,Diabetes + Heart Failure + Hypertension,parity_Texas_Cohort_Diabetes__plus__Heart_Failure__plus__Hypertension_d_plus_hf_plus_hyp.csv,Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),XGBoost with ACT-parity,0.0934,0.6793,0.6567,0.7206,0.627,0.5817,0.9468,89,27,64,5,0.3617021276595745,0.5,0.25,0.1944444444444444,0.25,0.2222222222222222,1.0,,,0.0,0.261,0.3349
Texas,Diabetes + Heart Failure + Hypertension,parity_Texas_Cohort_Diabetes__plus__Heart_Failure__plus__Hypertension_d_plus_hf_plus_hyp.csv,Texas Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),XGBoost baseline,0.0399,0.7056,0.6979,0.7294,0.627,0.5776,0.9894,93,23,68,1,0.351063829787234,0.4,0.0666666666666667,0.1647727272727273,0.0666666666666667,0.115719696969697,1.0,,,0.0,0.2629,0.3237
