Analysis_Cohort,Analysis_Subgroup,Source_File,Cohort,Subcohort_Subgroup,Model_Name,Optimal_Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,TP,TN,FP,FN,Overall_FNR,Worst_Group_FNR,FNR Gap,FPR Gap,FNR_Gap_DGAP,Equalized_Odds_Difference_EOD,Demographic_Parity_Ratio_DPR,Fairness-Performance Stability Area,Selected Ensemble Ratio,EFNHI_Star,Brier_Score,Platt_Calibration_Slope
Texas,Heart Failure + Hypertension,parity_Texas_Cohort_Heart_Failure__plus__Hypertension_hf_plus_hyp.csv,Texas Cohort,Heart Failure + Hypertension (hf+hyp),XGBoost with ACT-parity,0.1819,0.7372,0.6433,0.6872,0.6437,0.5517,0.911,256,165,208,25,0.3380782918149466,0.45,0.1484126984126984,0.396551724137931,0.1484126984126984,0.2724822112753147,1.0,,,0.1061770483867546,0.2171,0.4885
Texas,Heart Failure + Hypertension,parity_Texas_Cohort_Heart_Failure__plus__Hypertension_hf_plus_hyp.csv,Texas Cohort,Heart Failure + Hypertension (hf+hyp),XGBoost baseline,0.2578,0.7368,0.6523,0.6845,0.6575,0.5664,0.8648,243,187,186,38,0.3701067615658363,0.45,0.1325396825396825,0.2337164750957854,0.1325396825396825,0.183128078817734,1.0,,,0.0822429466227478,0.2195,0.4656
Texas,Heart Failure + Hypertension,parity_Texas_Cohort_Heart_Failure__plus__Hypertension_hf_plus_hyp.csv,Texas Cohort,Heart Failure + Hypertension (hf+hyp),HIR-M3 Transformer,0.4631,0.5382,0.476,0.6034,0.4373,0.4328,0.9964,280,6,367,1,0.2313167259786477,0.2857142857142857,0.2107142857142857,0.3933933933933934,0.2107142857142857,0.3020538395538396,1.0,,,0.0194558147699016,0.25,2.398
Texas,Heart Failure + Hypertension,parity_Texas_Cohort_Heart_Failure__plus__Hypertension_hf_plus_hyp.csv,Texas Cohort,Heart Failure + Hypertension (hf+hyp),HIR-M3 Transformer with ACT-parity,0.45,0.535,0.4629,0.6017,0.4312,0.4303,1.0,281,1,372,0,0.9857651245551602,0.9885057471264368,0.0135057471264368,0.008695652173913,0.0135057471264368,0.0111006996501749,1.0,,,0.0052892648131556,0.2457,2.5842
Texas,Heart Failure + Hypertension,parity_Texas_Cohort_Heart_Failure__plus__Hypertension_hf_plus_hyp.csv,Texas Cohort,Heart Failure + Hypertension (hf+hyp),XGBoost + HIR-M3 Ensemble (30:70),0.4084,0.7361,0.6433,0.6846,0.6422,0.551,0.9039,254,166,207,27,0.3594306049822064,0.475,0.1734126984126984,0.2337164750957854,0.1734126984126984,0.2035645867542419,1.0,,30:70,0.1130556176547253,0.2193,2.2717
Texas,Heart Failure + Hypertension,parity_Texas_Cohort_Heart_Failure__plus__Hypertension_hf_plus_hyp.csv,Texas Cohort,Heart Failure + Hypertension (hf+hyp),XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,0.3779,0.7384,0.6419,0.6835,0.6361,0.5456,0.9146,257,159,214,24,0.4270462633451957,0.575,0.1727011494252873,0.3448275862068966,0.1727011494252873,0.2587643678160919,1.0,,30:70,0.1692941666234229,0.2171,2.3958
Texas,Heart Failure,parity_Texas_Cohort_Heart_Failure_hf.csv,Texas Cohort,Heart Failure (hf),CatBoost with ACT-parity,0.2397,0.7318,0.6222,0.655,0.6128,0.505,0.9321,357,238,350,26,0.381201044386423,0.396694214876033,0.115444214876033,0.0675951717734447,0.115444214876033,0.0915196933247389,1.0,,,0.0151831391997995,0.2083,0.7036
Texas,Heart Failure,parity_Texas_Cohort_Heart_Failure_hf.csv,Texas Cohort,Heart Failure (hf),CatBoost baseline,0.2176,0.7538,0.6496,0.6547,0.6035,0.4986,0.953,365,221,367,18,0.3472584856396867,0.3677685950413223,0.0924062762007426,0.0499999999999999,0.0924062762007426,0.0712031381003713,1.0,,,0.0202407561777928,0.1972,0.7983
Texas,Heart Failure,parity_Texas_Cohort_Heart_Failure_hf.csv,Texas Cohort,Heart Failure (hf),XGBoost with ACT-parity,0.2313,0.7473,0.6343,0.6499,0.6272,0.5161,0.8773,336,273,315,47,0.381201044386423,0.4347826086956521,0.1066576086956521,0.1333333333333333,0.1066576086956521,0.1199954710144927,1.0,,,0.0598315117806385,0.2058,0.5806
Texas,Heart Failure,parity_Texas_Cohort_Heart_Failure_hf.csv,Texas Cohort,Heart Failure (hf),XGBoost baseline,0.1733,0.7551,0.6578,0.651,0.6169,0.5081,0.906,347,252,336,36,0.412532637075718,0.4297520661157025,0.0860020661157024,0.154874651810585,0.0860020661157024,0.1204383589631437,1.0,,,0.0208807847821723,0.2043,0.5557
Texas,Heart Failure,parity_Texas_Cohort_Heart_Failure_hf.csv,Texas Cohort,Heart Failure (hf),HIR-M3 Transformer,0.5204,0.5405,0.4275,0.5661,0.3955,0.3948,1.0,383,1,587,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.2822,0.9942
Texas,Heart Failure,parity_Texas_Cohort_Heart_Failure_hf.csv,Texas Cohort,Heart Failure (hf),HIR-M3 Transformer with ACT-parity,0.3256,0.5223,0.4149,0.5661,0.3955,0.3948,1.0,383,1,587,0,0.9660574412532638,0.9855072463768116,0.030961791831357,0.119405756731662,0.030961791831357,0.0751837742815095,1.0,,,0.0403210751079847,0.239,0.4591
Texas,Heart Failure,parity_Texas_Cohort_Heart_Failure_hf.csv,Texas Cohort,Heart Failure (hf),XGBoost + HIR-M3 Ensemble (30:70),0.4748,0.7528,0.6566,0.6458,0.6148,0.5067,0.8903,341,256,332,42,0.206266318537859,0.2148760330578512,0.0586260330578512,0.0264856081708448,0.0586260330578512,0.042555820614348,1.0,,30:70,0.0041232338689374,0.2315,2.559
Texas,Heart Failure,parity_Texas_Cohort_Heart_Failure_hf.csv,Texas Cohort,Heart Failure (hf),XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,0.3385,0.739,0.6117,0.6445,0.6138,0.506,0.8877,340,256,332,43,0.6814621409921671,0.7101449275362319,0.0695199275362319,0.0416666666666666,0.0695199275362319,0.0555932971014493,1.0,,30:70,0.0560765577720776,0.2111,2.337
Texas,Hypertension,parity_Texas_Cohort_Hypertension_hyp.csv,Texas Cohort,Hypertension (hyp),CatBoost with ACT-parity,0.515,0.7879,0.5348,0.5507,0.726,0.4606,0.6847,543,1804,636,250,0.3026481715006305,0.8333333333333334,0.5695035460992908,0.2980624638519376,0.5695035460992908,0.4337830049756142,1.0,,,0.0729943603871929,0.1818,0.9016
Texas,Hypertension,parity_Texas_Cohort_Hypertension_hyp.csv,Texas Cohort,Hypertension (hyp),CatBoost baseline,0.5166,0.7977,0.5503,0.561,0.7294,0.4658,0.7049,559,1799,641,234,0.2736443883984867,0.3046875,0.0403196839080459,0.2269230769230769,0.0403196839080459,0.1336213804155614,1.0,,,0.0302021942994584,0.1783,0.9939
Texas,Hypertension,parity_Texas_Cohort_Hypertension_hyp.csv,Texas Cohort,Hypertension (hyp),XGBoost with ACT-parity,0.4244,0.7873,0.5369,0.5422,0.6814,0.4187,0.7692,610,1593,847,183,0.3379571248423707,0.8888888888888888,0.5931442080378251,0.2765760555234239,0.5931442080378251,0.4348601317806245,1.0,,,0.1152813363213541,0.1773,0.7668
Texas,Hypertension,parity_Texas_Cohort_Hypertension_hyp.csv,Texas Cohort,Hypertension (hyp),XGBoost baseline,0.5276,0.7845,0.5258,0.5462,0.7374,0.474,0.6444,511,1873,567,282,0.3215636822194199,0.3888888888888889,0.0957854406130268,0.1096298438403701,0.0957854406130268,0.1027076422266985,1.0,,,0.007595633057114,0.1751,0.755
Texas,Hypertension,parity_Texas_Cohort_Hypertension_hyp.csv,Texas Cohort,Hypertension (hyp),HIR-M3 Transformer,0.4635,0.5584,0.2925,0.3979,0.2651,0.249,0.9899,785,72,2368,8,0.9546027742749056,1.0,0.0574468085106383,0.0323308270676691,0.0574468085106383,0.0448888177891537,1.0,,,0.0685190785643393,0.2411,5.6145
Texas,Hypertension,parity_Texas_Cohort_Hypertension_hyp.csv,Texas Cohort,Hypertension (hyp),HIR-M3 Transformer with ACT-parity,0.1224,0.5426,0.2677,0.3974,0.3526,0.2575,0.8701,690,450,1990,103,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.1917,0.4258
Texas,Hypertension,parity_Texas_Cohort_Hypertension_hyp.csv,Texas Cohort,Hypertension (hyp),XGBoost + HIR-M3 Ensemble (30:70),0.4979,0.784,0.5214,0.5482,0.7405,0.4784,0.6419,509,1885,555,284,0.3707440100882724,0.4444444444444444,0.1111111111111111,0.1360902255639097,0.1111111111111111,0.1236006683375104,1.0,,30:70,0.0185965724784699,0.2032,3.4067
Texas,Hypertension,parity_Texas_Cohort_Hypertension_hyp.csv,Texas Cohort,Hypertension (hyp),XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,0.255,0.7768,0.5175,0.542,0.7083,0.4408,0.7037,558,1732,708,235,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,30:70,0.0,0.1609,2.2271
