Cohort,Subcohort_Subgroup,Model_Name,Optimal_Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,TP,TN,FP,FN,Overall_FNR,Worst_Group_FNR,FNR Gap,FPR Gap,FNR_Gap_DGAP,Equalized_Odds_Difference_EOD,Demographic_Parity_Ratio_DPR,Fairness-Performance Stability Area,Selected Ensemble Ratio,EFNHI_Star,Brier_Score,Platt_Calibration_Slope,Incremental Ensemble Value for ROC AUC,Incremental Ensemble Value for PR AUC,Incremental Ensemble Value for F1 Score,Incremental Ensemble Value for Brier Score,Incremental Ensemble Value for ACT-Parity Gap,Incremental Ensemble Value for FNR Gap,Incremental Ensemble Value for FPR Gap,Transportability Gap for ROC AUC,Transportability Gap for PR AUC,Transportability Gap for Brier Score,Transportability Gap for ACT-Parity Gap,Transportability Gap for FNR Gap,Transportability Gap for FPR Gap,Transportability Gap for FPSA
Nationwide Cohort,Diabetes + Hypertension (d+hyp),XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,0.4217,0.7723,0.5873,0.6085,0.6852,0.5015,0.7735,1492,2687,1483,437,0.35666148263348885,0.5205479452054794,0.1925056171631514,0.34782608695652173,0.1925056171631514,0.27016585205983656,1.0,,90:10,0.19539352658929426,0.1847,1.007,0.0,-0.0,0.0006,-0.0445,-0.4647,-0.4647,-0.1624,0.007,0.0249,0.0426,0.4647,0.4647,0.3136,0.0
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),LightGBM baseline,0.4104,0.7634,0.6036,0.6313,0.673,0.5202,0.8026,2326,3267,2145,572,0.3033126293995859,0.4,0.10167286245353163,0.2242562929061785,0.10167286245353163,0.16296457767985506,1.0,,N/A,0.09022305876925603,0.1925,0.7883,,,,,,,,,,,,,,
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),LightGBM with ACT-parity,0.3501,0.7485,0.5785,0.6156,0.6412,0.4914,0.824,2388,2940,2472,510,0.32091097308488614,0.5166666666666667,0.2188042131350682,0.21842625852464992,0.2188042131350682,0.21861523582985906,1.0,,N/A,0.1843404188300817,0.2017,0.6512,,,,,,,,,,,,,,
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),XGBoost baseline,0.4159,0.7686,0.6091,0.6343,0.6677,0.5147,0.8261,2394,3155,2257,504,0.2577639751552795,0.38333333333333336,0.13100991325898392,0.15119934792734047,0.13100991325898392,0.1411046305931622,1.0,,N/A,0.09797674467045868,0.1932,0.8938,,,,,,,,0.0145,0.0269,0.0128,0.0592,0.0592,0.0666,0.0
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),XGBoost with ACT-parity,0.4105,0.7513,0.5833,0.6195,0.6509,0.4997,0.815,2362,3047,2365,536,0.29330572808833677,0.5166666666666667,0.23599752168525406,0.24414337029517413,0.23599752168525406,0.2400704459902141,1.0,,N/A,0.18476852252528006,0.2008,0.7598,,,,,,,,0.0056,0.0371,0.012,0.0678,0.0678,0.002,0.0
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),HIR-M3 Transformer,0.4029,0.6097,0.4609,0.5178,0.3785,0.3549,0.9569,2773,372,5040,125,0.5403726708074534,0.5816733067729084,0.12605200499776048,0.21277414390150057,0.12605200499776048,0.16941307444963052,1.0,,N/A,0.05247773157888354,0.2472,0.9133,,,,,,,,0.0872,0.0473,0.031,0.0949,0.0949,0.0209,0.0
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),HIR-M3 Transformer with ACT-parity,0.2422,0.5641,0.3868,0.5176,0.3511,0.3494,0.9983,2893,25,5387,5,0.9993098688750862,1.0,0.0019920318725099584,0.0034619188921859545,0.0019920318725099584,0.0027269753823479567,1.0,,N/A,0.001744140922651783,0.2279,0.7834,,,,,,,,0.127,0.0541,0.0161,0.0,0.0,0.0,0.0
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),XGBoost + HIR-M3 Ensemble (90:10),0.4128,0.769,0.6085,0.6324,0.662,0.5094,0.8337,2416,3085,2327,482,0.2567287784679089,0.38333333333333336,0.13054522924411405,0.15341173730787144,0.13054522924411405,0.14197848327599275,1.0,,90:10,0.09850752633623652,0.1933,1.0423,-0.0002,-0.0012,-0.0004,-0.004,-0.1351,-0.1351,0.0007,0.0561,0.0334,0.0195,0.0891,0.0891,0.0148,0.0
Nationwide Cohort,Heart Failure + Hypertension (hf+hyp),XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,0.4034,0.7515,0.5834,0.6202,0.6531,0.5016,0.8123,2354,3073,2339,544,0.32056590752242925,0.5666666666666667,0.25997521685254027,0.21793169868290907,0.25997521685254027,0.23895345776772467,1.0,,90:10,0.22972747677305555,0.1956,0.9087,0.0,-0.0,0.0006,-0.0445,-0.4647,-0.4647,-0.1624,0.007,0.0249,0.0426,0.4647,0.4647,0.3136,0.0
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),LightGBM baseline,0.2815,0.7301,0.6349,0.6758,0.6493,0.5598,0.8522,842,654,662,146,0.3299595141700405,0.4642857142857143,0.14141575912876364,0.16287878787878785,0.14141575912876364,0.15214727350377574,1.0,,N/A,0.010337550039990163,0.2171,0.5107,,,,,,,,,,,,,,
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),LightGBM with ACT-parity,0.2195,0.7242,0.6294,0.6757,0.6345,0.5454,0.8877,877,585,731,111,0.3491902834008097,0.42857142857142855,0.09673286354900701,0.2746212121212121,0.09673286354900701,0.18567703783510955,1.0,,N/A,0.04939807382309457,0.2225,0.4754,,,,,,,,,,,,,,
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),XGBoost baseline,0.2739,0.7302,0.6371,0.6752,0.6259,0.5378,0.9069,896,546,770,92,0.29048582995951416,0.39285714285714285,0.141736066623959,0.19787948771782488,0.141736066623959,0.16980777717089193,1.0,,N/A,0.021142352658815724,0.2099,0.7034,,,,,,,,0.0145,0.0269,0.0128,0.0592,0.0592,0.0666,0.0
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),XGBoost with ACT-parity,0.3615,0.729,0.639,0.6753,0.6528,0.5637,0.8421,832,672,644,156,0.305668016194332,0.42857142857142855,0.13472527472527468,0.4356060606060606,0.13472527472527468,0.28516566766566764,1.0,,N/A,0.014013611316623195,0.2122,0.6746,,,,,,,,0.0056,0.0371,0.012,0.0678,0.0678,0.002,0.0
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),HIR-M3 Transformer,0.451,0.5284,0.4489,0.6008,0.4301,0.4294,1.0,988,3,1313,0,0.06578947368421052,0.14285714285714285,0.0940766550522648,0.07692307692307687,0.0940766550522648,0.08549986598767084,1.0,,N/A,0.0,0.2513,1.2027,,,,,,,,0.0872,0.0473,0.031,0.0949,0.0949,0.0209,0.0
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),HIR-M3 Transformer with ACT-parity,0.2159,0.5207,0.4414,0.6008,0.4301,0.4294,1.0,988,3,1313,0,0.958502024291498,0.9878048780487805,0.09494773519163757,0.041666666666666664,0.09494773519163757,0.06830720092915211,1.0,,N/A,0.0545730472091614,0.2455,0.4524,,,,,,,,0.127,0.0541,0.0161,0.0,0.0,0.0,0.0
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),XGBoost + HIR-M3 Ensemble (90:10),0.2965,0.7303,0.6368,0.6755,0.6259,0.5378,0.9079,897,545,771,91,0.29048582995951416,0.39285714285714285,0.141736066623959,0.19787948771782488,0.141736066623959,0.16980777717089193,1.0,,90:10,0.021142352658815724,0.208,0.8631,-0.0002,-0.0012,-0.0004,-0.004,-0.1351,-0.1351,0.0007,0.0561,0.0334,0.0195,0.0891,0.0891,0.0148,0.0
Nationwide Cohort,Diabetes + Heart Failure + Hypertension (d+hf+hyp),XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,0.3856,0.7291,0.6391,0.6752,0.6597,0.5715,0.8249,815,705,611,173,0.3228744939271255,0.4642857142857143,0.15197802197802202,0.4356060606060606,0.15197802197802202,0.2937920412920413,1.0,,90:10,0.01527074981766262,0.2089,0.8155,0.0,-0.0,0.0006,-0.0445,-0.4647,-0.4647,-0.1624,0.007,0.0249,0.0426,0.4647,0.4647,0.3136,0.0
Texas Cohort,Overall,CatBoost with ACT-parity,0.6555,0.8076,0.4309,0.4576,0.8199,0.4105,0.5169,949,9291,1363,887,0.2903050108932462,0.7727272727272727,0.5131852879944483,0.28012048192771083,0.5131852879944483,0.39665288496107953,1.0,0.0,N/A,0.022981128324765718,0.1713,0.9248,,,,,,,,,,,,,,
Texas Cohort,Overall,CatBoost baseline,0.5927,0.8147,0.454,0.4665,0.7861,0.3682,0.6362,1168,8650,2004,668,0.2559912854030501,0.36363636363636365,0.17279666897987508,0.2755477651183173,0.17279666897987508,0.22417221704909618,1.0,0.0,N/A,0.011195084300815918,0.1707,1.0155,,,,,,,,,,,,,,
Texas Cohort,Overall,XGBoost with ACT-parity,0.5568,0.808,0.4334,0.4593,0.7849,0.3643,0.6215,1141,8663,1991,695,0.3202614379084967,0.7272727272727273,0.4291958041958042,0.24767337135995196,0.4291958041958042,0.3384345877778781,1.0,0.0,N/A,0.04814441751740792,0.1603,0.8259,,,,,,,,0.0056,0.0371,0.012,0.0678,0.0678,0.002,0.0
Texas Cohort,Overall,XGBoost baseline,0.5736,0.8096,0.4436,0.4619,0.7941,0.375,0.6013,1104,8814,1840,732,0.3142701525054466,0.5,0.2633587786259542,0.2684195150452819,0.2633587786259542,0.26588914683561804,1.0,0.0,N/A,0.02615403739330097,0.1562,0.878,,,,,,,,0.0145,0.0269,0.0128,0.0592,0.0592,0.0666,0.0
Texas Cohort,Overall,HIR-M3 Transformer,0.5067,0.6191,0.2158,0.302,0.638,0.2107,0.5327,978,6991,3663,858,0.4493464052287582,0.5,0.09923664122137404,0.4432234432234432,0.09923664122137404,0.27123004222240865,1.0,0.0,N/A,0.01249954371912393,0.2335,0.9499,,,,,,,,0.0872,0.0473,0.031,0.0949,0.0949,0.0209,0.0
Texas Cohort,Overall,HIR-M3 Transformer with ACT-parity,0.1106,0.528,0.1622,0.2574,0.1685,0.1481,0.9804,1800,304,10350,36,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,N/A,0.0,0.1254,0.7865,,,,,,,,0.127,0.0541,0.0161,0.0,0.0,0.0,0.0
Texas Cohort,Overall,XGBoost + HIR-M3 Ensemble (30:70),0.5192,0.7678,0.3822,0.4249,0.7741,0.3395,0.5675,1042,8627,2027,794,0.37254901960784315,0.5454545454545454,0.24011103400416373,0.13471933471933473,0.24011103400416373,0.18741518436174923,1.0,0.0,30:70,0.03249917516917441,0.1925,1.9399,-0.0418,-0.0614,-0.0371,-0.0363,-0.1409,-0.1409,0.1337,,,,,,,
Texas Cohort,Overall,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,0.2639,0.8066,0.4212,0.4599,0.7903,0.3701,0.6073,1115,8756,1898,721,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,30:70,0.0,0.1112,2.4856,-0.0014,-0.0122,0.0005,0.0142,0.0,0.0,0.0,,,,,,,
Texas Cohort,Urban,CatBoost with ACT-parity,0.6555,0.8076,0.4309,0.4576,0.8199,0.4105,0.5169,949,9291,1363,887,0.2903050108932462,0.7727272727272727,0.5131852879944483,0.28012048192771083,0.5131852879944483,0.39665288496107953,1.0,,N/A,0.022981128324765718,0.1713,0.9248,,,,,,,,,,,,,,
Texas Cohort,Urban,CatBoost baseline,0.5927,0.8147,0.454,0.4665,0.7861,0.3682,0.6362,1168,8650,2004,668,0.2559912854030501,0.36363636363636365,0.17279666897987508,0.2755477651183173,0.17279666897987508,0.22417221704909618,1.0,,N/A,0.011195084300815918,0.1707,1.0155,,,,,,,,,,,,,,
Texas Cohort,Urban,XGBoost baseline,0.5736,0.8096,0.4436,0.4619,0.7941,0.375,0.6013,1104,8814,1840,732,0.3142701525054466,0.5,0.2633587786259542,0.2684195150452819,0.2633587786259542,0.26588914683561804,1.0,,N/A,0.02615403739330097,0.1562,0.878,,,,,,,,0.0145,0.0269,0.0128,0.0592,0.0592,0.0666,0.0
Texas Cohort,Urban,XGBoost with ACT-parity,0.5568,0.808,0.4334,0.4593,0.7849,0.3643,0.6215,1141,8663,1991,695,0.3202614379084967,0.7272727272727273,0.4291958041958042,0.24767337135995196,0.4291958041958042,0.3384345877778781,1.0,,N/A,0.04814441751740792,0.1603,0.8259,,,,,,,,0.0056,0.0371,0.012,0.0678,0.0678,0.002,0.0
Texas Cohort,Urban,HIR-M3 Transformer,0.4863,0.618,0.2144,0.2994,0.6107,0.2036,0.5659,1039,6589,4065,797,0.4940087145969499,0.5017482517482518,0.047549778465809045,0.2710622710622711,0.047549778465809045,0.15930602476404007,1.0,,N/A,0.009638410358918624,0.2331,1.1161,,,,,,,,0.0872,0.0473,0.031,0.0949,0.0949,0.0209,0.0
Texas Cohort,Urban,HIR-M3 Transformer with ACT-parity,0.1205,0.5361,0.1666,0.2588,0.2331,0.1508,0.9107,1672,1240,9414,164,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,N/A,0.0,0.1251,0.9259,,,,,,,,0.127,0.0541,0.0161,0.0,0.0,0.0,0.0
Texas Cohort,Urban,XGBoost + HIR-M3 Ensemble (30:70),0.5143,0.7763,0.3905,0.4322,0.7738,0.3425,0.5855,1075,8590,2064,761,0.3741830065359477,0.5,0.19083969465648853,0.14012474012474013,0.19083969465648853,0.16548221739061433,1.0,,30:70,0.041385274054434006,0.1923,2.1751,-0.0418,-0.0614,-0.0371,-0.0363,-0.1409,-0.1409,0.1337,,,,,,,
Texas Cohort,Urban,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,0.2676,0.8078,0.4211,0.4582,0.7861,0.365,0.6155,1130,8688,1966,706,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,30:70,0.0,0.1117,2.5473,-0.0014,-0.0122,0.0005,0.0142,0.0,0.0,0.0,,,,,,,
Texas Cohort,Rural,CatBoost with ACT-parity,0.6555,0.8076,0.4309,0.4576,0.8199,0.4105,0.5169,949,9291,1363,887,0.2903050108932462,0.7727272727272727,0.5131852879944483,0.28012048192771083,0.5131852879944483,0.39665288496107953,1.0,,N/A,0.022981128324765718,0.1713,0.9248,,,,,,,,,,,,,,
Texas Cohort,Rural,CatBoost baseline,0.5927,0.8147,0.454,0.4665,0.7861,0.3682,0.6362,1168,8650,2004,668,0.2559912854030501,0.36363636363636365,0.17279666897987508,0.2755477651183173,0.17279666897987508,0.22417221704909618,1.0,,N/A,0.011195084300815918,0.1707,1.0155,,,,,,,,,,,,,,
Texas Cohort,Rural,XGBoost baseline,0.5736,0.8096,0.4436,0.4619,0.7941,0.375,0.6013,1104,8814,1840,732,0.3142701525054466,0.5,0.2633587786259542,0.2684195150452819,0.2633587786259542,0.26588914683561804,1.0,,N/A,0.02615403739330097,0.1562,0.878,,,,,,,,0.0145,0.0269,0.0128,0.0592,0.0592,0.0666,0.0
Texas Cohort,Rural,XGBoost with ACT-parity,0.5568,0.808,0.4334,0.4593,0.7849,0.3643,0.6215,1141,8663,1991,695,0.3202614379084967,0.7272727272727273,0.4291958041958042,0.24767337135995196,0.4291958041958042,0.3384345877778781,1.0,,N/A,0.04814441751740792,0.1603,0.8259,,,,,,,,0.0056,0.0371,0.012,0.0678,0.0678,0.002,0.0
Texas Cohort,Rural,HIR-M3 Transformer,0.5049,0.6204,0.2153,0.3015,0.6383,0.2105,0.531,975,6997,3657,861,0.45588235294117646,0.5,0.09923664122137404,0.4432234432234432,0.09923664122137404,0.27123004222240865,1.0,,N/A,0.016056490895701197,0.2376,0.9797,,,,,,,,0.0872,0.0473,0.031,0.0949,0.0949,0.0209,0.0
Texas Cohort,Rural,HIR-M3 Transformer with ACT-parity,0.1074,0.5317,0.1635,0.2574,0.1556,0.1478,0.9956,1828,116,10538,8,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,N/A,0.0,0.1254,0.5192,,,,,,,,0.127,0.0541,0.0161,0.0,0.0,0.0,0.0
Texas Cohort,Rural,XGBoost + HIR-M3 Ensemble (30:70),0.512,0.7703,0.3824,0.4287,0.7632,0.3321,0.6046,1110,8422,2232,726,0.36056644880174293,0.5454545454545454,0.25156141568355306,0.11795831976554866,0.25156141568355306,0.18475986772455086,1.0,,30:70,0.034195277710339284,0.195,1.9812,-0.0418,-0.0614,-0.0371,-0.0363,-0.1409,-0.1409,0.1337,,,,,,,
Texas Cohort,Rural,XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,0.2629,0.8036,0.4073,0.4575,0.7738,0.3533,0.6487,1191,8474,2180,645,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,30:70,0.0,0.1121,2.4672,-0.0014,-0.0122,0.0005,0.0142,0.0,0.0,0.0,,,,,,,
Texas Cohort,Diabetes (d),CatBoost with ACT-parity,0.4538,0.809,0.5622,0.57,0.7413,0.4765,0.7093,344,1143,378,141,0.3711340206185567,0.4258064516129032,0.11576278349063246,0.16867088607594938,0.11576278349063246,0.14221683478329092,1.0,,N/A,0.09357387986751034,0.1601,0.9564,,,,,,,,,,,,,,
Texas Cohort,Diabetes (d),CatBoost baseline,0.3961,0.8063,0.5498,0.5644,0.6999,0.4348,0.8041,390,1014,507,95,0.3525773195876289,0.432258064516129,0.16051893408134643,0.12018140589569162,0.16051893408134643,0.140350169988519,1.0,,N/A,0.11979215892171977,0.1629,0.9865,,,,,,,,,,,,,,
Texas Cohort,Diabetes (d),XGBoost with ACT-parity,0.4246,0.7964,0.5312,0.5613,0.7413,0.4756,0.6845,332,1155,366,153,0.41855670103092785,0.49032258064516127,0.13661079025214817,0.1322784810126582,0.13661079025214817,0.1344446356324032,1.0,,N/A,0.14410769475546736,0.1597,0.7269,,,,,,,,0.0056,0.0371,0.012,0.0678,0.0678,0.002,0.0
Texas Cohort,Diabetes (d),XGBoost baseline,0.3328,0.7969,0.5424,0.5551,0.6939,0.4279,0.7897,383,1009,512,102,0.44123711340206184,0.4967741935483871,0.1037610931117059,0.07029478458049884,0.1037610931117059,0.08702793884610237,1.0,,N/A,0.11838261685800607,0.1583,0.7438,,,,,,,,0.0145,0.0269,0.0128,0.0592,0.0592,0.0666,0.0
Texas Cohort,Diabetes (d),HIR-M3 Transformer,0.4558,0.5846,0.2979,0.4068,0.4227,0.2706,0.8186,397,451,1070,88,0.7546391752577319,0.8258064516129032,0.10964924637272855,0.14651898734177216,0.10964924637272855,0.12808411685725035,1.0,,N/A,0.15415673467636504,0.2323,1.9158,,,,,,,,0.0872,0.0473,0.031,0.0949,0.0949,0.0209,0.0
Texas Cohort,Diabetes (d),HIR-M3 Transformer with ACT-parity,0.1138,0.4992,0.2422,0.3916,0.2532,0.2438,0.9938,482,26,1495,3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,N/A,0.0,0.1886,0.1113,,,,,,,,0.127,0.0541,0.0161,0.0,0.0,0.0,0.0
Texas Cohort,Diabetes (d),XGBoost + HIR-M3 Ensemble (30:70),0.4375,0.788,0.5332,0.5494,0.7024,0.4333,0.7505,364,1045,476,121,0.5030927835051546,0.5483870967741935,0.07677137625017605,0.060657596371882075,0.07677137625017605,0.06871448631102905,1.0,,30:70,0.11770365482508488,0.1911,3.0033,-0.0418,-0.0614,-0.0371,-0.0363,-0.1409,-0.1409,0.1337,,,,,,,
Texas Cohort,Diabetes (d),XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,0.2291,0.782,0.5153,0.5537,0.6994,0.4319,0.7711,374,1029,492,111,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,30:70,0.0,0.1596,2.3292,-0.0014,-0.0122,0.0005,0.0142,0.0,0.0,0.0,,,,,,,
Texas Cohort,Heart Failure (hf),CatBoost with ACT-parity,0.2397,0.7318,0.6222,0.655,0.6128,0.505,0.9321,357,238,350,26,0.381201044386423,0.39669421487603307,0.11544421487603307,0.06759517177344476,0.11544421487603307,0.09151969332473892,1.0,,N/A,0.015183139199799583,0.2083,0.7036,,,,,,,,,,,,,,
Texas Cohort,Heart Failure (hf),CatBoost baseline,0.2176,0.7538,0.6496,0.6547,0.6035,0.4986,0.953,365,221,367,18,0.3472584856396867,0.3677685950413223,0.0924062762007426,0.04999999999999999,0.0924062762007426,0.0712031381003713,1.0,,N/A,0.02024075617779284,0.1972,0.7983,,,,,,,,,,,,,,
Texas Cohort,Heart Failure (hf),XGBoost with ACT-parity,0.2313,0.7473,0.6343,0.6499,0.6272,0.5161,0.8773,336,273,315,47,0.381201044386423,0.43478260869565216,0.10665760869565216,0.1333333333333333,0.10665760869565216,0.11999547101449273,1.0,,N/A,0.0598315117806385,0.2058,0.5806,,,,,,,,0.0056,0.0371,0.012,0.0678,0.0678,0.002,0.0
Texas Cohort,Heart Failure (hf),XGBoost baseline,0.1733,0.7551,0.6578,0.651,0.6169,0.5081,0.906,347,252,336,36,0.412532637075718,0.4297520661157025,0.08600206611570249,0.154874651810585,0.08600206611570249,0.12043835896314374,1.0,,N/A,0.020880784782172323,0.2043,0.5557,,,,,,,,0.0145,0.0269,0.0128,0.0592,0.0592,0.0666,0.0
Texas Cohort,Heart Failure (hf),HIR-M3 Transformer,0.5204,0.5405,0.4275,0.5661,0.3955,0.3948,1.0,383,1,587,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,N/A,0.0,0.2822,0.9942,,,,,,,,0.0872,0.0473,0.031,0.0949,0.0949,0.0209,0.0
Texas Cohort,Heart Failure (hf),HIR-M3 Transformer with ACT-parity,0.3256,0.5223,0.4149,0.5661,0.3955,0.3948,1.0,383,1,587,0,0.9660574412532638,0.9855072463768116,0.030961791831357055,0.11940575673166202,0.030961791831357055,0.07518377428150955,1.0,,N/A,0.04032107510798474,0.239,0.4591,,,,,,,,0.127,0.0541,0.0161,0.0,0.0,0.0,0.0
Texas Cohort,Heart Failure (hf),XGBoost + HIR-M3 Ensemble (30:70),0.4748,0.7528,0.6566,0.6458,0.6148,0.5067,0.8903,341,256,332,42,0.206266318537859,0.21487603305785125,0.058626033057851246,0.026485608170844888,0.058626033057851246,0.04255582061434807,1.0,,30:70,0.00412323386893744,0.2315,2.559,-0.0418,-0.0614,-0.0371,-0.0363,-0.1409,-0.1409,0.1337,,,,,,,
Texas Cohort,Heart Failure (hf),XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,0.3385,0.739,0.6117,0.6445,0.6138,0.506,0.8877,340,256,332,43,0.6814621409921671,0.7101449275362319,0.06951992753623193,0.04166666666666667,0.06951992753623193,0.0555932971014493,1.0,,30:70,0.0560765577720776,0.2111,2.337,-0.0014,-0.0122,0.0005,0.0142,0.0,0.0,0.0,,,,,,,
Texas Cohort,Hypertension (hyp),CatBoost with ACT-parity,0.515,0.7879,0.5348,0.5507,0.726,0.4606,0.6847,543,1804,636,250,0.3026481715006305,0.8333333333333334,0.5695035460992908,0.2980624638519376,0.5695035460992908,0.4337830049756142,1.0,,N/A,0.07299436038719297,0.1818,0.9016,,,,,,,,,,,,,,
Texas Cohort,Hypertension (hyp),CatBoost baseline,0.5166,0.7977,0.5503,0.561,0.7294,0.4658,0.7049,559,1799,641,234,0.27364438839848676,0.3046875,0.04031968390804597,0.22692307692307695,0.04031968390804597,0.13362138041556146,1.0,,N/A,0.030202194299458487,0.1783,0.9939,,,,,,,,,,,,,,
Texas Cohort,Hypertension (hyp),XGBoost with ACT-parity,0.4244,0.7873,0.5369,0.5422,0.6814,0.4187,0.7692,610,1593,847,183,0.3379571248423707,0.8888888888888888,0.5931442080378251,0.2765760555234239,0.5931442080378251,0.4348601317806245,1.0,,N/A,0.11528133632135415,0.1773,0.7668,,,,,,,,0.0056,0.0371,0.012,0.0678,0.0678,0.002,0.0
Texas Cohort,Hypertension (hyp),XGBoost baseline,0.5276,0.7845,0.5258,0.5462,0.7374,0.474,0.6444,511,1873,567,282,0.32156368221941994,0.3888888888888889,0.09578544061302685,0.10962984384037017,0.09578544061302685,0.10270764222669851,1.0,,N/A,0.007595633057114067,0.1751,0.755,,,,,,,,0.0145,0.0269,0.0128,0.0592,0.0592,0.0666,0.0
Texas Cohort,Hypertension (hyp),HIR-M3 Transformer,0.4635,0.5584,0.2925,0.3979,0.2651,0.249,0.9899,785,72,2368,8,0.9546027742749055,1.0,0.057446808510638325,0.032330827067669175,0.057446808510638325,0.044888817789153754,1.0,,N/A,0.06851907856433934,0.2411,5.6145,,,,,,,,0.0872,0.0473,0.031,0.0949,0.0949,0.0209,0.0
Texas Cohort,Hypertension (hyp),HIR-M3 Transformer with ACT-parity,0.1224,0.5426,0.2677,0.3974,0.3526,0.2575,0.8701,690,450,1990,103,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,N/A,0.0,0.1917,0.4258,,,,,,,,0.127,0.0541,0.0161,0.0,0.0,0.0,0.0
Texas Cohort,Hypertension (hyp),XGBoost + HIR-M3 Ensemble (30:70),0.4979,0.784,0.5214,0.5482,0.7405,0.4784,0.6419,509,1885,555,284,0.3707440100882724,0.4444444444444444,0.1111111111111111,0.13609022556390976,0.1111111111111111,0.12360066833751043,1.0,,30:70,0.018596572478469967,0.2032,3.4067,-0.0418,-0.0614,-0.0371,-0.0363,-0.1409,-0.1409,0.1337,,,,,,,
Texas Cohort,Hypertension (hyp),XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,0.255,0.7768,0.5175,0.542,0.7083,0.4408,0.7037,558,1732,708,235,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,30:70,0.0,0.1609,2.2271,-0.0014,-0.0122,0.0005,0.0142,0.0,0.0,0.0,,,,,,,
Texas Cohort,Diabetes + Heart Failure (d+hf),CatBoost with ACT-parity,0.305,0.7681,0.7353,0.7326,0.7008,0.641,0.8547,100,71,56,17,0.3247863247863248,0.4117647058823529,0.17843137254901958,0.1264367816091954,0.17843137254901958,0.1524340770791075,1.0,,N/A,0.1001920099646099,0.1988,0.7512,,,,,,,,,,,,,,
Texas Cohort,Diabetes + Heart Failure (d+hf),CatBoost baseline,0.2945,0.781,0.7394,0.7609,0.7295,0.6604,0.8974,105,73,54,12,0.29914529914529914,0.3235294117647059,0.09019607843137256,0.10721247563352826,0.09019607843137256,0.09870427703245041,1.0,,N/A,0.022770502726344972,0.1949,0.6598,,,,,,,,,,,,,,
Texas Cohort,Diabetes + Heart Failure (d+hf),XGBoost with ACT-parity,0.4685,0.7983,0.7527,0.7419,0.7377,0.7023,0.7863,92,88,39,25,0.24786324786324787,0.28,0.08000000000000002,0.22030651340996166,0.08000000000000002,0.15015325670498084,1.0,,N/A,0.03127812911020042,0.192,0.5707,,,,,,,,0.0056,0.0371,0.012,0.0678,0.0678,0.002,0.0
Texas Cohort,Diabetes + Heart Failure (d+hf),XGBoost baseline,0.2979,0.7812,0.7432,0.738,0.709,0.6494,0.8547,100,73,54,17,0.26495726495726496,0.3,0.09999999999999998,0.185823754789272,0.09999999999999998,0.14291187739463598,1.0,,N/A,0.03302304174126601,0.2062,0.4528,,,,,,,,0.0145,0.0269,0.0128,0.0592,0.0592,0.0666,0.0
Texas Cohort,Diabetes + Heart Failure (d+hf),HIR-M3 Transformer,0.5288,0.4505,0.4597,0.6518,0.4877,0.4835,1.0,117,2,125,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,N/A,0.0,0.2639,-1.5211,,,,,,,,0.0872,0.0473,0.031,0.0949,0.0949,0.0209,0.0
