Cohort,Model,Threshold,Threshold Type,Accuracy,F1 Score,Precision,Recall,Specificity,ROC AUC,PR AUC,Brier Score,ACT-Parity Gap,FNR Gap,FPR Gap,Net Benefit,Acceptable Threshold,Valid Threshold,Exclusion Reason,Predicted Positive Count,Predicted Negative Count
Texas Cohort,CatBoost baseline,0.36,Sweep,0.6259,0.4025,0.263,0.8573,0.586,0.8147,0.454,0.1707,0.0391,0.1818,0.228,-0.0726,False,True,None,5985,6505
Texas Cohort,CatBoost baseline,0.37,Sweep,0.6335,0.4062,0.2666,0.8529,0.5956,0.8147,0.454,0.1707,0.0348,0.1818,0.2428,-0.0772,False,True,None,5874,6616
Texas Cohort,CatBoost baseline,0.38,Sweep,0.6414,0.409,0.2699,0.8442,0.6064,0.8147,0.454,0.1707,0.026,0.1818,0.2538,-0.0817,False,True,None,5743,6747
Texas Cohort,CatBoost baseline,0.39,Sweep,0.6502,0.4138,0.2745,0.8399,0.6175,0.8147,0.454,0.1707,0.0217,0.1818,0.2628,-0.0851,False,True,None,5617,6873
Texas Cohort,CatBoost baseline,0.4,Sweep,0.6581,0.4173,0.2784,0.8328,0.628,0.8147,0.454,0.1707,0.0146,0.1818,0.273,-0.0891,False,True,None,5492,6998
Texas Cohort,CatBoost baseline,0.41,Sweep,0.6658,0.4214,0.2826,0.8279,0.6379,0.8147,0.454,0.1707,0.0123,0.1844,0.2812,-0.093,False,True,None,5378,7112
Texas Cohort,CatBoost baseline,0.42,Sweep,0.6733,0.424,0.2861,0.8181,0.6483,0.8147,0.454,0.1707,0.0121,0.1941,0.241,-0.097,False,True,None,5249,7241
Texas Cohort,CatBoost baseline,0.43,Sweep,0.6804,0.4263,0.2895,0.8077,0.6584,0.8147,0.454,0.1707,0.035,0.2273,0.2524,-0.1011,False,True,None,5122,7368
Texas Cohort,CatBoost baseline,0.44,Sweep,0.6857,0.4282,0.2922,0.8007,0.6659,0.8147,0.454,0.1707,0.0279,0.2273,0.2637,-0.1063,False,True,None,5030,7460
Texas Cohort,CatBoost baseline,0.45,Sweep,0.6941,0.433,0.2976,0.7947,0.6767,0.8147,0.454,0.1707,0.0219,0.2273,0.2696,-0.1088,False,True,None,4903,7587
Texas Cohort,CatBoost baseline,0.46,Sweep,0.7012,0.4352,0.3013,0.7832,0.6871,0.8147,0.454,0.1707,0.056,0.2727,0.2314,-0.1123,False,True,None,4772,7718
Texas Cohort,CatBoost baseline,0.47,Sweep,0.7078,0.4379,0.3053,0.7745,0.6963,0.8147,0.454,0.1707,0.0472,0.2727,0.2461,-0.1159,False,True,None,4658,7832
Texas Cohort,CatBoost baseline,0.48,Sweep,0.7141,0.4391,0.3085,0.7614,0.7059,0.8147,0.454,0.1707,0.0342,0.2727,0.2567,-0.1196,False,True,None,4531,7959
Texas Cohort,CatBoost baseline,0.49,Sweep,0.7208,0.4418,0.3129,0.7516,0.7155,0.8147,0.454,0.1707,0.0698,0.3182,0.2657,-0.1227,False,True,None,4411,8079
Texas Cohort,CatBoost baseline,0.5,Default,0.7276,0.4454,0.3178,0.744,0.7248,0.8147,0.454,0.1707,0.1076,0.3636,0.2755,-0.1254,False,True,None,4298,8192
Texas Cohort,XGBoost with ACT-parity,0.1,Sweep,0.3858,0.3192,0.1906,0.9793,0.2836,0.808,0.4334,0.1603,0.4793,0.5,0.6677,0.0761,False,True,None,9431,3059
Texas Cohort,XGBoost with ACT-parity,0.11,Sweep,0.4005,0.3238,0.1941,0.9766,0.3012,0.808,0.4334,0.1603,0.4766,0.5,0.6511,0.0699,False,True,None,9238,3252
Texas Cohort,XGBoost with ACT-parity,0.12,Sweep,0.4124,0.3271,0.1967,0.9717,0.316,0.808,0.4334,0.1603,0.4717,0.5,0.6377,0.0633,False,True,None,9071,3419
Texas Cohort,XGBoost with ACT-parity,0.13,Sweep,0.428,0.3325,0.2007,0.969,0.3348,0.808,0.4334,0.1603,0.469,0.5,0.6211,0.0576,False,True,None,8866,3624
Texas Cohort,XGBoost with ACT-parity,0.14,Sweep,0.4386,0.3352,0.2029,0.963,0.3482,0.808,0.4334,0.1603,0.463,0.5,0.6076,0.051,False,True,None,8712,3778
Texas Cohort,XGBoost with ACT-parity,0.15,Sweep,0.4534,0.3406,0.207,0.9602,0.3661,0.808,0.4334,0.1603,0.4602,0.5,0.5904,0.0457,False,True,None,8517,3973
Texas Cohort,XGBoost with ACT-parity,0.16,Sweep,0.4666,0.3456,0.2108,0.9581,0.3819,0.808,0.4334,0.1603,0.4581,0.5,0.5741,0.0404,False,True,None,8344,4146
Texas Cohort,XGBoost with ACT-parity,0.17,Sweep,0.4792,0.3501,0.2144,0.9542,0.3973,0.808,0.4334,0.1603,0.4542,0.5,0.5592,0.035,False,True,None,8173,4317
Texas Cohort,XGBoost with ACT-parity,0.18,Sweep,0.4929,0.3546,0.2181,0.9477,0.4145,0.808,0.4334,0.1603,0.4477,0.5,0.5415,0.0297,False,True,None,7978,4512
Texas Cohort,XGBoost with ACT-parity,0.19,Sweep,0.5049,0.3584,0.2214,0.9406,0.4298,0.808,0.4334,0.1603,0.4406,0.5,0.5265,0.0242,False,True,None,7802,4688
Texas Cohort,XGBoost with ACT-parity,0.2,Sweep,0.518,0.3624,0.225,0.9319,0.4467,0.808,0.4334,0.1603,0.6819,0.75,0.5091,0.019,False,True,None,7606,4884
Texas Cohort,XGBoost with ACT-parity,0.21,Sweep,0.5294,0.3662,0.2283,0.9248,0.4612,0.808,0.4334,0.1603,0.6748,0.75,0.4948,0.0138,False,True,None,7438,5052
Texas Cohort,XGBoost with ACT-parity,0.22,Sweep,0.5416,0.3704,0.232,0.9172,0.4768,0.808,0.4334,0.1603,0.6672,0.75,0.4776,0.009,False,True,None,7258,5232
Texas Cohort,XGBoost with ACT-parity,0.23,Sweep,0.5514,0.3725,0.2345,0.9058,0.4903,0.808,0.4334,0.1603,0.6558,0.6705,0.4633,0.0033,False,True,None,7093,5397
Texas Cohort,XGBoost with ACT-parity,0.24,Sweep,0.562,0.377,0.2383,0.9014,0.5035,0.808,0.4334,0.1603,0.6514,0.6661,0.5275,-0.0012,False,True,None,6945,5545
Texas Cohort,XGBoost with ACT-parity,0.25,Sweep,0.5704,0.3791,0.2407,0.8922,0.5149,0.808,0.4334,0.1603,0.6422,0.6582,0.515,-0.0068,False,True,None,6806,5684
Texas Cohort,XGBoost with ACT-parity,0.26,Sweep,0.5803,0.3827,0.2441,0.8851,0.5278,0.808,0.4334,0.1603,0.6351,0.6512,0.5011,-0.0114,False,True,None,6656,5834
Texas Cohort,XGBoost with ACT-parity,0.27,Sweep,0.5906,0.3874,0.2483,0.8807,0.5406,0.808,0.4334,0.1603,0.6307,0.6486,0.4881,-0.0155,False,True,None,6511,5979
Texas Cohort,XGBoost with ACT-parity,0.28,Sweep,0.5994,0.39,0.2512,0.8709,0.5527,0.808,0.4334,0.1603,0.6209,0.6407,0.4754,-0.0204,False,True,None,6365,6125
Texas Cohort,XGBoost with ACT-parity,0.29,Sweep,0.6081,0.3932,0.2545,0.8638,0.564,0.808,0.4334,0.1603,0.6138,0.6337,0.4641,-0.0249,False,True,None,6231,6259
Texas Cohort,XGBoost with ACT-parity,0.3,Sweep,0.6156,0.3962,0.2576,0.8578,0.5739,0.808,0.4334,0.1603,0.6078,0.6267,0.4545,-0.0297,False,True,None,6115,6375
Texas Cohort,XGBoost with ACT-parity,0.31,Sweep,0.6254,0.3999,0.2615,0.8491,0.5868,0.808,0.4334,0.1603,0.5991,0.6198,0.4415,-0.0335,False,True,None,5961,6529
Texas Cohort,XGBoost with ACT-parity,0.32,Sweep,0.6348,0.4032,0.2654,0.8393,0.5996,0.808,0.4334,0.1603,0.5893,0.6093,0.4278,-0.0374,False,True,None,5807,6683
Texas Cohort,XGBoost with ACT-parity,0.33,Sweep,0.6448,0.4084,0.2704,0.8339,0.6123,0.808,0.4334,0.1603,0.5839,0.6049,0.4146,-0.0403,False,True,None,5662,6828
Texas Cohort,XGBoost with ACT-parity,0.34,Sweep,0.6536,0.4128,0.2749,0.8284,0.6234,0.808,0.4334,0.1603,0.5784,0.5988,0.403,-0.0437,False,True,None,5533,6957
Texas Cohort,XGBoost with ACT-parity,0.35,Sweep,0.6616,0.4158,0.2786,0.8192,0.6345,0.808,0.4334,0.1603,0.5692,0.5883,0.3898,-0.0475,False,True,None,5398,7092
Texas Cohort,XGBoost with ACT-parity,0.36,Sweep,0.6693,0.4189,0.2824,0.811,0.6448,0.808,0.4334,0.1603,0.561,0.5813,0.3784,-0.0512,False,True,None,5273,7217
Texas Cohort,XGBoost with ACT-parity,0.37,Sweep,0.677,0.4224,0.2865,0.8034,0.6552,0.808,0.4334,0.1603,0.5534,0.576,0.3682,-0.0546,False,True,None,5148,7342
Texas Cohort,XGBoost with ACT-parity,0.38,Sweep,0.6861,0.4277,0.2921,0.7979,0.6668,0.808,0.4334,0.1603,0.5479,0.5717,0.3557,-0.0569,False,True,None,5015,7475
Texas Cohort,XGBoost with ACT-parity,0.39,Sweep,0.6938,0.4317,0.2968,0.7914,0.6769,0.808,0.4334,0.1603,0.5414,0.5656,0.3454,-0.0599,False,True,None,4895,7595
Texas Cohort,XGBoost with ACT-parity,0.4,Sweep,0.701,0.4351,0.3012,0.7832,0.6869,0.808,0.4334,0.1603,0.5332,0.5586,0.3353,-0.0629,False,True,None,4774,7716
Texas Cohort,XGBoost with ACT-parity,0.41,Sweep,0.7072,0.4366,0.3044,0.7718,0.6961,0.808,0.4334,0.1603,0.5218,0.5481,0.3263,-0.0667,False,True,None,4655,7835
Texas Cohort,XGBoost with ACT-parity,0.42,Sweep,0.7135,0.4401,0.3087,0.7658,0.7045,0.808,0.4334,0.1603,0.5158,0.542,0.3169,-0.0699,False,True,None,4554,7936
Texas Cohort,XGBoost with ACT-parity,0.43,Sweep,0.7199,0.442,0.3125,0.7549,0.7138,0.808,0.4334,0.1603,0.5049,0.5297,0.3068,-0.0732,False,True,None,4435,8055
Texas Cohort,XGBoost with ACT-parity,0.44,Sweep,0.726,0.4438,0.3163,0.7435,0.723,0.808,0.4334,0.1603,0.4935,0.5149,0.2975,-0.0764,False,True,None,4316,8174
Texas Cohort,XGBoost with ACT-parity,0.45,Sweep,0.7301,0.444,0.3184,0.7331,0.7296,0.808,0.4334,0.1603,0.4831,0.5044,0.2906,-0.081,False,True,None,4227,8263
Texas Cohort,XGBoost with ACT-parity,0.46,Sweep,0.7356,0.445,0.3218,0.7211,0.7381,0.808,0.4334,0.1603,0.7211,0.743,0.2814,-0.0843,False,True,None,4114,8376
Texas Cohort,XGBoost with ACT-parity,0.47,Sweep,0.7414,0.4482,0.3265,0.7146,0.746,0.808,0.4334,0.1603,0.7146,0.736,0.273,-0.0871,False,True,None,4018,8472
Texas Cohort,XGBoost with ACT-parity,0.48,Sweep,0.7454,0.4487,0.3291,0.7048,0.7524,0.808,0.4334,0.1603,0.7048,0.7264,0.267,-0.0914,False,True,None,3932,8558
Texas Cohort,XGBoost with ACT-parity,0.49,Sweep,0.7516,0.4505,0.3338,0.6928,0.7617,0.808,0.4334,0.1603,0.6928,0.7142,0.2565,-0.0935,False,True,None,3811,8679
Texas Cohort,XGBoost with ACT-parity,0.5,Default,0.7576,0.4519,0.3385,0.6797,0.7711,0.808,0.4334,0.1603,0.6797,0.7019,0.2477,-0.0954,False,True,None,3687,8803
Texas Cohort,XGBoost baseline,0.1,Sweep,0.3931,0.321,0.1921,0.976,0.2927,0.8096,0.4436,0.1562,0.0215,0.0455,0.1314,0.0764,False,True,None,9328,3162
Texas Cohort,XGBoost baseline,0.11,Sweep,0.4061,0.3253,0.1952,0.9739,0.3082,0.8096,0.4436,0.1562,0.0193,0.0455,0.0927,0.0702,False,True,None,9158,3332
Texas Cohort,XGBoost baseline,0.12,Sweep,0.419,0.3291,0.1982,0.9695,0.3241,0.8096,0.4436,0.1562,0.015,0.0455,0.1089,0.0639,False,True,None,8981,3509
Texas Cohort,XGBoost baseline,0.13,Sweep,0.4317,0.3328,0.2011,0.9641,0.34,0.8096,0.4436,0.1562,0.055,0.0909,0.1251,0.0576,False,True,None,8802,3688
Texas Cohort,XGBoost baseline,0.14,Sweep,0.4435,0.3364,0.204,0.9597,0.3545,0.8096,0.4436,0.1562,0.0506,0.0909,0.1467,0.0514,False,True,None,8639,3851
Texas Cohort,XGBoost baseline,0.15,Sweep,0.4559,0.3406,0.2072,0.9559,0.3697,0.8096,0.4436,0.1562,0.0468,0.0909,0.1629,0.0456,False,True,None,8470,4020
Texas Cohort,XGBoost baseline,0.16,Sweep,0.4688,0.3446,0.2105,0.9499,0.3859,0.8096,0.4436,0.1562,0.0408,0.0909,0.1737,0.0398,False,True,None,8287,4203
Texas Cohort,XGBoost baseline,0.17,Sweep,0.4815,0.3491,0.2141,0.9461,0.4014,0.8096,0.4436,0.1562,0.037,0.0909,0.19,0.0345,False,True,None,8114,4376
Texas Cohort,XGBoost baseline,0.18,Sweep,0.4941,0.3522,0.2169,0.9357,0.418,0.8096,0.4436,0.1562,0.0266,0.0909,0.2116,0.0286,False,True,None,7919,4571
Texas Cohort,XGBoost baseline,0.19,Sweep,0.5074,0.3578,0.2213,0.9336,0.4339,0.8096,0.4436,0.1562,0.0245,0.0909,0.2224,0.024,False,True,None,7745,4745
Texas Cohort,XGBoost baseline,0.2,Sweep,0.5179,0.3615,0.2245,0.9286,0.4471,0.8096,0.4436,0.1562,0.0196,0.0909,0.2278,0.0186,False,True,None,7596,4894
Texas Cohort,XGBoost baseline,0.21,Sweep,0.5283,0.3643,0.2272,0.9194,0.461,0.8096,0.4436,0.1562,0.0103,0.0909,0.2386,0.0129,False,True,None,7431,5059
Texas Cohort,XGBoost baseline,0.22,Sweep,0.5393,0.3682,0.2306,0.9134,0.4748,0.8096,0.4436,0.1562,0.0078,0.0944,0.244,0.0079,False,True,None,7272,5218
Texas Cohort,XGBoost baseline,0.23,Sweep,0.5489,0.372,0.2339,0.909,0.4869,0.8096,0.4436,0.1562,0.0104,0.1014,0.218,0.0029,False,True,None,7136,5354
Texas Cohort,XGBoost baseline,0.24,Sweep,0.559,0.3745,0.2366,0.8981,0.5006,0.8096,0.4436,0.1562,0.01,0.1119,0.2234,-0.0025,False,True,None,6970,5520
Texas Cohort,XGBoost baseline,0.25,Sweep,0.571,0.3803,0.2414,0.8954,0.5151,0.8096,0.4436,0.1562,0.0091,0.1136,0.2342,-0.0062,False,True,None,6810,5680
Texas Cohort,XGBoost baseline,0.26,Sweep,0.5813,0.3841,0.245,0.8883,0.5283,0.8096,0.4436,0.1562,0.0107,0.1224,0.2559,-0.0108,False,True,None,6656,5834
Texas Cohort,XGBoost baseline,0.27,Sweep,0.5918,0.3882,0.249,0.8813,0.5419,0.8096,0.4436,0.1562,0.0176,0.1364,0.2667,-0.015,False,True,None,6499,5991
Texas Cohort,XGBoost baseline,0.28,Sweep,0.6003,0.3914,0.2521,0.8742,0.5531,0.8096,0.4436,0.1562,0.0105,0.1364,0.2721,-0.0197,False,True,None,6366,6124
Texas Cohort,XGBoost baseline,0.29,Sweep,0.6089,0.3941,0.2552,0.8655,0.5647,0.8096,0.4436,0.1562,0.0123,0.1469,0.2937,-0.0245,False,True,None,6227,6263
Texas Cohort,XGBoost baseline,0.3,Sweep,0.6191,0.398,0.2592,0.8568,0.5781,0.8096,0.4436,0.1562,0.0141,0.1573,0.3045,-0.0283,False,True,None,6068,6422
Texas Cohort,XGBoost baseline,0.31,Sweep,0.6292,0.4025,0.2637,0.8497,0.5912,0.8096,0.4436,0.1562,0.014,0.1643,0.2569,-0.0318,False,True,None,5915,6575
Texas Cohort,XGBoost baseline,0.32,Sweep,0.638,0.4058,0.2674,0.841,0.603,0.8096,0.4436,0.1562,0.0682,0.2273,0.2623,-0.0358,False,True,None,5774,6716
Texas Cohort,XGBoost baseline,0.33,Sweep,0.647,0.4095,0.2715,0.8328,0.615,0.8096,0.4436,0.1562,0.0601,0.2273,0.2731,-0.0393,False,True,None,5631,6859
Texas Cohort,XGBoost baseline,0.34,Sweep,0.6568,0.4151,0.2769,0.8284,0.6272,0.8096,0.4436,0.1562,0.0557,0.2273,0.2785,-0.042,False,True,None,5493,6997
Texas Cohort,XGBoost baseline,0.35,Sweep,0.6646,0.4183,0.2807,0.8203,0.6378,0.8096,0.4436,0.1562,0.093,0.2727,0.2849,-0.0458,False,True,None,5365,7125
Texas Cohort,XGBoost baseline,0.36,Sweep,0.6707,0.4201,0.2834,0.8115,0.6464,0.8096,0.4436,0.1562,0.0843,0.2727,0.2947,-0.0504,False,True,None,5257,7233
Texas Cohort,XGBoost baseline,0.37,Sweep,0.6785,0.4235,0.2875,0.8034,0.6569,0.8096,0.4436,0.1562,0.0761,0.2727,0.3041,-0.0538,False,True,None,5130,7360
Texas Cohort,XGBoost baseline,0.38,Sweep,0.6849,0.4265,0.2911,0.7968,0.6657,0.8096,0.4436,0.1562,0.115,0.3182,0.3272,-0.0577,False,True,None,5025,7465
Texas Cohort,XGBoost baseline,0.39,Sweep,0.6922,0.4291,0.295,0.787,0.6758,0.8096,0.4436,0.1562,0.1052,0.3182,0.2903,-0.0611,False,True,None,4899,7591
Texas Cohort,XGBoost baseline,0.4,Sweep,0.699,0.4324,0.2991,0.78,0.6851,0.8096,0.4436,0.1562,0.0981,0.3182,0.3012,-0.0644,False,True,None,4787,7703
Texas Cohort,XGBoost baseline,0.41,Sweep,0.705,0.4346,0.3025,0.7712,0.6935,0.8096,0.4436,0.1562,0.0894,0.3182,0.3066,-0.0683,False,True,None,4681,7809
Texas Cohort,XGBoost baseline,0.42,Sweep,0.7113,0.4362,0.3059,0.7598,0.7029,0.8096,0.4436,0.1562,0.1234,0.3636,0.2698,-0.0718,False,True,None,4560,7930
Texas Cohort,XGBoost baseline,0.43,Sweep,0.7182,0.4411,0.3113,0.7565,0.7116,0.8096,0.4436,0.1562,0.1202,0.3636,0.2806,-0.0744,False,True,None,4462,8028
Texas Cohort,XGBoost baseline,0.44,Sweep,0.7233,0.4424,0.3143,0.7467,0.7193,0.8096,0.4436,0.1562,0.1104,0.3636,0.286,-0.0784,False,True,None,4362,8128
Texas Cohort,XGBoost baseline,0.45,Sweep,0.7289,0.4446,0.3181,0.738,0.7273,0.8096,0.4436,0.1562,0.1017,0.3636,0.2914,-0.0818,False,True,None,4260,8230
Texas Cohort,XGBoost baseline,0.46,Sweep,0.7324,0.4428,0.3191,0.7233,0.734,0.8096,0.4436,0.1562,0.1324,0.4091,0.2914,-0.087,False,True,None,4162,8328
Texas Cohort,XGBoost baseline,0.47,Sweep,0.7377,0.4438,0.3224,0.7119,0.7422,0.8096,0.4436,0.1562,0.1664,0.4545,0.2546,-0.0904,False,True,None,4054,8436
Texas Cohort,XGBoost baseline,0.48,Sweep,0.7429,0.4461,0.3264,0.7042,0.7496,0.8096,0.4436,0.1562,0.1588,0.4545,0.26,-0.0937,False,True,None,3961,8529
Texas Cohort,XGBoost baseline,0.49,Sweep,0.7476,0.4467,0.3295,0.6934,0.7569,0.8096,0.4436,0.1562,0.1479,0.4545,0.2627,-0.0973,False,True,None,3863,8627
Texas Cohort,XGBoost baseline,0.5,Default,0.7528,0.4492,0.334,0.6857,0.7644,0.8096,0.4436,0.1562,0.1857,0.5,0.2684,-0.1002,False,True,None,3769,8721
Texas Cohort,HIR-M3 Transformer,0.1,Sweep,0.147,0.2563,0.147,1.0,0.0,0.6191,0.2158,0.2335,0.0,0.0,0.0,0.0522,False,True,None,12490,0
Texas Cohort,HIR-M3 Transformer,0.11,Sweep,0.147,0.2563,0.147,1.0,0.0,0.6191,0.2158,0.2335,0.0,0.0,0.0,0.0416,False,True,None,12490,0
Texas Cohort,HIR-M3 Transformer,0.12,Sweep,0.147,0.2563,0.147,1.0,0.0,0.6191,0.2158,0.2335,0.0,0.0,0.0,0.0307,False,True,None,12490,0
Texas Cohort,HIR-M3 Transformer,0.13,Sweep,0.147,0.2563,0.147,1.0,0.0,0.6191,0.2158,0.2335,0.0,0.0,0.0,0.0195,False,True,None,12490,0
Texas Cohort,HIR-M3 Transformer,0.14,Sweep,0.147,0.2563,0.147,1.0,0.0,0.6191,0.2158,0.2335,0.0,0.0,0.0,0.0081,False,True,None,12490,0
Texas Cohort,HIR-M3 Transformer,0.15,Sweep,0.147,0.2563,0.147,1.0,0.0,0.6191,0.2158,0.2335,0.0,0.0,0.0,-0.0035,False,True,None,12490,0
Texas Cohort,HIR-M3 Transformer,0.16,Sweep,0.147,0.2563,0.147,1.0,0.0,0.6191,0.2158,0.2335,0.0,0.0,0.0,-0.0155,False,True,None,12490,0
Texas Cohort,HIR-M3 Transformer,0.17,Sweep,0.147,0.2563,0.147,1.0,0.0,0.6191,0.2158,0.2335,0.0,0.0,0.0,-0.0277,False,True,None,12490,0
Texas Cohort,HIR-M3 Transformer,0.18,Sweep,0.147,0.2563,0.147,1.0,0.0,0.6191,0.2158,0.2335,0.0,0.0,0.0,-0.0402,False,True,None,12490,0
Texas Cohort,HIR-M3 Transformer,0.19,Sweep,0.147,0.2563,0.147,1.0,0.0,0.6191,0.2158,0.2335,0.0,0.0,0.0,-0.0531,False,True,None,12490,0
Texas Cohort,HIR-M3 Transformer,0.2,Sweep,0.147,0.2563,0.147,1.0,0.0,0.6191,0.2158,0.2335,0.0,0.0,0.0,-0.0663,False,True,None,12490,0
Texas Cohort,HIR-M3 Transformer,0.21,Sweep,0.147,0.2563,0.147,1.0,0.0,0.6191,0.2158,0.2335,0.0,0.0,0.0,-0.0797,False,True,None,12490,0
Texas Cohort,HIR-M3 Transformer,0.22,Sweep,0.1471,0.2563,0.147,1.0,0.0001,0.6191,0.2158,0.2335,0.0,0.0,0.0002,-0.0936,False,True,None,12489,1
Texas Cohort,HIR-M3 Transformer,0.23,Sweep,0.1472,0.2564,0.147,1.0,0.0003,0.6191,0.2158,0.2335,0.0,0.0,0.0005,-0.1077,False,True,None,12487,3
Texas Cohort,HIR-M3 Transformer,0.24,Sweep,0.1487,0.2566,0.1472,0.9995,0.0021,0.6191,0.2158,0.2335,0.0003,0.0009,0.0029,-0.1219,False,True,None,12467,23
Texas Cohort,HIR-M3 Transformer,0.25,Sweep,0.1525,0.257,0.1475,0.9973,0.0069,0.6191,0.2158,0.2335,0.0008,0.0035,0.0108,-0.1358,False,True,None,12411,79
Texas Cohort,HIR-M3 Transformer,0.26,Sweep,0.157,0.2579,0.1481,0.9967,0.0123,0.6191,0.2158,0.2335,0.0017,0.005,0.0162,-0.1495,False,True,None,12353,137
Texas Cohort,HIR-M3 Transformer,0.27,Sweep,0.1603,0.2582,0.1483,0.994,0.0166,0.6191,0.2158,0.2335,0.0015,0.0075,0.0206,-0.1641,False,True,None,12302,188
Texas Cohort,HIR-M3 Transformer,0.28,Sweep,0.1624,0.2581,0.1484,0.9913,0.0196,0.6191,0.2158,0.2335,0.0013,0.01,0.0239,-0.1795,False,True,None,12265,225
Texas Cohort,HIR-M3 Transformer,0.29,Sweep,0.1675,0.2588,0.1489,0.9886,0.026,0.6191,0.2158,0.2335,0.0061,0.0175,0.0315,-0.194,False,True,None,12192,298
Texas Cohort,HIR-M3 Transformer,0.3,Sweep,0.1751,0.2599,0.1497,0.9853,0.0355,0.6191,0.2158,0.2335,0.0762,0.0909,0.0413,-0.2078,False,True,None,12085,405
Texas Cohort,HIR-M3 Transformer,0.31,Sweep,0.1829,0.2602,0.1501,0.9777,0.046,0.6191,0.2158,0.2335,0.0686,0.0909,0.0595,-0.2219,False,True,None,11959,531
Texas Cohort,HIR-M3 Transformer,0.32,Sweep,0.1942,0.2617,0.1512,0.9717,0.0603,0.6191,0.2158,0.2335,0.0626,0.0909,0.0408,-0.2344,False,True,None,11796,694
Texas Cohort,HIR-M3 Transformer,0.33,Sweep,0.205,0.2621,0.1518,0.9608,0.0747,0.6191,0.2158,0.2335,0.0971,0.1364,0.0354,-0.2475,False,True,None,11622,868
Texas Cohort,HIR-M3 Transformer,0.34,Sweep,0.2171,0.2633,0.1528,0.9515,0.0906,0.6191,0.2158,0.2335,0.0879,0.1364,0.0465,-0.2598,False,True,None,11436,1054
Texas Cohort,HIR-M3 Transformer,0.35,Sweep,0.2319,0.2636,0.1534,0.9352,0.1107,0.6191,0.2158,0.2335,0.117,0.1818,0.0706,-0.271,False,True,None,11192,1298
Texas Cohort,HIR-M3 Transformer,0.36,Sweep,0.2526,0.2661,0.1555,0.9216,0.1373,0.6191,0.2158,0.2335,0.1034,0.1818,0.1984,-0.2785,False,True,None,10883,1607
Texas Cohort,HIR-M3 Transformer,0.37,Sweep,0.273,0.2689,0.1578,0.9096,0.1633,0.6191,0.2158,0.2335,0.1596,0.1851,0.2785,-0.2854,False,True,None,10584,1906
Texas Cohort,HIR-M3 Transformer,0.38,Sweep,0.2901,0.2701,0.1591,0.8938,0.186,0.6191,0.2158,0.2335,0.1438,0.1737,0.3565,-0.2942,False,True,None,10313,2177
Texas Cohort,HIR-M3 Transformer,0.39,Sweep,0.3328,0.2737,0.1629,0.8551,0.2428,0.6191,0.2158,0.2335,0.1278,0.143,0.297,-0.2872,False,True,None,9637,2853
Texas Cohort,HIR-M3 Transformer,0.4,Sweep,0.3817,0.2794,0.1686,0.8154,0.3069,0.6191,0.2158,0.2335,0.3154,0.3425,0.2783,-0.2743,False,True,None,8881,3609
Texas Cohort,HIR-M3 Transformer,0.41,Sweep,0.4085,0.2813,0.1712,0.7876,0.3432,0.6191,0.2158,0.2335,0.2876,0.33,0.2853,-0.2736,False,True,None,8444,4046
Texas Cohort,HIR-M3 Transformer,0.42,Sweep,0.4301,0.283,0.1736,0.7653,0.3723,0.6191,0.2158,0.2335,0.2653,0.3025,0.359,-0.2752,False,True,None,8092,4398
Texas Cohort,HIR-M3 Transformer,0.43,Sweep,0.4572,0.2851,0.1768,0.7364,0.4091,0.6191,0.2158,0.2335,0.2364,0.255,0.4066,-0.272,False,True,None,7647,4843
Texas Cohort,HIR-M3 Transformer,0.44,Sweep,0.493,0.2879,0.1814,0.6972,0.4578,0.6191,0.2158,0.2335,0.4472,0.5,0.4542,-0.2609,False,True,None,7057,5433
Texas Cohort,HIR-M3 Transformer,0.45,Sweep,0.5323,0.2921,0.1878,0.6563,0.5109,0.6191,0.2158,0.2335,0.4063,0.5,0.4542,-0.2449,False,True,None,6416,6074
Texas Cohort,HIR-M3 Transformer,0.46,Sweep,0.5555,0.2929,0.1912,0.6264,0.5433,0.6191,0.2158,0.2335,0.3764,0.5,0.4249,-0.2398,False,True,None,6016,6474
Texas Cohort,HIR-M3 Transformer,0.47,Sweep,0.573,0.2956,0.1951,0.6095,0.5667,0.6191,0.2158,0.2335,0.3595,0.5,0.4249,-0.2381,False,True,None,5735,6755
Texas Cohort,HIR-M3 Transformer,0.48,Sweep,0.5925,0.2983,0.1997,0.5893,0.593,0.6191,0.2158,0.2335,0.3393,0.5,0.348,-0.2338,False,True,None,5418,7072
Texas Cohort,HIR-M3 Transformer,0.49,Sweep,0.6071,0.2995,0.2029,0.5714,0.6133,0.6191,0.2158,0.2335,0.3214,0.5,0.4432,-0.2329,False,True,None,5169,7321
Texas Cohort,HIR-M3 Transformer,0.5,Default,0.6231,0.3005,0.2066,0.5507,0.6356,0.6191,0.2158,0.2335,0.3007,0.5,0.4432,-0.2299,False,True,None,4893,7597
Texas Cohort,HIR-M3 Transformer with ACT-parity,0.1,Sweep,0.1529,0.2562,0.1471,0.9924,0.0083,0.528,0.1622,0.1254,0.002,0.0096,0.011,0.0519,False,True,None,12388,102
Texas Cohort,HIR-M3 Transformer with ACT-parity,0.11,ACT-Parity,0.1657,0.2571,0.1479,0.982,0.025,0.528,0.1622,0.1254,0.0126,0.0305,0.0626,0.0416,False,True,None,12191,299
