Cohort,Model Name,Optimal_Threshold,Overall_ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,TP,TN,FP,FN,AUC_Retention_Ratio,Overall_FNR,Worst_Group_FNR,FNR_Gap,Equalized_Odds_Difference,Generalized_Entropy_Index,EFNHI_Star,Brier_Score,Platt_Calibration_Slope
Nationwide,LightGBM,0.5627,0.7156,0.309,0.3514,0.7819,0.2851,0.458,4010,49052,10054,4746,1.0,0.431247144814984,0.6428571428571429,0.2969924812030076,0.24813363436920916,1.271197341322045,0.2735729954162319,0.19263201696415355,1.0147286244500193
Nationwide,XGBoost,0.539,0.7172,0.3118,0.3526,0.7624,0.2719,0.5016,4392,47344,11762,4364,1.0,0.4296482412060301,0.6071428571428571,0.296031746031746,0.25494505148612795,1.2664026299373115,0.18367392469488708,0.19780401698563752,1.063958010298917
Nationwide,CatBoost,0.5415,0.7198,0.3122,0.3529,0.7528,0.2664,0.5223,4573,46516,12590,4183,1.0037,0.39675650982183647,0.6071428571428571,0.36269841269841263,0.2844483564908494,1.1563750574513894,0.11879975669879503,0.2065147218327251,1.1236386402547696
Nationwide,Random Forest,0.4627,0.6842,0.2494,0.3156,0.7428,0.2403,0.4597,4025,46384,12722,4731,0.9539,0.6797624486066697,0.75,0.13512949039264832,0.1115919993823685,2.046395666363026,0.3460790612436308,0.17639259691588313,1.4511486644016884
Nationwide,Logistic Regression,0.5553,0.7111,0.2925,0.346,0.746,0.2591,0.5206,4558,46070,13036,4198,0.9914,0.38636363636363635,0.5714285714285714,0.3492063492063492,0.32232555420657405,1.0870370656102497,0.1401527339394961,0.20981427639680292,0.8680732820173336
Nationwide,HIR-M3 Transformer,0.6117,0.7067,0.2855,0.3413,0.7498,0.2584,0.5024,4399,46481,12625,4357,0.9853,0.3258337140246688,0.4642857142857143,0.2865079365079365,0.30056275012365663,0.8767855954144033,0.08760820126986403,0.22393420291218974,0.7656756870461691
Nationwide,70% XGBoost : 30% HIR-M3 Ensemble,0.581,0.7203,0.3131,0.355,0.7857,0.2902,0.4572,4003,49316,9790,4753,1.0043,0.38944723618090454,0.5714285714285714,0.32698412698412693,0.2934637348801654,1.1519398078803902,0.16151763339936953,0.20232469910975343,1.0672558773450813
