Cohort,Ensemble Model,Base Model,HIR Model,Ensemble Ratio,Metric,Base Value,HIR-M3 Value,Ensemble Value,Incremental Ensemble Value,Direction,Interpretation,CI Lower,CI Upper
Nationwide Cohort,XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,XGBoost with ACT-parity,HIR-M3 Transformer with ACT-parity,90:10,ACT-Parity Gap,0.497,0.0,0.4647,-0.4647,Lower is better,Negative IEV: Ensemble is worse than at least one component,,
Nationwide Cohort,XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,XGBoost with ACT-parity,HIR-M3 Transformer with ACT-parity,90:10,FNR Gap,0.497,0.0,0.4647,-0.4647,Lower is better,Negative IEV: Ensemble is worse than at least one component,,
Nationwide Cohort,XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,XGBoost with ACT-parity,HIR-M3 Transformer with ACT-parity,90:10,FPR Gap,0.1759,0.0,0.1624,-0.1624,Lower is better,Negative IEV: Ensemble is worse than at least one component,,
Nationwide Cohort,XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,XGBoost with ACT-parity,HIR-M3 Transformer with ACT-parity,90:10,ECE,,,,,N/A,Calculation Warning: Metric unavailable for one or more components,,
Nationwide Cohort,XGBoost + HIR-M3 Ensemble (90:10) with ACT-parity,XGBoost with ACT-parity,HIR-M3 Transformer with ACT-parity,90:10,Transportability Gap,,,,,N/A,Calculation Warning: Metric unavailable for one or more components,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70),XGBoost baseline,HIR-M3 Transformer,30:70,ROC AUC,0.8096,0.6191,0.7678,-0.0418,Higher is better,Negative IEV: Ensemble is worse than at least one component,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70),XGBoost baseline,HIR-M3 Transformer,30:70,PR AUC,0.4436,0.2158,0.3822,-0.0614,Higher is better,Negative IEV: Ensemble is worse than at least one component,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70),XGBoost baseline,HIR-M3 Transformer,30:70,F1 Score,0.4619,0.302,0.4249,-0.0371,Higher is better,Negative IEV: Ensemble is worse than at least one component,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70),XGBoost baseline,HIR-M3 Transformer,30:70,Recall,0.6013,0.5327,0.5675,-0.0338,Higher is better,Negative IEV: Ensemble is worse than at least one component,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70),XGBoost baseline,HIR-M3 Transformer,30:70,Specificity,0.8273,0.6562,0.8097,-0.0176,Higher is better,Negative IEV: Ensemble is worse than at least one component,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70),XGBoost baseline,HIR-M3 Transformer,30:70,Precision,0.375,0.2107,0.3395,-0.0355,Higher is better,Negative IEV: Ensemble is worse than at least one component,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70),XGBoost baseline,HIR-M3 Transformer,30:70,Net Benefit,,,,,N/A,Calculation Warning: Metric unavailable for one or more components,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70),XGBoost baseline,HIR-M3 Transformer,30:70,FPSA,0.0,0.0,0.0,0.0,Higher is better,Zero IEV: Ensemble provides no additional value beyond better component,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70),XGBoost baseline,HIR-M3 Transformer,30:70,Brier Score,0.1562,0.2335,0.1925,-0.0363,Lower is better,Negative IEV: Ensemble is worse than at least one component,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70),XGBoost baseline,HIR-M3 Transformer,30:70,ACT-Parity Gap,0.2634,0.0992,0.2401,-0.1409,Lower is better,Negative IEV: Ensemble is worse than at least one component,,
Texas Cohort,XGBoost + HIR-M3 Ensemble (30:70),XGBoost baseline,HIR-M3 Transformer,30:70,FNR Gap,0.2634,0.0992,0.2401,-0.1409,Lower is better,Negative IEV: Ensemble is worse than at least one component,,
