Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall_Sensitivity,Specificity,Brier_Score,TP,TN,FP,FN,Cohort,Cohort Size,Num Features,Model
0.6687158208522309,0.827732847048924,0.48648380293241467,0.48789754274158953,0.8203452501236107,0.4334712543554007,0.5579537491240364,0.8678838047839115,0.17509898437493,3981,34179,5203,3154,Texas Cohort - Urban,232581,720,LightGBM
0.2688508927822113,0.823696389526524,0.48240452975072035,0.4849610545236669,0.8152073435518198,0.42354788069073784,0.5672039243167484,0.8601391498654207,0.10293048548014615,4047,33874,5508,3088,Texas Cohort - Urban,232581,720,XGBoost
0.2481443295667493,0.8213743632037189,0.479605158306727,0.4806526542405529,0.8029322613238171,0.403385317611259,0.5945339873861247,0.8406886394799654,0.10323683471623035,4242,33108,6274,2893,Texas Cohort - Urban,232581,720,CatBoost
0.1999902926192565,0.7987466447717445,0.4350442450486058,0.4635989774369234,0.7925059655609777,0.38410535040058935,0.58458304134548,0.8301762226397846,0.11157961842940184,4171,32694,6688,2964,Texas Cohort - Urban,232581,720,Random Forest
0.2095734392164263,0.8069067762665487,0.44070370422805455,0.46733111849390924,0.7931938861061547,0.3862700228832952,0.5914505956552207,0.8297445533492458,0.10849143473241712,4220,32677,6705,2915,Texas Cohort - Urban,232581,720,Gradient Boosting
0.22931766729596578,0.8151554125108185,0.46367514727406944,0.4770088248954947,0.8063503665326655,0.4071761324214491,0.5757533286615277,0.8481285866639582,0.10459420629960967,4108,33401,5981,3027,Texas Cohort - Urban,232581,720,Logistic Regression
0.29863667488098145,0.8087593117448746,0.4505913176524119,0.47293150367668346,0.8043081024141712,0.40292028413575376,0.5723896285914506,0.8463257325681783,0.10665527936480512,4084,33330,6052,3051,Texas Cohort - Urban,232581,720,Standard MLP
0.2659633755683899,0.8178858439982524,0.4707301161865489,0.47910307583939893,0.8092310338155942,0.4121805878194122,0.571969166082691,0.8522167487684729,0.10391681229885877,4081,33562,5820,3054,Texas Cohort - Urban,232581,720,HIR-M3 Transformer
0.31448375768936054,0.8268941053786965,0.4823718356868507,0.48540168802750866,0.8230539372702453,0.4381489841986456,0.5440784863349685,0.8735970748057488,0.10391435927795425,3882,34404,4978,3253,Texas Cohort - Urban,232581,720,Weighted Ensemble
0.6687158208522309,0.827732847048924,0.48648380293241467,0.48789754274158953,0.8203452501236107,0.4334712543554007,0.5579537491240364,0.8678838047839115,0.17509898437493,3981,34179,5203,3154,Texas Cohort - Rural,232581,720,LightGBM
0.2688508927822113,0.823696389526524,0.48240452975072035,0.4849610545236669,0.8152073435518198,0.42354788069073784,0.5672039243167484,0.8601391498654207,0.10293048548014615,4047,33874,5508,3088,Texas Cohort - Rural,232581,720,XGBoost
0.2481443295667493,0.8213743632037189,0.479605158306727,0.4806526542405529,0.8029322613238171,0.403385317611259,0.5945339873861247,0.8406886394799654,0.10323683471623035,4242,33108,6274,2893,Texas Cohort - Rural,232581,720,CatBoost
0.19999029261925652,0.7987466447717445,0.4350442450486058,0.4635989774369234,0.7925059655609777,0.38410535040058935,0.58458304134548,0.8301762226397846,0.11157961842940184,4171,32694,6688,2964,Texas Cohort - Rural,232581,720,Random Forest
0.2095734392164263,0.8069067762665487,0.44070370422805455,0.46733111849390924,0.7931938861061547,0.3862700228832952,0.5914505956552207,0.8297445533492458,0.10849143473241712,4220,32677,6705,2915,Texas Cohort - Rural,232581,720,Gradient Boosting
0.22931766729596578,0.8151554125108185,0.46367514727406944,0.4770088248954947,0.8063503665326655,0.4071761324214491,0.5757533286615277,0.8481285866639582,0.10459420629960967,4108,33401,5981,3027,Texas Cohort - Rural,232581,720,Logistic Regression
0.25824785232543945,0.8054790255060873,0.44793477343919885,0.4696175716356339,0.7954726229120537,0.3898916967509025,0.5903293622985284,0.8326392768269768,0.10661408220738973,4212,32791,6591,2923,Texas Cohort - Rural,232581,720,Standard MLP
0.2474052608013153,0.819375495412533,0.4757191993438683,0.48185086396845644,0.8078981877593138,0.4109385817426565,0.5823405746320953,0.8487633944441623,0.10362557921971925,4155,33426,5956,2980,Texas Cohort - Rural,232581,720,HIR-M3 Transformer
0.2990623257228936,0.8269414486044853,0.4839508450172635,0.4869993394583559,0.8163467119547693,0.4260348812775793,0.5683251576734408,0.8612818038697883,0.10373485805409587,4055,33919,5463,3080,Texas Cohort - Rural,232581,720,Weighted Ensemble
