Cohort,Setting,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Nationwide Cohort (Rural),Rural,339307,2075,Standard MLP,Precision,0.2443843439293446,0.23905141871520455,0.25060039405192924,0.2444 (0.2391 - 0.2506)
Nationwide Cohort (Rural),Rural,339307,2075,Standard MLP,Recall_Sensitivity,0.5420698067080897,0.5319429108829491,0.551038120755355,0.5421 (0.5319 - 0.5510)
Nationwide Cohort (Rural),Rural,339307,2075,Standard MLP,Specificity,0.7522423873658114,0.7485086972819172,0.7554106306482391,0.7522 (0.7485 - 0.7554)
Nationwide Cohort (Rural),Rural,339307,2075,Standard MLP,Brier_Score,0.21263279397306584,0.2115652484679856,0.21381064838152822,0.2126 (0.2116 - 0.2138)
Nationwide Cohort (Rural),Rural,339307,2075,Standard Transformer,ROC_AUC,0.5923912425120545,0.586928833540239,0.5979105683816648,0.5924 (0.5869 - 0.5979)
Nationwide Cohort (Rural),Rural,339307,2075,Standard Transformer,PR_AUC,0.1734984659420609,0.16919580260865827,0.17923427738484912,0.1735 (0.1692 - 0.1792)
Nationwide Cohort (Rural),Rural,339307,2075,Standard Transformer,F1_Score,0.24813270731550005,0.24305546601857822,0.2532529075378528,0.2481 (0.2431 - 0.2533)
Nationwide Cohort (Rural),Rural,339307,2075,Standard Transformer,Accuracy,0.5926823553682473,0.5892240871179748,0.5965956647313666,0.5927 (0.5892 - 0.5966)
Nationwide Cohort (Rural),Rural,339307,2075,Standard Transformer,Precision,0.16276011260545908,0.1590403675564089,0.16665588460400552,0.1628 (0.1590 - 0.1667)
Nationwide Cohort (Rural),Rural,339307,2075,Standard Transformer,Recall_Sensitivity,0.5219046785234763,0.513335864199466,0.5316456727655446,0.5219 (0.5133 - 0.5316)
Nationwide Cohort (Rural),Rural,339307,2075,Standard Transformer,Specificity,0.6031447584638316,0.5994463777145618,0.606886208047031,0.6031 (0.5994 - 0.6069)
Nationwide Cohort (Rural),Rural,339307,2075,Standard Transformer,Brier_Score,0.24603862602507295,0.2455635484936326,0.24649289632507404,0.2460 (0.2456 - 0.2465)
Nationwide Cohort (Rural),Rural,339307,2075,SAINT Transformer,ROC_AUC,0.5873697138031122,0.582159449185338,0.592748831266156,0.5874 (0.5822 - 0.5927)
Nationwide Cohort (Rural),Rural,339307,2075,SAINT Transformer,PR_AUC,0.17142090423489115,0.167012051977038,0.17582522587390828,0.1714 (0.1670 - 0.1758)
Nationwide Cohort (Rural),Rural,339307,2075,SAINT Transformer,F1_Score,0.1745954657353041,0.1676116318181197,0.18072709538455684,0.1746 (0.1676 - 0.1807)
Nationwide Cohort (Rural),Rural,339307,2075,SAINT Transformer,Accuracy,0.8126256962659515,0.8098051928914561,0.8158033951254016,0.8126 (0.8098 - 0.8158)
Nationwide Cohort (Rural),Rural,339307,2075,SAINT Transformer,Precision,0.20176401680294398,0.19325219258841236,0.20910284304567295,0.2018 (0.1933 - 0.2091)
Nationwide Cohort (Rural),Rural,339307,2075,SAINT Transformer,Recall_Sensitivity,0.1538887794835645,0.14661349941324242,0.1600244822418366,0.1539 (0.1466 - 0.1600)
Nationwide Cohort (Rural),Rural,339307,2075,SAINT Transformer,Specificity,0.9100017996346554,0.9077926693957248,0.9122873073075254,0.9100 (0.9078 - 0.9123)
Nationwide Cohort (Rural),Rural,339307,2075,SAINT Transformer,Brier_Score,0.19909778382703716,0.19842683912071574,0.19969985652848296,0.1991 (0.1984 - 0.1997)
Nationwide Cohort (Rural),Rural,339307,2075,HIR-M3 Transformer,ROC_AUC,0.5935162170335445,0.5882210925621874,0.5988068522722936,0.5935 (0.5882 - 0.5988)
Nationwide Cohort (Rural),Rural,339307,2075,HIR-M3 Transformer,PR_AUC,0.17385259561606803,0.16906186630474357,0.17963766627633518,0.1739 (0.1691 - 0.1796)
Nationwide Cohort (Rural),Rural,339307,2075,HIR-M3 Transformer,F1_Score,0.24544136768197305,0.23957459970948738,0.2511821615480587,0.2454 (0.2396 - 0.2512)
Nationwide Cohort (Rural),Rural,339307,2075,HIR-M3 Transformer,Accuracy,0.7026649671391942,0.699679865020188,0.7057591140844656,0.7027 (0.6997 - 0.7058)
Nationwide Cohort (Rural),Rural,339307,2075,HIR-M3 Transformer,Precision,0.18230376011747432,0.17749780262965031,0.18676684630403917,0.1823 (0.1775 - 0.1868)
Nationwide Cohort (Rural),Rural,339307,2075,HIR-M3 Transformer,Recall_Sensitivity,0.37550927969853176,0.36752179245498656,0.3851904647893692,0.3755 (0.3675 - 0.3852)
Nationwide Cohort (Rural),Rural,339307,2075,HIR-M3 Transformer,Specificity,0.7510261453519366,0.7479732934651377,0.7543937761982673,0.7510 (0.7480 - 0.7544)
Nationwide Cohort (Rural),Rural,339307,2075,HIR-M3 Transformer,Brier_Score,0.2411710057258707,0.2406155362574736,0.24169026257218265,0.2412 (0.2406 - 0.2417)
Texas Cohort (Urban),Urban,62449,756,Standard MLP,ROC_AUC,0.6960965572416997,0.6824629098493931,0.7084538075815142,0.6961 (0.6825 - 0.7085)
Texas Cohort (Urban),Urban,62449,756,Standard MLP,PR_AUC,0.31388767677683843,0.29172773791311657,0.3378953640380906,0.3139 (0.2917 - 0.3379)
Texas Cohort (Urban),Urban,62449,756,Standard MLP,F1_Score,0.35107236584426615,0.3329849126844219,0.3700677265517041,0.3511 (0.3330 - 0.3701)
Texas Cohort (Urban),Urban,62449,756,Standard MLP,Accuracy,0.7465248198558847,0.7384227381905525,0.7535028022417934,0.7465 (0.7384 - 0.7535)
Texas Cohort (Urban),Urban,62449,756,Standard MLP,Precision,0.2816802359400134,0.2662720340073931,0.2985480742724373,0.2817 (0.2663 - 0.2985)
Texas Cohort (Urban),Urban,62449,756,Standard MLP,Recall_Sensitivity,0.465992113763167,0.43981089335086876,0.4902773645321942,0.4660 (0.4398 - 0.4903)
Texas Cohort (Urban),Urban,62449,756,Standard MLP,Specificity,0.7949360029791941,0.7877545096578804,0.8022147255152227,0.7949 (0.7878 - 0.8022)
Texas Cohort (Urban),Urban,62449,756,Standard MLP,Brier_Score,0.21739303163116894,0.21439933963588995,0.219838427782943,0.2174 (0.2144 - 0.2198)
Texas Cohort (Urban),Urban,62449,756,Standard Transformer,ROC_AUC,0.6589660510175464,0.6461368753103683,0.6724220448508578,0.6590 (0.6461 - 0.6724)
Texas Cohort (Urban),Urban,62449,756,Standard Transformer,PR_AUC,0.27826418912289325,0.2593151358698942,0.29821591218286314,0.2783 (0.2593 - 0.2982)
Texas Cohort (Urban),Urban,62449,756,Standard Transformer,F1_Score,0.3123014068132903,0.2999924280844248,0.32519344626872776,0.3123 (0.3000 - 0.3252)
Texas Cohort (Urban),Urban,62449,756,Standard Transformer,Accuracy,0.6023823058446758,0.5951941553242593,0.6114671737389913,0.6024 (0.5952 - 0.6115)
Texas Cohort (Urban),Urban,62449,756,Standard Transformer,Precision,0.20948589423847047,0.19971187620973607,0.22024011139121788,0.2095 (0.1997 - 0.2202)
Texas Cohort (Urban),Urban,62449,756,Standard Transformer,Recall_Sensitivity,0.6135462658324106,0.5932645009919467,0.6367918350511642,0.6135 (0.5933 - 0.6368)
Texas Cohort (Urban),Urban,62449,756,Standard Transformer,Specificity,0.6004539109464714,0.5920373302315871,0.610839350288671,0.6005 (0.5920 - 0.6108)
Texas Cohort (Urban),Urban,62449,756,Standard Transformer,Brier_Score,0.21808858038647397,0.21618366123420965,0.21990660245524749,0.2181 (0.2162 - 0.2199)
Texas Cohort (Urban),Urban,62449,756,SAINT Transformer,ROC_AUC,0.654652692651074,0.6416551924977111,0.6676458308030986,0.6547 (0.6417 - 0.6676)
Texas Cohort (Urban),Urban,62449,756,SAINT Transformer,PR_AUC,0.27539518636580346,0.2572026949899037,0.2973464138720083,0.2754 (0.2572 - 0.2973)
