Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,Recall_Sensitivity,Specificity,Brier_Score,TP,TN,FP,FN,Cohort,Setting,Cohort Size,Num Features,Model
0.6024446487426758,0.705667362752669,0.28541229206304114,0.33983309923159544,0.764522118416787,0.2659553831231814,0.4705411280173893,0.4705411280173893,0.8079870096919877,0.2166469621317331,4113,47769,11352,4628,Nationwide Cohort (Urban),Urban,339307,2075,Standard MLP
0.49601051211357117,0.593812868611727,0.17386938497243543,0.24834496332080871,0.5047596593085969,0.15434655694865307,0.6351676009609885,0.6351676009609885,0.48547893303563877,0.24504892291974903,5552,28702,30419,3189,Nationwide Cohort (Urban),Urban,339307,2075,Standard Transformer
0.5118211507797241,0.5934805374269795,0.1745463448285736,0.22708847373986607,0.741504818602458,0.18466499462558222,0.29481752659878735,0.29481752659878735,0.8075472336394851,0.20742541488039473,2577,47743,11378,6164,Nationwide Cohort (Urban),Urban,339307,2075,SAINT Transformer
0.49448806047439575,0.5925882873801067,0.17166384739621096,0.240395052668593,0.2678524063540715,0.13873791204912825,0.8994394234069328,0.8994394234069328,0.17447269159858594,0.2793888970810309,7862,10315,48806,879,Nationwide Cohort (Urban),Urban,339307,2075,HIR-M3 Transformer
0.5466399192810059,0.7081043700617121,0.2838107494437139,0.3362825569413353,0.7247502284047037,0.2438923822286362,0.5413568241619952,0.5413568241619952,0.7518648196072462,0.21276768521439607,4732,44451,14670,4009,Nationwide Cohort (Rural),Rural,339307,2075,Standard MLP
0.4947725236415863,0.5925357753337084,0.17344227314429428,0.2483137510879025,0.5927323096873066,0.16287865272772684,0.5222514586431758,0.5222514586431758,0.6031528560071717,0.24604307666345743,4565,35659,23462,4176,Nationwide Cohort (Rural),Rural,339307,2075,Standard Transformer
0.5268459320068359,0.5875388565583848,0.17134261744416038,0.1749399779378366,0.8126344640594146,0.20209895052473764,0.15421576478663768,0.15421576478663768,0.9099812249454509,0.1991013239279162,1348,53799,5322,7393,Nationwide Cohort (Rural),Rural,339307,2075,SAINT Transformer
0.5418808460235596,0.593514260892676,0.17376197089016449,0.24531758196568096,0.7025286611063629,0.1821968014215904,0.37535751058231326,0.37535751058231326,0.7509006951844522,0.24117497512716327,3281,44394,14727,5460,Nationwide Cohort (Rural),Rural,339307,2075,HIR-M3 Transformer
0.5865386128425598,0.6962656175041195,0.31372483351546276,0.35137351373513737,0.7466773418734988,0.28172255095332016,0.46677559912854033,0.46677559912854033,0.7949127088417496,0.21741825811937465,857,8469,2185,979,Texas Cohort (Urban),Urban,62449,756,Standard MLP
0.4638659656047821,0.6598618130271527,0.27812638371414816,0.3128460686600221,0.6025620496397117,0.2097253155159614,0.6154684095860566,0.6154684095860566,0.6003379012577436,0.21804799111314008,1130,6396,4258,706,Texas Cohort (Urban),Urban,62449,756,Standard Transformer
0.2556074857711792,0.6553682722906655,0.2749092817342602,0.2593721210403232,0.1632506004803843,0.14908350305498982,0.9967320261437909,0.9967320261437909,0.019617045241223954,0.29145343300349974,1830,209,10445,6,Texas Cohort (Urban),Urban,62449,756,SAINT Transformer
0.4579559564590454,0.6532368605202339,0.27102826158542836,0.2875508082049343,0.3965572457966373,0.17396774562507147,0.8284313725490197,0.8284313725490197,0.32213253238220385,0.2286081711976285,1521,3432,7222,315,Texas Cohort (Urban),Urban,62449,756,HIR-M3 Transformer
0.5100633502006531,0.6917787994158097,0.310230401581319,0.3482157145143223,0.6738991192954363,0.2465443009290732,0.5925925925925926,0.5925925925925926,0.687910643889619,0.21239579435324538,1088,7329,3325,748,Texas Cohort (Rural),Rural,62449,756,Standard MLP
0.4955538213253021,0.6596630731428212,0.2785598001053612,0.31843926998112015,0.6531625300240192,0.22389380530973452,0.55119825708061,0.55119825708061,0.6707339966209874,0.2242987283470206,1012,7146,3508,824,Texas Cohort (Rural),Rural,62449,756,Standard Transformer
0.3973231017589569,0.6580166122515586,0.2758301399203956,0.2717256362507759,0.24851881505204163,0.15843286283025695,0.9537037037037037,0.9537037037037037,0.12699455603529192,0.2557469360455971,1751,1353,9301,85,Texas Cohort (Rural),Rural,62449,756,SAINT Transformer
0.4725327789783478,0.6588794373056566,0.2785735153430462,0.3209585543115302,0.7232185748598879,0.25099846390168973,0.44498910675381265,0.44498910675381265,0.7711657593392153,0.20596568127416354,817,8216,2438,1019,Texas Cohort (Rural),Rural,62449,756,HIR-M3 Transformer
