Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,Recall_Sensitivity,Specificity,Brier_Score,TP,TN,FP,FN,Cohort,Setting,Cohort Size,Num Features,Model
0.5397375961327743,0.7134548346115661,0.29022453240509666,0.3321331564651633,0.7644582070932098,0.2541324311261479,0.479219832300401,0.479219832300401,0.8041723770366986,0.18817092492381504,2629,31686,7716,2857,Nationwide Cohort - Urban,Urban,224440,2075,LightGBM
0.54509437084198,0.7162900274340175,0.29374372787338376,0.33912037037037035,0.7710301194083051,0.26197099145638786,0.48067808968282905,0.48067808968282905,0.8114562712552662,0.19620658522027495,2637,31973,7429,2849,Nationwide Cohort - Urban,Urban,224440,2075,XGBoost
0.5619763817504962,0.7215997833302366,0.295783490590219,0.3374233128834356,0.7738371056852611,0.2628100854005693,0.471199416697047,0.471199416697047,0.81597380843612,0.20692757930868588,2585,32151,7251,2901,Nationwide Cohort - Urban,Urban,224440,2075,CatBoost
0.39763614757656174,0.6631677159017653,0.22156625129671437,0.28546606704824207,0.6885136339333452,0.19833830421815082,0.509114108640175,0.509114108640175,0.7134917009288868,0.1560003675933228,2793,28113,11289,2693,Nationwide Cohort - Urban,Urban,224440,2075,Random Forest
0.5630472517684536,0.7113410377598617,0.27224441383544584,0.33041186161449754,0.7736366066654785,0.2587470327175147,0.45698140721837405,0.45698140721837405,0.8177249885792599,0.21420571221553128,2507,32220,7182,2979,Nationwide Cohort - Urban,Urban,224440,2075,Gradient Boosting
0.5875245933689096,0.7130304532898069,0.2750452885454496,0.3325769854132901,0.7706513990376047,0.258074252942952,0.467553773240977,0.467553773240977,0.8128521394853053,0.21067305736690783,2565,32028,7374,2921,Nationwide Cohort - Urban,Urban,224440,2075,Logistic Regression
0.5247106357399623,0.7013957768915168,0.3167238629227978,0.3531131960521506,0.7689126839035432,0.2926681478489194,0.44502457002457,0.44502457002457,0.8223957805051222,0.17787739130192495,1449,16216,3502,1807,Nationwide Cohort - Rural,Rural,114867,2075,LightGBM
0.510534405708313,0.7037234839243156,0.3192422702013581,0.35577758470894877,0.741795072690868,0.2752016129032258,0.5030712530712531,0.5030712530712531,0.7812151333806674,0.18996614191701963,1638,15404,4314,1618,Nationwide Cohort - Rural,Rural,114867,2075,XGBoost
0.543256326549045,0.7131011326036176,0.3299601973262249,0.36265502985760223,0.7584225646382867,0.2896184886280264,0.48495085995085996,0.48495085995085996,0.8035804848361903,0.20222789952950165,1579,15845,3873,1677,Nationwide Cohort - Rural,Rural,114867,2075,CatBoost
0.3410129670744859,0.6621849185306432,0.2485068621241797,0.3023111417730252,0.5598067380517107,0.19494616958804165,0.672911547911548,0.672911547911548,0.5411299320417893,0.15512174655528915,2191,10670,9048,1065,Nationwide Cohort - Rural,Rural,114867,2075,Random Forest
0.5180018106271972,0.7086466474589002,0.31606576197817055,0.35447249951066745,0.7128928353791242,0.26012640045963803,0.5562039312039312,0.5562039312039312,0.7387666091895729,0.21026264586650417,1811,14567,5151,1445,Nationwide Cohort - Rural,Rural,114867,2075,Gradient Boosting
0.5328355888421215,0.6971675626331271,0.29755632946478267,0.3475325191142885,0.7139810220248977,0.25678650036683787,0.5374692874692875,0.5374692874692875,0.7431281062988133,0.21102370478587654,1750,14653,5065,1506,Nationwide Cohort - Rural,Rural,114867,2075,Logistic Regression
