Cohort,Setting,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Nationwide Cohort - Urban,Urban,224440,2075,Gradient Boosting,PR_AUC,0.2722728940285055,0.2609762232783871,0.28388452696211125,0.2723 (0.2610 - 0.2839)
Nationwide Cohort - Urban,Urban,224440,2075,Gradient Boosting,F1_Score,0.3301493194437757,0.3185506379585327,0.3392656547044402,0.3301 (0.3186 - 0.3393)
Nationwide Cohort - Urban,Urban,224440,2075,Gradient Boosting,Accuracy,0.7735824719301373,0.7691805159508109,0.7772077169844948,0.7736 (0.7692 - 0.7772)
Nationwide Cohort - Urban,Urban,224440,2075,Gradient Boosting,Precision,0.25854907064642463,0.2480297071946795,0.26711123708915224,0.2585 (0.2480 - 0.2671)
Nationwide Cohort - Urban,Urban,224440,2075,Gradient Boosting,Recall_Sensitivity,0.4566461185581811,0.44269740771011845,0.47098244824316515,0.4566 (0.4427 - 0.4710)
Nationwide Cohort - Urban,Urban,224440,2075,Gradient Boosting,Specificity,0.8177017299272742,0.8139551833331858,0.8215206831170675,0.8177 (0.8140 - 0.8215)
Nationwide Cohort - Urban,Urban,224440,2075,Gradient Boosting,Brier_Score,0.21424847394131372,0.21298477689517384,0.2155983569123214,0.2142 (0.2130 - 0.2156)
Nationwide Cohort - Urban,Urban,224440,2075,Logistic Regression,ROC_AUC,0.7127530603907019,0.7050128539783281,0.7198391856581208,0.7128 (0.7050 - 0.7198)
Nationwide Cohort - Urban,Urban,224440,2075,Logistic Regression,PR_AUC,0.27492220898836417,0.2636533899793821,0.2851816537215564,0.2749 (0.2637 - 0.2852)
Nationwide Cohort - Urban,Urban,224440,2075,Logistic Regression,F1_Score,0.33199853768043974,0.3227276744328399,0.34148276236965336,0.3320 (0.3227 - 0.3415)
Nationwide Cohort - Urban,Urban,224440,2075,Logistic Regression,Accuracy,0.7704966806273393,0.7666180270896453,0.7744391596863305,0.7705 (0.7666 - 0.7744)
Nationwide Cohort - Urban,Urban,224440,2075,Logistic Regression,Precision,0.25763876274223557,0.2492156205912015,0.26642750774666013,0.2576 (0.2492 - 0.2664)
Nationwide Cohort - Urban,Urban,224440,2075,Logistic Regression,Recall_Sensitivity,0.46675342294925243,0.4535775556049522,0.480177562564765,0.4668 (0.4536 - 0.4802)
Nationwide Cohort - Urban,Urban,224440,2075,Logistic Regression,Specificity,0.8127793058172699,0.8089110446376486,0.8166956500566351,0.8128 (0.8089 - 0.8167)
Nationwide Cohort - Urban,Urban,224440,2075,Logistic Regression,Brier_Score,0.21072931846655119,0.20889288599742942,0.21256409236655224,0.2107 (0.2089 - 0.2126)
Nationwide Cohort - Rural,Rural,114867,2075,LightGBM,ROC_AUC,0.7012737890475594,0.6912199066873039,0.7109490432199753,0.7013 (0.6912 - 0.7109)
Nationwide Cohort - Rural,Rural,114867,2075,LightGBM,PR_AUC,0.31675513804752886,0.3015914178987832,0.33488997157530026,0.3168 (0.3016 - 0.3349)
Nationwide Cohort - Rural,Rural,114867,2075,LightGBM,F1_Score,0.3529643836503476,0.33994440474527987,0.36553357067985803,0.3530 (0.3399 - 0.3655)
