Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,Recall_Sensitivity,Specificity,Brier_Score,TP,TN,FP,FN,Cohort,Subgroup,Cohort Size,Num Features,Model
0.40508515927377736,0.6255529121508503,0.3481281369310749,0.4135290363752393,0.5418743768693918,0.29944547134935307,0.668041237113402,0.668041237113402,0.5016436554898094,0.20711758511578152,324,763,758,161,Texas Cohort,Diabetes (d),10030,756,Random Forest
0.40465482133811187,0.6318957278513186,0.3609497073727383,0.4251968503937008,0.5633100697906281,0.31183830606352264,0.668041237113402,0.668041237113402,0.5299145299145299,0.23830331353418083,324,806,715,161,Texas Cohort,Diabetes (d),10030,756,Logistic Regression
0.45491341699292237,0.6655727037963359,0.395645895677305,0.4234930448222565,0.6281156530408774,0.33868974042027195,0.5649484536082474,0.5649484536082474,0.6482577251808022,0.20659852095602238,274,986,535,211,Texas Cohort,Diabetes (d),10030,756,Gradient Boosting
0.3909518849128926,0.6538725878932065,0.3854581192126322,0.43001443001442996,0.6061814556331007,0.33074361820199777,0.6144329896907217,0.6144329896907217,0.6035502958579881,0.19983077205111904,298,918,603,187,Texas Cohort,Diabetes (d),10030,756,CatBoost
0.11915103038928998,0.6290096721500369,0.3428145319287591,0.4295140971805639,0.5259222333000997,0.30287648054145516,0.7381443298969073,0.7381443298969073,0.45825115055884286,0.19739743559654838,358,697,824,127,Texas Cohort,Diabetes (d),10030,756,LightGBM
0.30464088916778564,0.6238746890610491,0.34946358201115835,0.4101198402130492,0.5583250249252243,0.3028515240904621,0.6350515463917525,0.6350515463917525,0.5338593030900723,0.20117364601693158,308,812,709,177,Texas Cohort,Diabetes (d),10030,756,XGBoost
0.33712005615234375,0.6344035733409247,0.3434437135373011,0.4160177975528365,0.4765702891326022,0.28484386900228487,0.7711340206185567,0.7711340206185567,0.3826429980276134,0.22914378113435785,374,582,939,111,Texas Cohort,Diabetes (d),10030,756,Standard MLP
0.4802452027797699,0.5157635033923693,0.24952940601260168,0.38940184664793254,0.24177467597208374,0.24177467597208374,1.0,1.0,0.0,0.24711322617076298,485,0,1521,0,Texas Cohort,Diabetes (d),10030,756,Standard Transformer
0.48080363869667053,0.5955645024637888,0.3078937876774363,0.008130081300813009,0.7567298105682951,0.2857142857142857,0.004123711340206186,0.004123711340206186,0.9967126890203813,0.19530045050667755,2,1516,5,483,Texas Cohort,Diabetes (d),10030,756,SAINT Transformer
0.5090730786323547,0.5665717752157086,0.28941420917047034,0.012219959266802444,0.7582253240279162,0.5,0.006185567010309278,0.006185567010309278,0.9980276134122288,0.24131486223210097,3,1518,3,482,Texas Cohort,Diabetes (d),10030,756,HIR-M3 Transformer
