Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,Recall_Sensitivity,Specificity,Brier_Score,TP,TN,FP,FN,Cohort,Subgroup,Cohort Size,Num Features,Model
0.2918190810720261,0.6329259752912396,0.3425012626604487,0.4139508290451686,0.4956329191782507,0.28515163450177233,0.7549530761209593,0.7549530761209593,0.4155530510384801,0.18183043215019337,1448,2581,3630,470,Nationwide Cohort,Diabetes (d),40643,2075,Random Forest
0.3711678829914094,0.6565991180167582,0.3865478877727119,0.4233161542562644,0.6008119079837618,0.3211108115394985,0.6209593326381647,0.6209593326381647,0.5945902431170504,0.19362475380703395,1191,3693,2518,727,Nationwide Cohort,Diabetes (d),40643,2075,LightGBM
0.4072557844075104,0.6771329215262571,0.4118952046579124,0.4324566646742379,0.5327838602534137,0.3031001256807708,0.7544316996871742,0.7544316996871742,0.4643374657865078,0.21330761641603704,1447,2884,3327,471,Nationwide Cohort,Diabetes (d),40643,2075,CatBoost
0.43721907478882555,0.6730348574269237,0.3925708227006003,0.43222545565936593,0.543978349120433,0.30600737367165476,0.7356621480709072,0.7356621480709072,0.48478505876670425,0.21994518384237854,1411,3011,3200,507,Nationwide Cohort,Diabetes (d),40643,2075,Gradient Boosting
0.4222626180497633,0.6394853625937633,0.36300655522528313,0.42397710052197346,0.5791610284167794,0.3131061924894305,0.6564129301355579,0.6564129301355579,0.5553051038480116,0.2323000093235875,1259,3449,2762,659,Nationwide Cohort,Diabetes (d),40643,2075,Logistic Regression
0.37808021903038025,0.670375720092963,0.40324407605345625,0.433064883756268,0.5410259564522082,0.3055972549860605,0.7429614181438999,0.7429614181438999,0.47866688133955887,0.20402853123355846,1425,2973,3238,493,Nationwide Cohort,Diabetes (d),40643,2075,XGBoost
0.444335401058197,0.6376142079653156,0.3350716613373762,0.41748223622469494,0.4654939106901218,0.2809962100703844,0.8117831074035453,0.8117831074035453,0.3585573981645468,0.2457998818976497,1557,2227,3984,361,Nationwide Cohort,Diabetes (d),40643,2075,Standard MLP
0.4780304431915283,0.5455909316260683,0.27150007138599314,0.3839588688946015,0.26300898019436586,0.23914435762776995,0.9734098018769551,0.9734098018769551,0.04363226533569473,0.2480095174015377,1867,271,5940,51,Nationwide Cohort,Diabetes (d),40643,2075,Standard Transformer
0.3506743907928467,0.5562041864907513,0.2767773908951181,0.3813362894286002,0.24480255874031245,0.2363522798251093,0.986444212721585,0.986444212721585,0.015778457575269682,0.2744264251084643,1892,98,6113,26,Nationwide Cohort,Diabetes (d),40643,2075,SAINT Transformer
0.5042633414268494,0.53324700248424,0.25783080407250236,0.14440993788819875,0.7288719399680157,0.2826747720364742,0.09697601668404589,0.09697601668404589,0.9240057961680889,0.2496375624783526,186,5739,472,1732,Nationwide Cohort,Diabetes (d),40643,2075,HIR-M3 Transformer
0.3331032564046612,0.6454315266254211,0.46548206867686726,0.5016307893020221,0.5156126168964971,0.37293889427740057,0.7659362549800797,0.7659362549800797,0.3987444780283655,0.20737471091092305,1538,1715,2586,470,Nationwide Cohort,Heart Failure (hf),31542,2075,Random Forest
0.3139454350913811,0.6650797414851174,0.47950643945668425,0.5133546111204434,0.5408147091456649,0.3873257287705957,0.7609561752988048,0.7609561752988048,0.43803766565914903,0.21271098822281112,1528,1884,2417,480,Nationwide Cohort,Heart Failure (hf),31542,2075,LightGBM
0.4431427071853419,0.6808515762571662,0.506736296621417,0.5193060996082821,0.5915359010936757,0.4151506113927826,0.6932270916334662,0.6932270916334662,0.5440595210416183,0.22072708317975387,1392,2340,1961,616,Nationwide Cohort,Heart Failure (hf),31542,2075,Gradient Boosting
0.419273768682218,0.6784343676213537,0.5008475989887069,0.5161406025824964,0.5723569503883341,0.40330717488789236,0.7166334661354582,0.7166334661354582,0.5049988374796559,0.21861156276452748,1439,2172,2129,569,Nationwide Cohort,Heart Failure (hf),31542,2075,CatBoost
0.34366846793819206,0.6464710791801407,0.45967345336721593,0.501127940702546,0.5092724679029957,0.3704144830871844,0.774402390438247,0.774402390438247,0.38549174610555687,0.24032395973704118,1555,1658,2643,453,Nationwide Cohort,Heart Failure (hf),31542,2075,Logistic Regression
