Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,Recall_Sensitivity,Specificity,Brier_Score,TP,TN,FP,FN,Cohort,Subgroup,Cohort Size,Num Features,Model
0.3705595893882511,0.6360144580025221,0.5168715727448416,0.5836985100788782,0.5108135942327497,0.4393139841688654,0.8694516971279374,0.8694516971279374,0.27721088435374147,0.2287763997017401,333,163,425,50,Texas Cohort,Heart Failure (hf),4852,756,Random Forest
0.10646268318409378,0.6008374629225058,0.515544606582175,0.5636509207365893,0.4387229660144181,0.4064665127020785,0.9190600522193212,0.9190600522193212,0.12585034013605442,0.2731006363222487,352,74,514,31,Texas Cohort,Heart Failure (hf),4852,756,Logistic Regression
0.4131341410057486,0.6463384309337312,0.5563415906997732,0.5539803707742639,0.5787847579814624,0.4756554307116105,0.6631853785900783,0.6631853785900783,0.5238095238095238,0.22733454814602994,254,308,280,129,Texas Cohort,Heart Failure (hf),4852,756,Gradient Boosting
0.0879862356693041,0.6238343901529281,0.5231922383858247,0.5564892623716152,0.5108135942327497,0.4331395348837209,0.7780678851174935,0.7780678851174935,0.336734693877551,0.27087672596627893,298,198,390,85,Texas Cohort,Heart Failure (hf),4852,756,LightGBM
0.33881950706248,0.6495355322285573,0.5401951924375593,0.5677546983184966,0.5499485066941298,0.4570063694267516,0.7493472584856397,0.7493472584856397,0.4200680272108844,0.22868756885749583,287,247,341,96,Texas Cohort,Heart Failure (hf),4852,756,CatBoost
0.23369444906711578,0.6344070265181792,0.5471722090762954,0.5616438356164384,0.5386199794026777,0.4491392801251956,0.7493472584856397,0.7493472584856397,0.4013605442176871,0.2422371615292521,287,236,352,96,Texas Cohort,Heart Failure (hf),4852,756,XGBoost
0.3694049119949341,0.6252819665725297,0.53890722002084,0.5630914826498423,0.4294541709577755,0.4033898305084746,0.9321148825065274,0.9321148825065274,0.10204081632653061,0.2379027716863806,357,60,528,26,Texas Cohort,Heart Failure (hf),4852,756,Standard MLP
0.4561344385147095,0.5660889682243655,0.462328144919933,0.5657311669128507,0.3944387229660144,0.3944387229660144,1.0,1.0,0.0,0.26016485758232527,383,0,588,0,Texas Cohort,Heart Failure (hf),4852,756,Standard Transformer
0.44445663690567017,0.6293072059110851,0.5299013722593231,0.5648628613787992,0.39546858908341914,0.3944099378881988,0.9947780678851175,0.9947780678851175,0.00510204081632653,0.2441096292964881,381,3,585,2,Texas Cohort,Heart Failure (hf),4852,756,SAINT Transformer
0.448842853307724,0.4582067814070797,0.40012627507914394,0.5646711012564671,0.39340885684860966,0.3938144329896907,0.9973890339425587,0.9973890339425587,0.0,0.248641883624072,382,0,588,1,Texas Cohort,Heart Failure (hf),4852,756,HIR-M3 Transformer
