Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,Recall_Sensitivity,Specificity,Brier_Score,TP,TN,FP,FN,Cohort,Subgroup,Cohort Size,Num Features,Model
0.25637658879642156,0.5884716114262907,0.49944415086659694,0.5949207945687705,0.4482876712328767,0.42924528301886794,0.9688779688779688,0.9688779688779688,0.07416127133608005,0.23911786246025668,1183,126,1573,38,Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Random Forest
0.16773127964996015,0.6044592401272801,0.5189429104663172,0.5972258571054698,0.47294520547945207,0.43884615384615383,0.9344799344799345,0.9344799344799345,0.14125956444967627,0.2526599586815425,1141,240,1459,80,Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,LightGBM
3.0868146264377057e-06,0.5900970797969033,0.5006240622109923,0.5891172914147521,0.41815068493150687,0.4179821551132464,0.9975429975429976,0.9975429975429976,0.0017657445556209534,0.280773581984811,1218,3,1696,3,Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Logistic Regression
0.39845918166411953,0.6279031988272719,0.5455204675417,0.5899322931998823,0.522945205479452,0.46047794117647056,0.8206388206388207,0.8206388206388207,0.3090052972336669,0.2356658996071027,1002,525,1174,219,Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Gradient Boosting
0.34186810365097214,0.6176967807338614,0.5315356535684301,0.5940265486725664,0.49726027397260275,0.44843423799582466,0.8796068796068796,0.8796068796068796,0.22248381400824013,0.2382359176882537,1074,378,1321,147,Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,CatBoost
0.32883039116859436,0.6137177093622062,0.5213732248566034,0.5946872322193658,0.5140410958904109,0.45657894736842103,0.8525798525798526,0.8525798525798526,0.2707474985285462,0.2425548545998788,1041,460,1239,180,Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,XGBoost
0.33388271927833557,0.5978175725085672,0.5045352212746257,0.5908975336892958,0.448972602739726,0.4284660766961652,0.9516789516789517,0.9516789516789517,0.08769864626250735,0.24015405418194524,1162,149,1550,59,Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Standard MLP
0.4493580162525177,0.541683719141047,0.47269701741673575,0.5897126297995653,0.41815068493150687,0.41815068493150687,1.0,1.0,0.0,0.2495462312069432,1221,0,1699,0,Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,Standard Transformer
0.24483001232147217,0.5761878042631428,0.49464043467397767,0.5897126297995653,0.41815068493150687,0.41815068493150687,1.0,1.0,0.0,0.2502356430077048,1221,0,1699,0,Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,SAINT Transformer
0.47772151231765747,0.5717148739514837,0.48322310502157506,0.5882065084413995,0.42363013698630136,0.41939986043265876,0.9844389844389845,0.9844389844389845,0.020600353148911125,0.24758572899384942,1202,35,1664,19,Nationwide Cohort,Diabetes + Heart Failure (d+hf),14596,2075,HIR-M3 Transformer
