Cohort,Subgroup,Cohort Size,Num Features,Model,Accuracy_Formatted,Brier_Score_Formatted,F1_Score_Formatted,PR_AUC_Formatted,Precision_Formatted,ROC_AUC_Formatted,Recall_Sensitivity_Formatted,Specificity_Formatted
Nationwide Cohort,D + HF,14596,2077,Gradient Boosting,0.6484 (0.6332 - 0.6671),0.2097 (0.2047 - 0.2149),0.6579 (0.6396 - 0.6781),0.6263 (0.6004 - 0.6582),0.5546 (0.5313 - 0.5824),0.7310 (0.7107 - 0.7479),0.8086 (0.7890 - 0.8291),0.5333 (0.5110 - 0.5596)
Nationwide Cohort,D + HF,14596,2077,HIR-M3 Transformer,0.5823 (0.5640 - 0.6003),0.2536 (0.2528 - 0.2544),0.0701 (0.0505 - 0.0906),0.4714 (0.4465 - 0.4965),0.5065 (0.4102 - 0.6079),0.5513 (0.5272 - 0.5717),0.0377 (0.0269 - 0.0492),0.9737 (0.9655 - 0.9812)
Nationwide Cohort,D + HF,14596,2077,LightGBM,0.6245 (0.6051 - 0.6425),0.2167 (0.2088 - 0.2263),0.6577 (0.6382 - 0.6801),0.6238 (0.5936 - 0.6532),0.5314 (0.5095 - 0.5550),0.7273 (0.7081 - 0.7442),0.8630 (0.8426 - 0.8847),0.4532 (0.4309 - 0.4789)
Nationwide Cohort,D + HF,14596,2077,Logistic Regression,0.5193 (0.5037 - 0.5339),0.2589 (0.2484 - 0.2691),0.6136 (0.5959 - 0.6299),0.5524 (0.5222 - 0.5790),0.4621 (0.4435 - 0.4802),0.6627 (0.6430 - 0.6825),0.9128 (0.8969 - 0.9279),0.2365 (0.2190 - 0.2551)
Nationwide Cohort,D + HF,14596,2077,Random Forest,0.6076 (0.5873 - 0.6264),0.2207 (0.2167 - 0.2255),0.6280 (0.6065 - 0.6483),0.5723 (0.5393 - 0.6000),0.5202 (0.4963 - 0.5429),0.6802 (0.6596 - 0.6964),0.7924 (0.7701 - 0.8148),0.4748 (0.4492 - 0.4965)
Nationwide Cohort,D + HF,14596,2077,SAINT Transformer,0.5148 (0.4928 - 0.5315),0.2733 (0.2630 - 0.2832),0.5371 (0.5150 - 0.5568),0.4781 (0.4534 - 0.5027),0.4468 (0.4251 - 0.4683),0.5631 (0.5390 - 0.5837),0.6734 (0.6422 - 0.6979),0.4008 (0.3760 - 0.4216)
Nationwide Cohort,D + HF,14596,2077,Standard MLP,0.5656 (0.5503 - 0.5836),0.2830 (0.2713 - 0.2977),0.6201 (0.6033 - 0.6379),0.5533 (0.5212 - 0.5788),0.4888 (0.4708 - 0.5084),0.6586 (0.6369 - 0.6770),0.8480 (0.8287 - 0.8668),0.3627 (0.3415 - 0.3845)
Nationwide Cohort,D + HF,14596,2077,Standard Transformer,0.5621 (0.5411 - 0.5775),0.2485 (0.2456 - 0.2523),0.5118 (0.4895 - 0.5325),0.5003 (0.4741 - 0.5265),0.4794 (0.4527 - 0.5039),0.5834 (0.5567 - 0.6060),0.5491 (0.5231 - 0.5756),0.5714 (0.5434 - 0.5930)
Nationwide Cohort,D + HF,14596,2077,XGBoost,0.6486 (0.6322 - 0.6661),0.2116 (0.2046 - 0.2189),0.6630 (0.6443 - 0.6814),0.6129 (0.5814 - 0.6379),0.5534 (0.5323 - 0.5767),0.7241 (0.7044 - 0.7418),0.8270 (0.8021 - 0.8455),0.5203 (0.4956 - 0.5438)
Nationwide Cohort,D + HF + Hyp,11517,2077,CatBoost,0.6490 (0.6311 - 0.6706),0.2043 (0.1960 - 0.2119),0.6776 (0.6572 - 0.6974),0.6446 (0.6110 - 0.6766),0.5594 (0.5379 - 0.5854),0.7418 (0.7210 - 0.7638),0.8595 (0.8368 - 0.8817),0.4908 (0.4636 - 0.5212)
Nationwide Cohort,D + HF + Hyp,11517,2077,Gradient Boosting,0.6551 (0.6363 - 0.6767),0.2075 (0.1999 - 0.2137),0.6830 (0.6642 - 0.7042),0.6262 (0.5943 - 0.6587),0.5640 (0.5405 - 0.5890),0.7308 (0.7088 - 0.7546),0.8658 (0.8439 - 0.8863),0.4966 (0.4733 - 0.5249)
Nationwide Cohort,D + HF + Hyp,11517,2077,HIR-M3 Transformer,0.4297 (0.4110 - 0.4488),0.2509 (0.2489 - 0.2535),0.5973 (0.5788 - 0.6159),0.4830 (0.4557 - 0.5110),0.4286 (0.4105 - 0.4482),0.5619 (0.5391 - 0.5850),0.9857 (0.9776 - 0.9928),0.0115 (0.0062 - 0.0173)
Nationwide Cohort,D + HF + Hyp,11517,2077,LightGBM,0.6284 (0.6085 - 0.6454),0.2159 (0.2036 - 0.2272),0.6724 (0.6509 - 0.6909),0.6386 (0.6057 - 0.6685),0.5409 (0.5166 - 0.5655),0.7375 (0.7174 - 0.7610),0.8888 (0.8696 - 0.9076),0.4326 (0.4093 - 0.4595)
Nationwide Cohort,D + HF + Hyp,11517,2077,Logistic Regression,0.5514 (0.5334 - 0.5725),0.2630 (0.2507 - 0.2756),0.6189 (0.5998 - 0.6408),0.5661 (0.5330 - 0.5957),0.4871 (0.4658 - 0.5120),0.6605 (0.6366 - 0.6833),0.8488 (0.8296 - 0.8712),0.3277 (0.3032 - 0.3541)
Nationwide Cohort,D + HF + Hyp,11517,2077,Random Forest,0.6161 (0.5968 - 0.6385),0.2181 (0.2126 - 0.2227),0.6543 (0.6341 - 0.6773),0.5925 (0.5605 - 0.6272),0.5333 (0.5077 - 0.5582),0.6993 (0.6781 - 0.7219),0.8466 (0.8252 - 0.8670),0.4428 (0.4186 - 0.4714)
Nationwide Cohort,D + HF + Hyp,11517,2077,SAINT Transformer,0.4307 (0.4132 - 0.4505),0.2440 (0.2405 - 0.2472),0.5983 (0.5811 - 0.6179),0.4865 (0.4568 - 0.5180),0.4291 (0.4113 - 0.4493),0.5552 (0.5332 - 0.5764),0.9878 (0.9811 - 0.9933),0.0115 (0.0069 - 0.0181)
Nationwide Cohort,D + HF + Hyp,11517,2077,Standard MLP,0.5080 (0.4887 - 0.5304),0.2512 (0.2405 - 0.2648),0.6212 (0.6010 - 0.6416),0.5752 (0.5384 - 0.6099),0.4640 (0.4431 - 0.4872),0.6682 (0.6401 - 0.6906),0.9401 (0.9266 - 0.9539),0.1830 (0.1648 - 0.2033)
Nationwide Cohort,D + HF + Hyp,11517,2077,Standard Transformer,0.4311 (0.4136 - 0.4510),0.2476 (0.2469 - 0.2483),0.6014 (0.5831 - 0.6205),0.4780 (0.4476 - 0.5065),0.4300 (0.4116 - 0.4498),0.5575 (0.5337 - 0.5764),1.0000 (1.0000 - 1.0000),0.0031 (0.0000 - 0.0061)
Nationwide Cohort,D + HF + Hyp,11517,2077,XGBoost,0.6467 (0.6276 - 0.6684),0.2102 (0.2012 - 0.2197),0.6777 (0.6575 - 0.6979),0.6336 (0.6007 - 0.6650),0.5570 (0.5358 - 0.5837),0.7293 (0.7071 - 0.7517),0.8656 (0.8442 - 0.8838),0.4821 (0.4555 - 0.5083)
Nationwide Cohort,D + Hyp,30493,2077,CatBoost,0.7063 (0.6953 - 0.7170),0.1880 (0.1836 - 0.1925),0.5954 (0.5759 - 0.6109),0.6073 (0.5843 - 0.6279),0.5281 (0.5062 - 0.5473),0.7816 (0.7696 - 0.7933),0.6826 (0.6617 - 0.7033),0.7173 (0.7038 - 0.7295)
Nationwide Cohort,D + Hyp,30493,2077,Gradient Boosting,0.6228 (0.6107 - 0.6342),0.1986 (0.1951 - 0.2016),0.5867 (0.5688 - 0.6033),0.5834 (0.5581 - 0.6060),0.4492 (0.4311 - 0.4664),0.7658 (0.7547 - 0.7780),0.8458 (0.8301 - 0.8627),0.5194 (0.5036 - 0.5348)
Nationwide Cohort,D + Hyp,30493,2077,HIR-M3 Transformer,0.3181 (0.3063 - 0.3299),0.2495 (0.2476 - 0.2517),0.4810 (0.4672 - 0.4940),0.3674 (0.3452 - 0.3855),0.3169 (0.3051 - 0.3282),0.5649 (0.5462 - 0.5813),0.9980 (0.9962 - 0.9995),0.0031 (0.0017 - 0.0047)
Nationwide Cohort,D + Hyp,30493,2077,LightGBM,0.6586 (0.6455 - 0.6693),0.1857 (0.1810 - 0.1913),0.5958 (0.5765 - 0.6105),0.5825 (0.5590 - 0.6069),0.4766 (0.4561 - 0.4946),0.7661 (0.7544 - 0.7771),0.7947 (0.7787 - 0.8120),0.5955 (0.5790 - 0.6106)
Nationwide Cohort,D + Hyp,30493,2077,Logistic Regression,0.6563 (0.6455 - 0.6673),0.2184 (0.2126 - 0.2236),0.5548 (0.5382 - 0.5698),0.5237 (0.5012 - 0.5506),0.4703 (0.4498 - 0.4863),0.7211 (0.7088 - 0.7333),0.6765 (0.6593 - 0.6979),0.6469 (0.6329 - 0.6607)
Nationwide Cohort,D + Hyp,30493,2077,Random Forest,0.6045 (0.5927 - 0.6175),0.1952 (0.1915 - 0.1986),0.5572 (0.5409 - 0.5736),0.5156 (0.4923 - 0.5386),0.4316 (0.4159 - 0.4473),0.7151 (0.7017 - 0.7293),0.7858 (0.7676 - 0.8030),0.5206 (0.5059 - 0.5373)
Nationwide Cohort,D + Hyp,30493,2077,SAINT Transformer,0.3170 (0.3058 - 0.3278),0.3477 (0.3437 - 0.3523),0.4808 (0.4674 - 0.4932),0.3605 (0.3374 - 0.3780),0.3166 (0.3052 - 0.3275),0.5558 (0.5394 - 0.5696),0.9990 (0.9974 - 1.0000),0.0010 (0.0002 - 0.0022)
Nationwide Cohort,D + Hyp,30493,2077,Standard MLP,0.6005 (0.5888 - 0.6116),0.2312 (0.2250 - 0.2369),0.5489 (0.5311 - 0.5631),0.5145 (0.4923 - 0.5384),0.4272 (0.4092 - 0.4411),0.7081 (0.6942 - 0.7203),0.7677 (0.7514 - 0.7847),0.5230 (0.5097 - 0.5378)
Nationwide Cohort,D + Hyp,30493,2077,Standard Transformer,0.3275 (0.3158 - 0.3394),0.2399 (0.2383 - 0.2415),0.4829 (0.4695 - 0.4958),0.3644 (0.3430 - 0.3820),0.3192 (0.3077 - 0.3305),0.5629 (0.5443 - 0.5793),0.9918 (0.9880 - 0.9954),0.0197 (0.0155 - 0.0240)
Nationwide Cohort,D + Hyp,30493,2077,XGBoost,0.6692 (0.6563 - 0.6796),0.1870 (0.1825 - 0.1917),0.6007 (0.5834 - 0.6148),0.5952 (0.5731 - 0.6149),0.4862 (0.4662 - 0.5029),0.7732 (0.7620 - 0.7838),0.7857 (0.7678 - 0.8042),0.6152 (0.6009 - 0.6292)
Nationwide Cohort,HF,31542,2077,CatBoost,0.6903 (0.6784 - 0.7012),0.1875 (0.1825 - 0.1921),0.6217 (0.6037 - 0.6356),0.6007 (0.5753 - 0.6261),0.5088 (0.4885 - 0.5267),0.7847 (0.7738 - 0.7963),0.7990 (0.7840 - 0.8154),0.6396 (0.6248 - 0.6516)
