Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,Recall_Sensitivity,Specificity,Brier_Score,TP,TN,FP,FN,Cohort,Subgroup,Cohort Size,Num Features,Model
1.1329548514804235e-11,0.519415842250488,0.5260858965544762,0.6406685236768802,0.4713114754098361,0.47520661157024796,0.9829059829059829,0.9829059829059829,0.0,0.44754486247420416,115,0,127,2,Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Logistic Regression
0.2859823192010922,0.5626892792247123,0.572393176408128,0.6228571428571429,0.45901639344262296,0.4678111587982833,0.9316239316239316,0.9316239316239316,0.023622047244094488,0.2507441649163843,109,3,124,8,Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Random Forest
0.09275628725729736,0.5789757049599569,0.5996105945420469,0.5953177257525083,0.5040983606557377,0.489010989010989,0.7606837606837606,0.7606837606837606,0.2677165354330709,0.3419463498434942,89,34,93,28,Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,LightGBM
0.274381611204271,0.5562285483545326,0.554428631605314,0.6215384615384615,0.4959016393442623,0.4855769230769231,0.8632478632478633,0.8632478632478633,0.15748031496062992,0.2708426222171408,101,20,107,16,Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Gradient Boosting
0.38273909122365274,0.5818022747156605,0.5850993520873683,0.5860805860805861,0.5368852459016393,0.5128205128205128,0.6837606837606838,0.6837606837606838,0.4015748031496063,0.2724773781654469,80,51,76,37,Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,CatBoost
0.13022148609161377,0.5526616865199542,0.5678903996861008,0.6125,0.4918032786885246,0.4827586206896552,0.8376068376068376,0.8376068376068376,0.1732283464566929,0.315512744256623,98,22,105,19,Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,XGBoost
0.4394174814224243,0.5101958409045023,0.5258590649508514,0.65,0.48360655737704916,0.48148148148148145,1.0,1.0,0.007874015748031496,0.25041291824023987,117,1,126,0,Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Standard MLP
0.5448099970817566,0.46598021401171014,0.47183177827226686,0.6444444444444444,0.47540983606557374,0.4773662551440329,0.9914529914529915,0.9914529914529915,0.0,0.2870257235968866,116,0,127,1,Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,Standard Transformer
0.5260041952133179,0.5164546739349889,0.474210841100867,0.0,0.5204918032786885,0.0,0.0,0.0,1.0,0.25173592757408436,0,127,0,117,Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,SAINT Transformer
0.5411855578422546,0.4224375799178949,0.42789415126759256,0.0,0.5204918032786885,0.0,0.0,0.0,1.0,0.25058528236330874,0,127,0,117,Texas Cohort,Diabetes + Heart Failure (d+hf),1216,756,HIR-M3 Transformer
