Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,Recall_Sensitivity,Specificity,Brier_Score,TP,TN,FP,FN,Cohort,Subgroup,Cohort Size,Num Features,Model
0.2918190810720261,0.6329259752912396,0.3425012626604487,0.4139508290451686,0.4956329191782507,0.28515163450177233,0.7549530761209593,0.7549530761209593,0.4155530510384801,0.18183043215019337,1448,2581,3630,470,Nationwide Cohort,Diabetes (d),40643,2075,Random Forest
0.3711678829914094,0.6565991180167582,0.3865478877727119,0.4233161542562644,0.6008119079837618,0.3211108115394985,0.6209593326381647,0.6209593326381647,0.5945902431170504,0.19362475380703395,1191,3693,2518,727,Nationwide Cohort,Diabetes (d),40643,2075,LightGBM
0.4072557844075104,0.6771329215262571,0.4118952046579124,0.4324566646742379,0.5327838602534137,0.3031001256807708,0.7544316996871742,0.7544316996871742,0.4643374657865078,0.21330761641603704,1447,2884,3327,471,Nationwide Cohort,Diabetes (d),40643,2075,CatBoost
0.43721907478882555,0.6730348574269237,0.3925708227006003,0.43222545565936593,0.543978349120433,0.30600737367165476,0.7356621480709072,0.7356621480709072,0.48478505876670425,0.21994518384237854,1411,3011,3200,507,Nationwide Cohort,Diabetes (d),40643,2075,Gradient Boosting
0.4222626180497633,0.6394853625937633,0.36300655522528313,0.42397710052197346,0.5791610284167794,0.3131061924894305,0.6564129301355579,0.6564129301355579,0.5553051038480116,0.2323000093235875,1259,3449,2762,659,Nationwide Cohort,Diabetes (d),40643,2075,Logistic Regression
0.37808021903038025,0.670375720092963,0.40324407605345625,0.433064883756268,0.5410259564522082,0.3055972549860605,0.7429614181438999,0.7429614181438999,0.47866688133955887,0.20402853123355846,1425,2973,3238,493,Nationwide Cohort,Diabetes (d),40643,2075,XGBoost
0.444335401058197,0.6376142079653156,0.3350716613373762,0.41748223622469494,0.4654939106901218,0.2809962100703844,0.8117831074035453,0.8117831074035453,0.3585573981645468,0.2457998818976497,1557,2227,3984,361,Nationwide Cohort,Diabetes (d),40643,2075,Standard MLP
0.4780304431915283,0.5455909316260683,0.27150007138599314,0.3839588688946015,0.26300898019436586,0.23914435762776995,0.9734098018769551,0.9734098018769551,0.04363226533569473,0.2480095174015377,1867,271,5940,51,Nationwide Cohort,Diabetes (d),40643,2075,Standard Transformer
0.3506743907928467,0.5562041864907513,0.2767773908951181,0.3813362894286002,0.24480255874031245,0.2363522798251093,0.986444212721585,0.986444212721585,0.015778457575269682,0.2744264251084643,1892,98,6113,26,Nationwide Cohort,Diabetes (d),40643,2075,SAINT Transformer
0.5042633414268494,0.53324700248424,0.25783080407250236,0.14440993788819875,0.7288719399680157,0.2826747720364742,0.09697601668404589,0.09697601668404589,0.9240057961680889,0.2496375624783526,186,5739,472,1732,Nationwide Cohort,Diabetes (d),40643,2075,HIR-M3 Transformer
