Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,Recall_Sensitivity,Specificity,Brier_Score,TP,TN,FP,FN,Cohort,Subgroup,Cohort Size,Num Features,Model
0.31296489819922163,0.6575424804175054,0.578943095470446,0.6238532110091743,0.4984709480122324,0.4602368866328257,0.9679715302491103,0.9679715302491103,0.1447721179624665,0.22756930937860187,272,54,319,9,Texas Cohort,Heart Failure + Hypertension (hf+hyp),3266,756,Random Forest
0.009200854300066046,0.6291299743352445,0.5499379215268873,0.5988950276243095,0.44495412844036697,0.4342948717948718,0.9644128113879004,0.9644128113879004,0.05361930294906166,0.28205337994378776,271,20,353,10,Texas Cohort,Heart Failure + Hypertension (hf+hyp),3266,756,Logistic Regression
0.17892157687503335,0.6642592044879929,0.6066925300789785,0.6048565121412804,0.4525993883792049,0.4384,0.9750889679715302,0.9750889679715302,0.058981233243967826,0.2274374510919902,274,22,351,7,Texas Cohort,Heart Failure + Hypertension (hf+hyp),3266,756,Gradient Boosting
0.020186429551947528,0.6394531212731245,0.5610369889873023,0.6115702479338843,0.4969418960244648,0.4575971731448763,0.9217081850533808,0.9217081850533808,0.1769436997319035,0.2886766630041472,259,66,307,22,Texas Cohort,Heart Failure + Hypertension (hf+hyp),3266,756,LightGBM
0.30011408785363036,0.65587284020112,0.595864353789437,0.6042780748663101,0.5474006116207951,0.48394004282655245,0.8042704626334519,0.8042704626334519,0.353887399463807,0.23177338230529854,226,132,241,55,Texas Cohort,Heart Failure + Hypertension (hf+hyp),3266,756,CatBoost
0.09857486188411713,0.657866867659546,0.5980677710197237,0.6136101499423299,0.4877675840978593,0.4539249146757679,0.9466192170818505,0.9466192170818505,0.14209115281501342,0.24186330145109716,266,53,320,15,Texas Cohort,Heart Failure + Hypertension (hf+hyp),3266,756,XGBoost
0.3137401342391968,0.6177287168576417,0.5430570793218634,0.5991091314031181,0.44954128440366975,0.4359805510534846,0.9572953736654805,0.9572953736654805,0.06702412868632708,0.2445438202444078,269,25,348,12,Texas Cohort,Heart Failure + Hypertension (hf+hyp),3266,756,Standard MLP
0.5006222724914551,0.514979057941286,0.44517061178954703,0.606790799561884,0.4510703363914373,0.43829113924050633,0.9857651245551602,0.9857651245551602,0.04825737265415549,0.25347061830423645,277,18,355,4,Texas Cohort,Heart Failure + Hypertension (hf+hyp),3266,756,Standard Transformer
0.5295957326889038,0.5936668161392193,0.5021823498648273,0.0,0.5703363914373089,0.0,0.0,0.0,1.0,0.24434208452130407,0,373,0,281,Texas Cohort,Heart Failure + Hypertension (hf+hyp),3266,756,SAINT Transformer
0.45594504475593567,0.5852136662436912,0.5264718785719844,0.09364548494983277,0.5856269113149847,0.7777777777777778,0.0498220640569395,0.0498220640569395,0.9892761394101877,0.24389046176011284,14,369,4,267,Texas Cohort,Heart Failure + Hypertension (hf+hyp),3266,756,HIR-M3 Transformer
