Cluster_ID,Cluster_Name,Source_Column
-139,"Factors Influencing Health Status: M96.1, Z48.811",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-138,"Musculoskeletal: M87.052, M87.051",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-137,"Musculoskeletal: M80.031D, M80.032D",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-136,"Musculoskeletal: M79.674, M79.675",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-135,"Musculoskeletal: M79.671, M79.672",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-134,"Musculoskeletal: M79.661, M79.662",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-133,"Musculoskeletal: M79.651, M79.652",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-132,"Musculoskeletal: M79.641, M79.642",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-131,"Musculoskeletal: M79.604, M79.605",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-130,"Musculoskeletal: M75.51, M75.52",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-129,"Musculoskeletal: M75.121, M75.41",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-128,"Musculoskeletal: M75.111, M75.112",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-127,"Musculoskeletal: M75.01, M75.02",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-126,"Musculoskeletal: M70.72, M70.71",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-125,"Musculoskeletal: M70.61, M70.62",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-124,"Musculoskeletal: M62.561, M62.551",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-123,"Musculoskeletal: M54.41, M54.42",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-122,"Musculoskeletal: M54.31, M54.32",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-121,"Musculoskeletal: M50.20, M99.71",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-120,"Musculoskeletal: M50.01, M50.021",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
