Method,Dataset,Feature_Short,Score_TX,Score_Nationwide,Score_Diff,Abs_Diff
LightGBM Importance,Heart Failure Patients,Dx4 – Circulatory: I50.22,1.0,20.0,-19.0,19.0
LightGBM Importance,Diabetic Patients,Dx4 – Circulatory: I50.22,1.0,20.0,-19.0,19.0
LightGBM Importance,Diabetic Patients,CANC,4.0,22.0,-18.0,18.0
LightGBM Importance,Heart Failure Patients,POP RUR,17.0,35.0,-18.0,18.0
LightGBM Importance,Complete Cohort,County: Leon,0.0,18.0,-18.0,18.0
LightGBM Importance,Complete Cohort,"Dx4 – Circulatory: I10., M62.81",17.0,0.0,17.0,17.0
LightGBM Importance,Complete Cohort,charlson score,34.0,17.0,17.0,17.0
LightGBM Importance,Complete Cohort,Days Cared For,369.0,352.0,17.0,17.0
LightGBM Importance,Heart Failure Patients,"Dx1 – Circulatory: I10., M62.81",17.0,0.0,17.0,17.0
LightGBM Importance,Complete Cohort,elix swiss ageadj,22.0,5.0,17.0,17.0
LightGBM Importance,Heart Failure Patients,Dx2 – Factors Influencing Health Status: Z79.82,16.0,0.0,16.0,16.0
LightGBM Importance,Heart Failure Patients,elix swiss ageadj,30.0,14.0,16.0,16.0
LightGBM Importance,Heart Failure Patients,Acs % Hh Internet No Subs,18.0,34.0,-16.0,16.0
LightGBM Importance,Heart Failure Patients,Acs % Pov Multi,32.0,17.0,15.0,15.0
LightGBM Importance,Heart Failure Patients,dementia,1.0,16.0,-15.0,15.0
Variance Threshold,Heart Failure Patients,Dx1 – Cluster 58,1.000000007417502,0.0,1.000000007417502,1.000000007417502
Variance Threshold,Heart Failure Patients,AIDS,0.0,1.00000000659084,-1.00000000659084,1.00000000659084
Variance Threshold,Diabetic Patients,AIDS,0.0,0.9999999844409404,-0.9999999844409404,0.9999999844409404
Variance Threshold,Hypertensive Patients,AIDS,0.0,0.9999999067886814,-0.9999999067886814,0.9999999067886814
HIR-M3 Attention Importance,Diabetic Patients,County: Hopkins,1.0,0.0050544408150017,0.9949455591849983,0.9949455591849983
HIR-M3 Attention Importance,Heart Failure Patients,HIPPS: 3BHKS,1.0,0.0055943219922482,0.9944056780077518,0.9944056780077518
HIR-M3 Attention Importance,Diabetic Patients,County: Martin,0.9817072749137878,0.0023797845933586,0.9793274903204292,0.9793274903204292
