Dataset,Cohort Size,Num Features,Method,Feature Name,Score
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Fulton,1.000000115631174
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Spokane,1.0000001150745883
Complete Cohort,2864697,2566,Variance Threshold,Submitted_HIPPS_Code_1CFKU,1.0000001143628436
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_val_10,1.0000001143221016
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Deschutes,1.0000001143221016
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Emanuel,1.000000114202885
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_McClain,1.0000001142028847
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Glenn,1.0000001142028845
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_397,1.0000001142028843
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Southampton,1.000000114202884
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_238,1.0000001142028836
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Montague,1.0000001142028834
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_5,1.0000001140699752
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_337,1.0000001137074301
Complete Cohort,2864697,2566,Variance Threshold,dementia,1.0000001124646678
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_val_5,1.0000001113898283
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Caddo,1.000000111226234
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Roscommon,1.0000001104722722
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Pender,1.0000001104722716
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Sarasota,1.0000001103221372
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Brevard,1.0000001100587788
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Porter,1.00000010961498
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Richmond,1.000000109491759
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_397,1.0000001092867823
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_val_19,1.0000001092210355
Complete Cohort,2864697,2566,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_117,1.0000001083072074
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Tompkins,1.0000001083072068
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_182,1.0000001081357626
Complete Cohort,2864697,2566,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_99,1.0000001080051115
Complete Cohort,2864697,2566,Variance Threshold,Submitted_HIPPS_Code_2BGKU,1.000000108005111
Complete Cohort,2864697,2566,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_184,1.0000001080051104
Complete Cohort,2864697,2566,Variance Threshold,Submitted_HIPPS_Code_2AFMT,1.0000001076526028
Complete Cohort,2864697,2566,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_92,1.0000001076526026
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Culpeper,1.0000001076526022
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Brooke,1.0000001076526017
Complete Cohort,2864697,2566,Variance Threshold,Submitted_HIPPS_Code_2CGMV,1.0000001075775464
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_val_3,1.0000001072903204
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Mendocino,1.0000001064429662
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_24,1.0000001060982928
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Hale,1.0000001057572434
Complete Cohort,2864697,2566,Variance Threshold,Submitted_HIPPS_Code_1CGLW,1.0000001057572432
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Gibson,1.0000001051843972
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Dale,1.0000001047578315
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Rusk,1.0000001047578304
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_657,1.0000001047578304
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Lamar,1.0000001044557247
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_283,1.0000001040658795
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Saginaw,1.000000104058464
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Lyon,1.0000001040031314
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_26,1.000000103795266
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_519,1.0000001037952657
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_416,1.0000001037952653
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Calumet,1.0000001037952653
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Johnston,1.0000001037800128
Complete Cohort,2864697,2566,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_4,1.0000001036943496
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Dyer,1.000000103080447
Complete Cohort,2864697,2566,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_343,1.0000001030804464
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Coryell,1.000000103080446
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Clark,1.000000103026927
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Weakley,1.0000001029894947
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_El_Paso,1.0000001026266203
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_589,1.000000102203905
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_37,1.000000102203905
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Umatilla,1.0000001022039042
Complete Cohort,2864697,2566,Variance Threshold,Submitted_HIPPS_Code_3BGNS,1.0000001022039038
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Moultrie,1.0000001022039033
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Bibb,1.0000001021066036
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Kanawha,1.0000001018928217
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_537,1.000000101892821
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_35,1.0000001017887914
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_San_Mateo,1.000000101144829
Complete Cohort,2864697,2566,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_11,1.000000101036615
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_31,1.0000001008986323
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Sanpete,1.000000100651567
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_3,1.0000001006515662
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_125,1.000000100651566
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Wilcox,1.000000100651566
Complete Cohort,2864697,2566,Variance Threshold,ond,1.0000001004321082
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Rock_Island,1.0000001002618508
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_228,1.0000001002618504
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_50,1.0000000999913787
Complete Cohort,2864697,2566,Variance Threshold,Submitted_HIPPS_Code_1BGKT,1.0000000998193135
Complete Cohort,2864697,2566,Variance Threshold,hypunc,1.0000000994587814
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Merced,1.0000000992613058
Complete Cohort,2864697,2566,Variance Threshold,Submitted_HIPPS_Code_2AFMS,1.0000000989651068
Complete Cohort,2864697,2566,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_593,1.0000000989046385
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_634,1.000000098904638
Complete Cohort,2864697,2566,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_369,1.0000000989046378
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_321,1.0000000989046374
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Bristol,1.0000000989046374
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_9,1.0000000986576667
Complete Cohort,2864697,2566,Variance Threshold,Submitted_HIPPS_Code_1CGKT,1.0000000975720982
Complete Cohort,2864697,2566,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_442,1.0000000971847371
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Indian_River,1.0000000969446603
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Tipton,1.0000000967996152
Complete Cohort,2864697,2566,Variance Threshold,Submitted_HIPPS_Code_2AFKT,1.0000000967996152
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_274,1.0000000964522948
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Cannon,1.0000000961574975
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_King_William,1.000000096157497
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_72,1.0000000961574969
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Little_River,1.0000000961574964
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Multnomah,1.0000000952384034
Complete Cohort,2864697,2566,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_19,1.000000095238403
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Sevier,1.0000000951325907
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_93,1.00000009513259
Complete Cohort,2864697,2566,Variance Threshold,Submitted_HIPPS_Code_5BHKT,1.0000000945162906
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_211,1.0000000938464313
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Nottoway,1.000000093846431
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_45,1.0000000938464308
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Cabarrus,1.000000093783508
Complete Cohort,2864697,2566,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_23,1.0000000937835076
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Canyon,1.0000000935259643
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_119,1.0000000926674801
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Hampton,1.000000092620591
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_14,1.0000000925014016
Complete Cohort,2864697,2566,Variance Threshold,wloss,1.0000000924820083
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Honolulu,1.0000000921066192
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_White,1.0000000920842842
Complete Cohort,2864697,2566,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_6,1.0000000914278742
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_San_Joaquin,1.000000090987736
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_9,1.0000000907013036
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Boyle,1.000000090245764
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_336,1.0000000902457635
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_176,1.0000000902457633
Complete Cohort,2864697,2566,Variance Threshold,Submitted_HIPPS_Code_2AFLS,1.0000000901191115
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_64,1.0000000900564887
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_180,1.000000090052627
Complete Cohort,2864697,2566,Variance Threshold,Submitted_HIPPS_Code_2AHLS,1.0000000898058377
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_val_13,1.000000089733888
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Jerome,1.0000000896242176
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Izard,1.0000000896242176
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Burleson,1.0000000896242176
Complete Cohort,2864697,2566,Variance Threshold,Submitted_HIPPS_Code_1AFNT,1.0000000896242176
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Woodward,1.0000000896242174
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Ouachita,1.0000000895205106
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_228,1.0000000895205101
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_23,1.0000000891066994
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Rutherford,1.0000000884540363
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_130,1.0000000884407192
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Dillon,1.000000088440718
Complete Cohort,2864697,2566,Variance Threshold,Submitted_HIPPS_Code_1CHMU,1.0000000882664826
Complete Cohort,2864697,2566,Variance Threshold,Submitted_HIPPS_Code_1CHMW,1.0000000882175273
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_27,1.0000000882090567
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_New_Castle,1.000000088057399
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Cayuga,1.0000000876240343
Complete Cohort,2864697,2566,Variance Threshold,pcd,1.000000087426015
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_166,1.0000000873912025
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Steuben,1.000000087391202
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Weber,1.000000087130833
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Walla_Walla,1.0000000869825654
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Amador,1.000000086982565
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Kent,1.0000000865104302
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Le_Flore,1.0000000862449978
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Burnet,1.000000086244997
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_537,1.0000000862449967
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Prentiss,1.0000000861512452
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Gray,1.0000000861512448
Complete Cohort,2864697,2566,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_140,1.0000000861512446
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_123,1.0000000861512446
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Anson,1.0000000861512444
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Pettis,1.0000000861512444
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Kauai,1.0000000861512444
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_344,1.000000086151244
Complete Cohort,2864697,2566,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_600,1.0000000861512437
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_523,1.0000000861512435
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_7,1.0000000855142706
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Washtenaw,1.000000084967427
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Carter,1.000000084499941
Complete Cohort,2864697,2566,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_17,1.0000000841568115
Complete Cohort,2864697,2566,Variance Threshold,Submitted_HIPPS_Code_1CGMU,1.0000000840540153
Complete Cohort,2864697,2566,Variance Threshold,COUNTY_NAME_Bell,1.0000000840540146
