Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall_Sensitivity,Specificity,Brier_Score,TP,TN,FP,FN,Cohort,Cohort Size,Num Features,Model
0.2206922024488449,0.7915889480962284,0.3855348893471832,0.4201632906159569,0.8041505218696547,0.34248767954172105,0.5434070707745773,0.8433124215809285,0.09643073861890902,8131,84015,15610,6832,Nationwide Cohort,572939,2570,Standard MLP
0.13788491487503052,0.516005434064838,0.13739831900573934,0.2320042110804053,0.18511536984675533,0.13228163307415988,0.9425917262581033,0.07134755332496863,0.11351919657748893,14104,7108,92517,859,Nationwide Cohort,572939,2570,Standard Transformer
0.11741166561841965,0.5162829638075886,0.13764696061357762,0.23301446741767626,0.18063846126994101,0.13273150302466263,0.9531511060616187,0.06461229611041405,0.11343272216196656,14262,6437,93188,701,Nationwide Cohort,572939,2570,SAINT Transformer
0.1043834462761879,0.5192348205456352,0.13888116814110332,0.23268171083705064,0.18336998638600902,0.13261176382618775,0.9482055737485798,0.06849686323713927,0.11334323870604708,14188,6824,92801,775,Nationwide Cohort,572939,2570,HIR-M3 Transformer
0.1552571915090084,0.7872853981686823,0.37574936003303094,0.41721424304599647,0.8041767026215659,0.3412064570943076,0.5367907505179442,0.84433626097867,0.10565659434127136,8032,84117,15508,6931,Nationwide Cohort,572939,2570,Neural Weighted Ensemble
