Cohort,Setting,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Nationwide Cohort - Urban,Urban,373608,2570,Gradient Boosting,PR_AUC,0.34015675850031823,0.33036789886702767,0.35059038072353105,0.3402 (0.3304 - 0.3506)
Nationwide Cohort - Urban,Urban,373608,2570,Gradient Boosting,F1_Score,0.3876604079337473,0.3808829353570823,0.39522815531919503,0.3877 (0.3809 - 0.3952)
Nationwide Cohort - Urban,Urban,373608,2570,Gradient Boosting,Accuracy,0.7884182034742111,0.7855507748721929,0.7914302347367576,0.7884 (0.7856 - 0.7914)
Nationwide Cohort - Urban,Urban,373608,2570,Gradient Boosting,Precision,0.30174608181915263,0.2959670316743227,0.3085284858713532,0.3017 (0.2960 - 0.3085)
Nationwide Cohort - Urban,Urban,373608,2570,Gradient Boosting,Recall_Sensitivity,0.5420036378303646,0.5332959925930992,0.5529591412190178,0.5420 (0.5333 - 0.5530)
Nationwide Cohort - Urban,Urban,373608,2570,Gradient Boosting,Specificity,0.8231607445117516,0.8203966422027841,0.8258642420820073,0.8232 (0.8204 - 0.8259)
Nationwide Cohort - Urban,Urban,373608,2570,Gradient Boosting,Brier_Score,0.09731013165073771,0.09568397941218418,0.09903044556623129,0.0973 (0.0957 - 0.0990)
Nationwide Cohort - Urban,Urban,373608,2570,Logistic Regression,ROC_AUC,0.7888376295278167,0.7842764914713859,0.793374043828505,0.7888 (0.7843 - 0.7934)
Nationwide Cohort - Urban,Urban,373608,2570,Logistic Regression,PR_AUC,0.3644267825534459,0.3548299689956104,0.37471411842302543,0.3644 (0.3548 - 0.3747)
Nationwide Cohort - Urban,Urban,373608,2570,Logistic Regression,F1_Score,0.4067417246435578,0.3983724946794385,0.4152083772233745,0.4067 (0.3984 - 0.4152)
Nationwide Cohort - Urban,Urban,373608,2570,Logistic Regression,Accuracy,0.805420358127459,0.8022908246567276,0.8085440031048419,0.8054 (0.8023 - 0.8085)
Nationwide Cohort - Urban,Urban,373608,2570,Logistic Regression,Precision,0.3263178676891146,0.3189800953330804,0.33500137300859495,0.3263 (0.3190 - 0.3350)
Nationwide Cohort - Urban,Urban,373608,2570,Logistic Regression,Recall_Sensitivity,0.5398031182166458,0.5296329818035534,0.5498986344254708,0.5398 (0.5296 - 0.5499)
Nationwide Cohort - Urban,Urban,373608,2570,Logistic Regression,Specificity,0.8428707007564681,0.840205695226,0.8456078417718869,0.8429 (0.8402 - 0.8456)
Nationwide Cohort - Urban,Urban,373608,2570,Logistic Regression,Brier_Score,0.09342965482699345,0.09184808342500748,0.0951841100902609,0.0934 (0.0918 - 0.0952)
Nationwide Cohort - Urban,Urban,373608,2570,Weighted Ensemble,ROC_AUC,0.8188230922097901,0.814715179952234,0.82288215640165,0.8188 (0.8147 - 0.8229)
Nationwide Cohort - Urban,Urban,373608,2570,Weighted Ensemble,PR_AUC,0.4017898885686182,0.39222603243086623,0.4125802484721349,0.4018 (0.3922 - 0.4126)
Nationwide Cohort - Urban,Urban,373608,2570,Weighted Ensemble,F1_Score,0.4356509018360509,0.4282507291301002,0.44359238758212166,0.4357 (0.4283 - 0.4436)
Nationwide Cohort - Urban,Urban,373608,2570,Weighted Ensemble,Accuracy,0.815172773748026,0.8121366531945077,0.8183168946227349,0.8152 (0.8121 - 0.8183)
Nationwide Cohort - Urban,Urban,373608,2570,Weighted Ensemble,Precision,0.349821958668762,0.34211737473558895,0.3582927342805707,0.3498 (0.3421 - 0.3583)
Nationwide Cohort - Urban,Urban,373608,2570,Weighted Ensemble,Recall_Sensitivity,0.5773222993772668,0.5677070869801771,0.5864357969715376,0.5773 (0.5677 - 0.5864)
Nationwide Cohort - Urban,Urban,373608,2570,Weighted Ensemble,Specificity,0.848708290291554,0.8459030857906734,0.8517151298467855,0.8487 (0.8459 - 0.8517)
Nationwide Cohort - Urban,Urban,373608,2570,Weighted Ensemble,Brier_Score,0.09229604569409643,0.0909608777026078,0.09367558127571006,0.0923 (0.0910 - 0.0937)
Nationwide Cohort - Rural,Rural,199331,2570,LightGBM,ROC_AUC,0.818376125701165,0.8121694730224961,0.8229977971331863,0.8184 (0.8122 - 0.8230)
Nationwide Cohort - Rural,Rural,199331,2570,LightGBM,PR_AUC,0.4388826554633101,0.4247400485225792,0.4515757427915484,0.4389 (0.4247 - 0.4516)
Nationwide Cohort - Rural,Rural,199331,2570,LightGBM,F1_Score,0.4639771160340932,0.45527988911241574,0.4739081640084311,0.4640 (0.4553 - 0.4739)
Nationwide Cohort - Rural,Rural,199331,2570,LightGBM,Accuracy,0.8067019088469161,0.8025177465071363,0.8102233676975945,0.8067 (0.8025 - 0.8102)
Nationwide Cohort - Rural,Rural,199331,2570,LightGBM,Precision,0.38599836226783607,0.3764123849946845,0.39621792094467206,0.3860 (0.3764 - 0.3962)
Nationwide Cohort - Rural,Rural,199331,2570,LightGBM,Recall_Sensitivity,0.5814880095334093,0.5700257215957755,0.5922359332598667,0.5815 (0.5700 - 0.5922)
Nationwide Cohort - Rural,Rural,199331,2570,LightGBM,Specificity,0.8445514110712415,0.8407869557280221,0.8483754050420439,0.8446 (0.8408 - 0.8484)
Nationwide Cohort - Rural,Rural,199331,2570,LightGBM,Brier_Score,0.1770153510606464,0.17512196332233965,0.17909658980168525,0.1770 (0.1751 - 0.1791)
Nationwide Cohort - Rural,Rural,199331,2570,XGBoost,ROC_AUC,0.8113709613174752,0.8054712731622822,0.8160965264559901,0.8114 (0.8055 - 0.8161)
