Cohort,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Texas Cohort,Logistic Regression,Specificity,0.8481614425658327,0.8451304168091126,0.851456648533997,0.8482 (0.8451 - 0.8515)
Texas Cohort,Logistic Regression,Brier_Score,0.10464312210376076,0.10289770226783626,0.10675198565896185,0.1046 (0.1029 - 0.1068)
Texas Cohort,Standard MLP,ROC_AUC,0.8075925103757942,0.8019833551481517,0.8131221797173699,0.8076 (0.8020 - 0.8131)
Texas Cohort,Standard MLP,PR_AUC,0.454315531789915,0.4424100351794129,0.46801612036493434,0.4543 (0.4424 - 0.4680)
Texas Cohort,Standard MLP,F1_Score,0.4733497077875917,0.46403249773429356,0.4826869813522968,0.4733 (0.4640 - 0.4827)
Texas Cohort,Standard MLP,Accuracy,0.8074897349356149,0.8042328611045425,0.8110427370638691,0.8075 (0.8042 - 0.8110)
Texas Cohort,Standard MLP,Precision,0.40794315360980177,0.3986062676320853,0.41771928021777116,0.4079 (0.3986 - 0.4177)
Texas Cohort,Standard MLP,Recall_Sensitivity,0.563781275270896,0.5527989137925865,0.5762598117255305,0.5638 (0.5528 - 0.5763)
Texas Cohort,Standard MLP,Specificity,0.8516698561868168,0.8479162283209196,0.854816527352463,0.8517 (0.8479 - 0.8548)
Texas Cohort,Standard MLP,Brier_Score,0.10579267141996702,0.10401312090959877,0.10775792288928654,0.1058 (0.1040 - 0.1078)
Texas Cohort,Standard Transformer,ROC_AUC,0.8150844343587147,0.8101426537475083,0.820143494407299,0.8151 (0.8101 - 0.8201)
Texas Cohort,Standard Transformer,PR_AUC,0.44417718765480374,0.4297372888901124,0.4570103658782725,0.4442 (0.4297 - 0.4570)
Texas Cohort,Standard Transformer,F1_Score,0.4699019962409142,0.46006853713888907,0.48009319058140015,0.4699 (0.4601 - 0.4801)
Texas Cohort,Standard Transformer,Accuracy,0.7823713911043274,0.7790662553475073,0.7857616570286132,0.7824 (0.7791 - 0.7858)
Texas Cohort,Standard Transformer,Precision,0.3752060635578301,0.3657466672763202,0.38419759254337543,0.3752 (0.3657 - 0.3842)
Texas Cohort,Standard Transformer,Recall_Sensitivity,0.62858287316122,0.6180397842498462,0.640954767332943,0.6286 (0.6180 - 0.6410)
Texas Cohort,Standard Transformer,Specificity,0.810249385655309,0.8070554204803175,0.8143992346625061,0.8102 (0.8071 - 0.8144)
Texas Cohort,Standard Transformer,Brier_Score,0.10558007709321286,0.10393482402907071,0.10751785810536009,0.1056 (0.1039 - 0.1075)
Texas Cohort,SAINT Transformer,ROC_AUC,0.8166187765701981,0.8117493385055624,0.8216387364504852,0.8166 (0.8117 - 0.8216)
Texas Cohort,SAINT Transformer,PR_AUC,0.4609449650927513,0.4482442982708842,0.474951225938031,0.4609 (0.4482 - 0.4750)
Texas Cohort,SAINT Transformer,F1_Score,0.47366999385523756,0.46349883116212787,0.4833551218530929,0.4737 (0.4635 - 0.4834)
Texas Cohort,SAINT Transformer,Accuracy,0.7927327643657159,0.7894941634241246,0.7963362856590064,0.7927 (0.7895 - 0.7963)
Texas Cohort,SAINT Transformer,Precision,0.3880675129920834,0.37716257049681956,0.39730246181341156,0.3881 (0.3772 - 0.3973)
Texas Cohort,SAINT Transformer,Recall_Sensitivity,0.6077731869364166,0.597352032604093,0.6202111455620699,0.6078 (0.5974 - 0.6202)
Texas Cohort,SAINT Transformer,Specificity,0.8262618060736032,0.822637834272419,0.8295065158605721,0.8263 (0.8226 - 0.8295)
Texas Cohort,SAINT Transformer,Brier_Score,0.10496546967370883,0.10318885428512593,0.10742350724305362,0.1050 (0.1032 - 0.1074)
Texas Cohort,HIR-M3 Transformer,ROC_AUC,0.8180037114601078,0.8131482360647635,0.8228883935178123,0.8180 (0.8131 - 0.8229)
Texas Cohort,HIR-M3 Transformer,PR_AUC,0.4600366481494087,0.44737522856686973,0.47314811504860144,0.4600 (0.4474 - 0.4731)
Texas Cohort,HIR-M3 Transformer,F1_Score,0.4756480350164087,0.46612845731476793,0.48527627386360567,0.4756 (0.4661 - 0.4853)
Texas Cohort,HIR-M3 Transformer,Accuracy,0.7995933744652493,0.7965587849603372,0.802959133220113,0.7996 (0.7966 - 0.8030)
Texas Cohort,HIR-M3 Transformer,Precision,0.3973863940320132,0.3882128531497088,0.40731804732581256,0.3974 (0.3882 - 0.4073)
Texas Cohort,HIR-M3 Transformer,Recall_Sensitivity,0.5923376130455427,0.5820424456619835,0.6037223194064111,0.5923 (0.5820 - 0.6037)
Texas Cohort,HIR-M3 Transformer,Specificity,0.8371645245429467,0.833907649223304,0.840357459969452,0.8372 (0.8339 - 0.8404)
Texas Cohort,HIR-M3 Transformer,Brier_Score,0.10452964545785132,0.10272042508386844,0.10661965065691172,0.1045 (0.1027 - 0.1066)
