Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall_Sensitivity,Specificity,Brier_Score,TP,TN,FP,FN,Cohort,Setting,Cohort Size,Num Features,Model
0.64821702925348,0.8207069048496716,0.40148294070719004,0.43765449608947604,0.8142849495463184,0.34955981356809945,0.5851121464947449,0.8465790237124579,0.17734462491430122,5400,55445,10048,3829,Nationwide Cohort - Urban,Urban,373608,2570,LightGBM
0.2099745124578476,0.8137143560723298,0.39809181461780246,0.43312907689266655,0.8081020315302053,0.3409685049172165,0.5935637663885578,0.8383338677415907,0.09025906758062424,5478,54905,10588,3751,Nationwide Cohort - Urban,Urban,373608,2570,XGBoost
0.2211426602149994,0.8077460731060339,0.3914205341122985,0.427750658775757,0.8227162013864725,0.3556752873563218,0.5364611550547188,0.8630540668468386,0.09085128986467202,4951,56524,8969,4278,Nationwide Cohort - Urban,Urban,373608,2570,CatBoost
0.1619921143001867,0.7776299669871641,0.34214654191028915,0.3951904136572554,0.8027622386981077,0.3180527115397318,0.5217249972911475,0.8423648328829035,0.0988468009980251,4815,55169,10324,4414,Nationwide Cohort - Urban,Urban,373608,2570,Random Forest
0.15736264109074716,0.7700169336847539,0.3396746687867898,0.38761672284861876,0.7884826423275608,0.30168878166465624,0.5419872142160581,0.8232177484616676,0.09727324680528215,5002,53915,11578,4227,Nationwide Cohort - Urban,Urban,373608,2570,Gradient Boosting
0.1830038891157261,0.7889250742582457,0.36452340924386706,0.4071338203485288,0.8055860389175878,0.3265680240932303,0.5404702567992199,0.8429450475623349,0.09337209185341773,4988,55207,10286,4241,Nationwide Cohort - Urban,Urban,373608,2570,Logistic Regression
0.25954647112205903,0.8188045006276332,0.4015893006184724,0.435713993704264,0.8152752870640507,0.34985556722689076,0.577419005309351,0.8487930007787092,0.09226741397562199,5329,55590,9903,3900,Nationwide Cohort - Urban,Urban,373608,2570,Weighted Ensemble
0.6466448330310893,0.8182747296269028,0.43889264319041504,0.46367937656554414,0.8066571349737879,0.3857374392220421,0.5810952214858738,0.8445492631763982,0.1770489376859913,3332,28827,5306,2402,Nationwide Cohort - Rural,Rural,199331,2570,LightGBM
0.2322966605424881,0.8112083836355642,0.43324682680216237,0.45965216232424866,0.7965986906463993,0.37194004097918687,0.6014998256016743,0.8293733337239622,0.10110529037970022,3449,28309,5824,2285,Nationwide Cohort - Rural,Rural,199331,2570,XGBoost
0.23844898522387878,0.8070945262428835,0.4292733501747534,0.452735625783099,0.8027942910176337,0.3767377201112141,0.5671433554237879,0.8423812732546216,0.10160043828683955,3252,28753,5380,2482,Nationwide Cohort - Rural,Rural,199331,2570,CatBoost
