Cohort,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Nationwide Cohort,572939.0,2570.0,Gradient Boosting,F1_Score,0.4164853408397374,0.41092773092894386,0.42277490301394427,0.4165 (0.4109 - 0.4228)
Nationwide Cohort,572939.0,2570.0,Gradient Boosting,Accuracy,0.8022621915034733,0.8002015917897162,0.8043820033511362,0.8023 (0.8002 - 0.8044)
Nationwide Cohort,572939.0,2570.0,Gradient Boosting,Precision,0.338898921209579,0.33334845418414344,0.345397590676249,0.3389 (0.3333 - 0.3454)
Nationwide Cohort,572939.0,2570.0,Gradient Boosting,Recall_Sensitivity,0.5401679883242645,0.5325122344461263,0.5476010421626718,0.5402 (0.5325 - 0.5476)
Nationwide Cohort,572939.0,2570.0,Gradient Boosting,Specificity,0.8416490574591549,0.839083476972006,0.8439288176453118,0.8416 (0.8391 - 0.8439)
Nationwide Cohort,572939.0,2570.0,Gradient Boosting,Brier_Score,0.10041810680716572,0.09933990254281085,0.10167055161002651,0.1004 (0.0993 - 0.1017)
Nationwide Cohort,572939.0,2570.0,Logistic Regression,ROC_AUC,0.7916213654614864,0.7882494728849216,0.7948017410308184,0.7916 (0.7882 - 0.7948)
Nationwide Cohort,572939.0,2570.0,Logistic Regression,PR_AUC,0.38877892887818705,0.3816041421945065,0.3962612747325384,0.3888 (0.3816 - 0.3963)
Nationwide Cohort,572939.0,2570.0,Logistic Regression,F1_Score,0.419603879202995,0.41422768609297234,0.42623832086528446,0.4196 (0.4142 - 0.4262)
Nationwide Cohort,572939.0,2570.0,Logistic Regression,Accuracy,0.7898096222990191,0.787774679722135,0.7919775630956121,0.7898 (0.7878 - 0.7920)
Nationwide Cohort,572939.0,2570.0,Logistic Regression,Precision,0.32820195536465063,0.3228909054156674,0.3345287796577389,0.3282 (0.3229 - 0.3345)
Nationwide Cohort,572939.0,2570.0,Logistic Regression,Recall_Sensitivity,0.5815898614670529,0.574676571593387,0.5888450538464544,0.5816 (0.5747 - 0.5888)
Nationwide Cohort,572939.0,2570.0,Logistic Regression,Specificity,0.8211004324381616,0.8187530005467265,0.823311599385699,0.8211 (0.8188 - 0.8233)
Nationwide Cohort,572939.0,2570.0,Logistic Regression,Brier_Score,0.09650375996526059,0.09539901307346642,0.09775032102262338,0.0965 (0.0954 - 0.0978)
Nationwide Cohort,,,Weighted Ensemble,ROC_AUC,0.8198574942588748,0.816782493982105,0.8229960376095247,0.8199 (0.8168 - 0.8230)
Nationwide Cohort,,,Weighted Ensemble,PR_AUC,0.42329445077976274,0.4161665974132457,0.43198342358433095,0.4233 (0.4162 - 0.4320)
Nationwide Cohort,,,Weighted Ensemble,F1_Score,0.44604452139353723,0.44050796489729477,0.4518933678850094,0.4460 (0.4405 - 0.4519)
Nationwide Cohort,,,Weighted Ensemble,Accuracy,0.8239071717806402,0.8221572066883095,0.8257633870911439,0.8239 (0.8222 - 0.8258)
Nationwide Cohort,,,Weighted Ensemble,Precision,0.3786374393082034,0.3733551848914444,0.3846089837582469,0.3786 (0.3734 - 0.3846)
Nationwide Cohort,,,Weighted Ensemble,Recall_Sensitivity,0.5426713305186512,0.5349684120408084,0.549790608540758,0.5427 (0.5350 - 0.5498)
Nationwide Cohort,,,Weighted Ensemble,Specificity,0.8661707251026212,0.8641539365517473,0.8679515271917535,0.8662 (0.8642 - 0.8680)
Nationwide Cohort,,,Weighted Ensemble,Brier_Score,0.09574657625829687,0.09485190676971486,0.09672688172107785,0.0957 (0.0949 - 0.0967)
