Cohort,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Texas Cohort,CatBoost,Accuracy,0.8029297891093579,0.7995652127179311,0.8064148590837759,0.8029 (0.7996 - 0.8064)
Texas Cohort,CatBoost,Precision,0.4035245177026758,0.3920933436712396,0.4126584538031051,0.4035 (0.3921 - 0.4127)
Texas Cohort,CatBoost,Recall_Sensitivity,0.5942774937775477,0.5843892366111753,0.6064061446232147,0.5943 (0.5844 - 0.6064)
Texas Cohort,CatBoost,Specificity,0.840753946779278,0.8374859925875446,0.8439996883296835,0.8408 (0.8375 - 0.8440)
Texas Cohort,CatBoost,Brier_Score,0.10331277639511935,0.10165445511005623,0.10545936554033107,0.1033 (0.1017 - 0.1055)
Texas Cohort,Random Forest,ROC_AUC,0.7985181158291818,0.7928196922615892,0.8044747964204725,0.7985 (0.7928 - 0.8045)
Texas Cohort,Random Forest,PR_AUC,0.43492545682456524,0.4223239213585511,0.4485416189301709,0.4349 (0.4223 - 0.4485)
Texas Cohort,Random Forest,F1_Score,0.4632048086136866,0.4535408201852876,0.47382963408805073,0.4632 (0.4535 - 0.4738)
Texas Cohort,Random Forest,Accuracy,0.7923353827632909,0.7884380978996927,0.7959482554764925,0.7923 (0.7884 - 0.7959)
Texas Cohort,Random Forest,Precision,0.38389150544702866,0.37404891861743267,0.3940288021859195,0.3839 (0.3740 - 0.3940)
Texas Cohort,Random Forest,Recall_Sensitivity,0.5838731792150925,0.5727134303169759,0.5961818488406345,0.5839 (0.5727 - 0.5962)
Texas Cohort,Random Forest,Specificity,0.8301261884221208,0.8267661624271937,0.8336352513084555,0.8301 (0.8268 - 0.8336)
Texas Cohort,Random Forest,Brier_Score,0.11165299295851189,0.10968954270253825,0.11389262129404094,0.1117 (0.1097 - 0.1139)
Texas Cohort,Gradient Boosting,ROC_AUC,0.8066492602412577,0.8007622855018071,0.8123552164847494,0.8066 (0.8008 - 0.8124)
Texas Cohort,Gradient Boosting,PR_AUC,0.44060210369452557,0.4275408578228651,0.4552107342839931,0.4406 (0.4275 - 0.4552)
Texas Cohort,Gradient Boosting,F1_Score,0.46722270799873045,0.4578804315119068,0.4771098878659045,0.4672 (0.4579 - 0.4771)
Texas Cohort,Gradient Boosting,Accuracy,0.7931695939119032,0.7897091385944923,0.7970639766107015,0.7932 (0.7897 - 0.7971)
Texas Cohort,Gradient Boosting,Precision,0.38633670404594256,0.37612797359810635,0.3963901340224181,0.3863 (0.3761 - 0.3964)
Texas Cohort,Gradient Boosting,Recall_Sensitivity,0.5909952036139966,0.5795715695837672,0.6037138624330274,0.5910 (0.5796 - 0.6037)
Texas Cohort,Gradient Boosting,Specificity,0.8298198894425407,0.826424710340822,0.833668276848741,0.8298 (0.8264 - 0.8337)
Texas Cohort,Gradient Boosting,Brier_Score,0.10857200063040899,0.10672582167969491,0.11080139132102364,0.1086 (0.1067 - 0.1108)
Texas Cohort,Logistic Regression,ROC_AUC,0.8150361719480506,0.8098981407005192,0.8206385666674278,0.8150 (0.8099 - 0.8206)
Texas Cohort,Logistic Regression,PR_AUC,0.4638463677518402,0.4515239298993463,0.47797149139804546,0.4638 (0.4515 - 0.4780)
Texas Cohort,Logistic Regression,F1_Score,0.4769928153748482,0.4675886792740867,0.4858850489975349,0.4770 (0.4676 - 0.4859)
Texas Cohort,Logistic Regression,Accuracy,0.8063244620246363,0.8033622116645528,0.8099845217877336,0.8063 (0.8034 - 0.8100)
Texas Cohort,Logistic Regression,Precision,0.40728166950201866,0.3971958828705658,0.41678629047016547,0.4073 (0.3972 - 0.4168)
Texas Cohort,Logistic Regression,Recall_Sensitivity,0.5755371786403403,0.5651736390431766,0.5869697626269922,0.5755 (0.5652 - 0.5870)
Texas Cohort,Logistic Regression,Specificity,0.8481614425658327,0.8451304168091126,0.851456648533997,0.8482 (0.8451 - 0.8515)
Texas Cohort,Logistic Regression,Brier_Score,0.10464312210376076,0.10289770226783626,0.10675198565896185,0.1046 (0.1029 - 0.1068)
Texas Cohort,Standard MLP,ROC_AUC,0.8078195650181073,0.8021132771909585,0.8132356031871123,0.8078 (0.8021 - 0.8132)
Texas Cohort,Standard MLP,PR_AUC,0.4522811698256367,0.43943337607760147,0.4661778074920618,0.4523 (0.4394 - 0.4662)
Texas Cohort,Standard MLP,F1_Score,0.471603340236568,0.4627710558749852,0.4801635106535317,0.4716 (0.4628 - 0.4802)
Texas Cohort,Standard MLP,Accuracy,0.7997931938861061,0.7965238514951524,0.8030843562568523,0.7998 (0.7965 - 0.8031)
Texas Cohort,Standard MLP,Precision,0.3963301961005211,0.3875297533878192,0.4048554697736298,0.3963 (0.3875 - 0.4049)
Texas Cohort,Standard MLP,Recall_Sensitivity,0.5822227790940637,0.5709081522805257,0.5930335456748693,0.5822 (0.5709 - 0.5930)
Texas Cohort,Standard MLP,Specificity,0.8392350433402322,0.8356949646220229,0.8430398813327916,0.8392 (0.8357 - 0.8430)
Texas Cohort,Standard MLP,Brier_Score,0.10620456956539603,0.10453602485123739,0.10803160143659228,0.1062 (0.1045 - 0.1080)
Texas Cohort,Standard Transformer,ROC_AUC,0.817332894105257,0.8125043572098603,0.8225036071643078,0.8173 (0.8125 - 0.8225)
Texas Cohort,Standard Transformer,PR_AUC,0.4569928657630093,0.4442120904205647,0.4703855843007593,0.4570 (0.4442 - 0.4704)
Texas Cohort,Standard Transformer,F1_Score,0.4747850432713598,0.4644736700593227,0.4842942455409284,0.4748 (0.4645 - 0.4843)
Texas Cohort,Standard Transformer,Accuracy,0.7926178601371542,0.7891270933207214,0.7959686781176774,0.7926 (0.7891 - 0.7960)
Texas Cohort,Standard Transformer,Precision,0.3883180546220886,0.37848053084060346,0.3978432448309943,0.3883 (0.3785 - 0.3978)
Texas Cohort,Standard Transformer,Recall_Sensitivity,0.6108356745068213,0.5992545931710839,0.6218837993559742,0.6108 (0.5993 - 0.6219)
Texas Cohort,Standard Transformer,Specificity,0.8255707289514774,0.8224003675168148,0.8292816308345902,0.8256 (0.8224 - 0.8293)
Texas Cohort,Standard Transformer,Brier_Score,0.10458512365844673,0.1030057446889478,0.10654763273554868,0.1046 (0.1030 - 0.1065)
Texas Cohort,SAINT Transformer,ROC_AUC,0.816558688484497,0.8115870661916378,0.821160740443644,0.8166 (0.8116 - 0.8212)
Texas Cohort,SAINT Transformer,PR_AUC,0.45452505469765325,0.44156749168472686,0.469970019255863,0.4545 (0.4416 - 0.4700)
Texas Cohort,SAINT Transformer,F1_Score,0.47468755294894444,0.4654632651243169,0.48437033838629506,0.4747 (0.4655 - 0.4844)
Texas Cohort,SAINT Transformer,Accuracy,0.7930686630694155,0.7893232581636821,0.7967850463271493,0.7931 (0.7893 - 0.7968)
Texas Cohort,SAINT Transformer,Precision,0.38882225643664725,0.3793651938778572,0.3976957368001852,0.3888 (0.3794 - 0.3977)
Texas Cohort,SAINT Transformer,Recall_Sensitivity,0.609267256656818,0.5988065746096747,0.6211021603286121,0.6093 (0.5988 - 0.6211)
Texas Cohort,SAINT Transformer,Specificity,0.8263870720988818,0.823026754947128,0.8301416967554882,0.8264 (0.8230 - 0.8301)
Texas Cohort,SAINT Transformer,Brier_Score,0.10644174853865582,0.104508708091285,0.10886257014937556,0.1064 (0.1045 - 0.1089)
Texas Cohort,HIR-M3 Transformer,ROC_AUC,0.8181275828910364,0.8135150324655138,0.8231215730384821,0.8181 (0.8135 - 0.8231)
Texas Cohort,HIR-M3 Transformer,PR_AUC,0.45633775294155937,0.44339518933021116,0.4700493402438365,0.4563 (0.4434 - 0.4700)
Texas Cohort,HIR-M3 Transformer,F1_Score,0.47488384903868036,0.4642693550141338,0.48469763878913674,0.4749 (0.4643 - 0.4847)
Texas Cohort,HIR-M3 Transformer,Accuracy,0.8061973042113635,0.802651718726487,0.8093761420555925,0.8062 (0.8027 - 0.8094)
Texas Cohort,HIR-M3 Transformer,Precision,0.4064505163292181,0.3952510497176183,0.41674000044417553,0.4065 (0.3953 - 0.4167)
Texas Cohort,HIR-M3 Transformer,Recall_Sensitivity,0.5710661105903426,0.5600816682047738,0.5831599646584437,0.5711 (0.5601 - 0.5832)
Texas Cohort,HIR-M3 Transformer,Specificity,0.8488211548616479,0.8459020938770557,0.8518662269190078,0.8488 (0.8459 - 0.8519)
Texas Cohort,HIR-M3 Transformer,Brier_Score,0.10459168930640812,0.10292565159858388,0.10663313351967385,0.1046 (0.1029 - 0.1066)
