Race_Subgroup,Count,Prevalence,Selection_Rate,Sensitivity_TPR,FNR,Specificity_TNR,FPR,ROC_AUC,F1_Score,Positives,PR_AUC,Brier_Score,TP,FP,TN,FN
Black,1591,0.16467630421118792,0.4110622250157134,0.7061068702290076,0.29389312977099236,0.6471030850263356,0.35289691497366443,0.7449755598825956,0.40393013100436687,262,0.41528980907214486,0.21682938141623262,185,469,860,77
White,7804,0.14659149154279857,0.31906714505381856,0.5559440559440559,0.44405594405594406,0.7216216216216216,0.27837837837837837,0.6951260263760265,0.3500275178866263,1144,0.32589258343840277,0.20260545082890014,636,1854,4806,508
Hispanic,2846,0.1408995080815179,0.30955727336612787,0.6059850374064838,0.3940149625935162,0.7390593047034765,0.26094069529652353,0.7440351065077593,0.3790951638065523,401,0.35453015393337084,0.18743538839199464,243,638,1807,158
Asian,205,0.1024390243902439,0.2926829268292683,0.42857142857142855,0.5714285714285714,0.7228260869565217,0.27717391304347827,0.6053312629399585,0.2222222222222222,21,0.2841688265522142,0.2033904171799188,9,51,133,12
NHPI,17,0.23529411764705882,0.4117647058823529,1.0,0.0,0.7692307692307693,0.23076923076923078,0.9038461538461537,0.7272727272727273,4,0.7470238095238095,0.1859860697929875,4,3,10,0
AIAN,27,0.14814814814814814,0.37037037037037035,0.25,0.75,0.6086956521739131,0.391304347826087,0.5978260869565217,0.14285714285714288,4,0.21703296703296704,0.21847199995177335,1,9,14,3
