Cohort,Intervention_Stage,Model,FNR_Difference,FPR_Difference,Equalized_Odds_Difference,Demographic_Parity_Ratio,Generalized_Entropy_Index,Overall_ROC_AUC
Texas,Baseline (Unmitigated),Baseline LightGBM,0.75,0.1605351170568562,0.75,0.710801393728223,0.21715663757464387,0.7128908031310057
Texas,Pre-processing (Reweighted),Reweighted LightGBM,0.6755725190839694,0.3152746425884123,0.6755725190839694,0.0,0.20596879945738192,0.6998377720193056
Texas,In-processing (Cross-Tier Parity Loss),HIR-M3 Regularized Neural Model,0.1923076923076923,0.03160270880361174,0.1923076923076923,0.30497180932854945,0.0877093920572182,0.6752882456822706
Nationwide,Baseline (Unmitigated),Baseline LightGBM,0.150197628458498,0.15013515013515016,0.15019762845849804,0.6194625998547567,0.2292911490349482,0.7036033178816938
Nationwide,Pre-processing (Reweighted),Reweighted LightGBM,0.6312292358803987,0.3238443238443239,0.6312292358803987,0.07435754384741448,0.21499915711395823,0.6863397561074354
Nationwide,In-processing (Cross-Tier Parity Loss),HIR-M3 Regularized Neural Model,0.0,0.0,0.0,1.0,0.07407031435048891,0.6251093632570094
