Dataset,Cohort Size,Num Features,Method,Feature Name,Score
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_364,1.0000001094397786
Complete Cohort,135723,2073,Variance Threshold,chf,1.0000001083649908
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_1CHPS,1.000000108056735
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_654,1.0000001074753757
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Manatee,1.0000001074753757
Complete Cohort,135723,2073,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_416,1.0000001074753757
Complete Cohort,135723,2073,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_G2_54,1.0000001074753757
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_G2_1,1.0000001065942694
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_1,1.0000001065942694
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G2_37,1.0000001057694576
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_228,1.0000001057694576
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Santa_Cruz,1.0000001057694574
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_1CGMU,1.0000001057694572
Complete Cohort,135723,2073,Variance Threshold,aids,1.0000001057524253
Complete Cohort,135723,2073,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_55,1.0000001056743268
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_10_1,1.0000001056743266
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Northumberland,1.0000001056743266
Complete Cohort,135723,2073,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_G2_56,1.0000001056743266
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_G2_10_1,1.0000001056743266
Complete Cohort,135723,2073,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_481,1.0000001056743266
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G2_55,1.0000001056743266
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_2BHLT,1.0000001056743266
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Grundy,1.0000001056743266
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_181,1.0000001056743266
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_G1_10,1.0000001056743266
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_G2_52,1.0000001056743266
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_1CGNU,1.0000001056743266
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Gilmer,1.0000001056743266
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_San_Patricio,1.0000001056743266
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Platte,1.0000001056743266
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_65,1.0000001056743266
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G2_60,1.0000001056743266
Complete Cohort,135723,2073,Variance Threshold,Submitted_HIPPS_Code_1AGLT,1.0000001056743266
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_654,1.0000001056743264
Complete Cohort,135723,2073,Variance Threshold,COUNTY_NAME_Hickman,1.0000001056743264
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_231,1.0000001056743264
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_657,1.0000001056743264
Complete Cohort,135723,2073,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_133,1.0000001056743262
