Dataset,Cohort Size,Num Features,Method,Feature Name,Score
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_13,1.0000000786044847
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G1_13,1.0000000786044847
Complete Cohort,62449,754,Variance Threshold,psycho,1.0000000786044843
Complete Cohort,62449,754,Variance Threshold,Submitted_HIPPS_Code_1CGPT,1.0000000781194143
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G1_1,1.0000000778396592
Complete Cohort,62449,754,Variance Threshold,ACS_PCT_HH_TABLET_ONLY,1.0000000760112286
Complete Cohort,62449,754,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_G1_11,1.0000000757369363
Complete Cohort,62449,754,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_11,1.0000000757369363
Complete Cohort,62449,754,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_G2_11,1.0000000757369363
Complete Cohort,62449,754,Variance Threshold,ACS_PCT_CHILD_1FAM,1.000000075431087
Complete Cohort,62449,754,Variance Threshold,Submitted_HIPPS_Code_1CGPS,1.0000000735865056
Complete Cohort,62449,754,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_G0_2,1.0000000729511824
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G2_13_1,1.000000072402853
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_G2_8,1.0000000724028528
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_8_1,1.0000000724028528
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_G1_5_1,1.0000000719363176
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_G2_18,1.0000000717666948
Complete Cohort,62449,754,Variance Threshold,Submitted_HIPPS_Code_1AFKS,1.0000000712222419
Complete Cohort,62449,754,Variance Threshold,wloss,1.0000000706571577
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_26,1.0000000675798806
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_G2_26,1.0000000675798806
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_G1_26,1.0000000675798806
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_9,1.0000000675798804
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_G1_9,1.0000000675798804
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_G0_9,1.0000000675798804
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_G2_28_1,1.0000000675014977
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_28_1,1.0000000675014977
Complete Cohort,62449,754,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_G2_18,1.0000000672245792
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_G2_35,1.0000000664168505
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_35,1.0000000664168505
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_G1_15,1.0000000658184347
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_15,1.0000000658184347
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_G2_15,1.0000000658184347
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_G1_25,1.0000000654094636
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_25,1.0000000654094636
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_G2_25,1.0000000654094636
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_G0_2,1.0000000643396545
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_Other,1.0000000637733741
Complete Cohort,62449,754,Variance Threshold,COUNTY_NAME_Victoria,1.0000000630739152
Complete Cohort,62449,754,Variance Threshold,ACS_PCT_HH_FOOD_STMP_BLW_POV,1.000000062808585
Complete Cohort,62449,754,Variance Threshold,Submitted_HIPPS_Code_1BGPS,1.0000000624119918
Complete Cohort,62449,754,Variance Threshold,Submitted_HIPPS_Code_2BGKS,1.0000000621343297
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_G2_10,1.000000061244483
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_10,1.000000061244483
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_G1_10,1.000000061244483
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_14,1.0000000607465975
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G1_14,1.0000000607465975
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G2_14,1.0000000607465975
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_G2_28,1.0000000592063758
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_G1_28,1.0000000592063758
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_G2_30,1.0000000592063758
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_G1_30,1.0000000592063758
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_30,1.0000000592063758
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_28,1.0000000592063758
Complete Cohort,62449,754,Variance Threshold,POP_RUR,1.0000000590788094
Complete Cohort,62449,754,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_G0,1.0000000588181277
Complete Cohort,62449,754,Variance Threshold,Submitted_HIPPS_Code_1CGKV,1.0000000587871818
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_G1_8_1,1.0000000587871818
Complete Cohort,62449,754,Variance Threshold,Submitted_HIPPS_Code_2CGKS,1.0000000582838697
Complete Cohort,62449,754,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_G2_13,1.0000000582838697
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_26,1.0000000582838695
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_G1_26,1.0000000582838695
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_G2_26,1.0000000582838695
Complete Cohort,62449,754,Variance Threshold,COUNTY_NAME_Taylor,1.0000000579100567
Complete Cohort,62449,754,Variance Threshold,COUNTY_NAME_Parker,1.000000057243255
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_G1_25,1.0000000571243504
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_G2_25,1.0000000571243504
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_25,1.0000000571243504
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_21,1.0000000563986815
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_G2_21,1.0000000563986815
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_G1_21,1.0000000563986815
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_5,1.0000000539864087
Complete Cohort,62449,754,Variance Threshold,Submitted_HIPPS_Code_1CHLT,1.0000000539864087
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_G2_5,1.0000000539864087
Complete Cohort,62449,754,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_G2_22,1.0000000539864087
Complete Cohort,62449,754,Variance Threshold,COUNTY_NAME_Limestone,1.0000000539864087
Complete Cohort,62449,754,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_G1_22,1.0000000539864087
Complete Cohort,62449,754,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_22,1.0000000539864087
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G0,1.0000000538786264
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_28_1,1.0000000523128167
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_G2_28_1,1.0000000523128167
Complete Cohort,62449,754,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_G0_1,1.0000000516227892
Complete Cohort,62449,754,Variance Threshold,ACS_PCT_POV_WHITE,1.0000000515510636
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_116,1.000000050460624
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_46,1.0000000504606237
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_G2_46,1.0000000504606237
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_G1_9,1.0000000504606237
Complete Cohort,62449,754,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_G0_9,1.0000000504606237
